a priori	/ɑ ˈpriori/
aamupuoli	/ˈɑɑmuˌpuoli/
aamupäivisin	/ˈɑɑmuˌpæivisin/
aamupäivä	/ˈɑɑmuˌpæivæ/
aamurusko	/ˈɑɑmuˌrusko/
aamuruuhka	/ˈɑɑmuˌruuhkɑ/
aamusella	/ˈɑɑmuˌsellɑ/
aamutakki	/ˈɑɑmuˌtɑkki/
aamutohveli	/ˈɑɑmuˌtohveli/
aamutorkku	/ˈɑɑmuˌtorkku/
aamutossu	/ˈɑɑmuˌtossu/
aamutuimaan	/ˈɑɑmuˌtuimɑɑn/
aamutähti	/ˈɑɑmuˌtæhti/
aamuvarhain	/ˈɑɑmuˌvɑrhɑin/
aamuvarhainen	/ˈɑɑmuvɑrˌhɑinen/
aamuvartio	/ˈɑɑmuˌvɑrtio/
aamuvirkku	/ˈɑɑmuˌvirkku/
aamuvoimistelu	/ˈɑɑmuˌvoimisˌtelu/
aamuvuoro	/ˈɑɑmuˌvuoro/
aamuyö	/ˈɑɑmuyø/
aapa	/ˈɑɑpɑ/
aapasuo	/ˈɑɑpɑsuo/
aapinen	/ˈɑɑpinen/
aapiskirja	/ˈɑɑpisˌkirjɑ/
aapiskukko	/ˈɑɑpisˌkukko/
aaprotti	/ˈɑɑprotti/
aari	/ˈɑɑri/
aaria	/ˈɑɑriɑ/
aarnialue	/ˈɑɑrniˌɑlue/
aarnihauta	/ˈɑɑrniˌhɑutɑ/
aarnihonka	/ˈɑɑrniˌhonkɑ/
aarnikotka	/ˈɑɑrniˌkotkɑ/
aarnio	/ˈɑɑrnio/
aarniohauta	/ˈɑɑrnioˌhɑutɑ/
aarniometsä	/ˈɑɑrnioˌmetsæ/
aarnipuu	/ˈɑɑrnipuu/
aarnituli	/ˈɑɑrniˌtuli/
aarnivalkea	/ˈɑɑrniˌvɑlkeɑ/
aaroninparta	/ˈɑɑroˌninpɑrtɑ/
aarpora	/ˈɑɑrporɑ/
aarre	/ˈɑɑrre/
aarreaitta	/ˈɑɑrreˌɑittɑ/
aarrehauta	/ˈɑɑrreˌhɑutɑ/
aarrekammio	/ˈɑɑrreˌkɑmmio/
aarrekätkö	/ˈɑɑrreˌkætkø/
aarrelöytö	/ˈɑɑrreˌløytø/
aarretuli	/ˈɑɑrreˌtuli/
aarrevalkea	/ˈɑɑrreˌvɑlkeɑ/
aarteenetsijä	/ˈɑɑrteeˌnetsijæ/
aarteisto	/ˈɑɑrteisto/
aasi	/ˈɑɑsi/
aasialainen	/ˈɑɑsiɑˌlɑinen/
aasialaisuus	/ˈɑɑsiɑˌlɑisuus/
aasimainen	/ˈɑɑsiˌmɑinen/
aasimaisesti	/ˈɑɑsiˌmɑisesti/
aasimaisuus	/ˈɑɑsiˌmɑisuus/
aasinpotku	/ˈɑɑsinˌpotku/
aasinsilta	/ˈɑɑsinˌsiltɑ/
aatami	/ˈɑɑtɑmi/
aataminaikainen	/ˈɑɑtɑmiˌnɑikɑinen/
aataminomena	/ˈɑɑtɑˌminoˌmenɑ/
aataminpuku	/ˈɑɑtɑˌminpuku/
aate	/ˈɑɑte/
aatehistoria	/ˈɑɑteˌhistoˌriɑ/
aatekilpailu	/ˈɑɑtekilˌpɑilu/
aateli	/ˈɑɑteli/
aatelinen	/ˈɑɑteˌlinen/
aatelisarvo	/ˈɑɑteliˌsɑrvo/
aatelisherra	/ˈɑɑteˌlisherrɑ/
aateliskalenteri	/ˈɑɑteˌliskɑˌlenteri/
aatelisnenä	/ˈɑɑteˌlisnenæ/
aatelissuku	/ˈɑɑteˌlissuku/
aatelissääty	/ˈɑɑtelisˌsææty/
aatelisto	/ˈɑɑteˌlisto/
aatelisuus	/ˈɑɑteˌlisuus/
aatelisvaakuna	/ˈɑɑtelisˌvɑɑkunɑ/
aateliton	/ˈɑɑteˌliton/
aateloida	/ˈɑɑteˌloidɑ/
aatelointi	/ˈɑɑteˌlointi/
aateluus	/ˈɑɑteluus/
aatemaailma	/ˈɑɑteˌmɑɑilmɑ/
aaterakennelma	/ˈɑɑterɑˌkennelmɑ/
aatesisar	/ˈɑɑteˌsisɑr/
aatesuunta	/ˈɑɑteˌsuuntɑ/
aatetoveri	/ˈɑɑteˌtoveri/
aateveli	/ˈɑɑteˌveli/
aatevirtaus	/ˈɑɑteˌvirtɑus/
aatonaatto	/ˈɑɑtoˌnɑɑtto/
aatos	/ˈɑɑtos/
aatra	/ˈɑɑtrɑ/
aatteellinen	/ˈɑɑtteelˌlinen/
aatteellisesti	/ˈɑɑtteelliˌsesti/
aatteellisuus	/ˈɑɑtteelˌlisuus/
aatto	/ˈɑɑtto/
aattoilta	/ˈɑɑttoiltɑ/
aava	/ˈɑɑvɑ/
aavameri	/ˈɑɑvɑˌmeri/
aave	/ˈɑɑve/
aavejuna	/ˈɑɑveˌjunɑ/
aavekipu	/ˈɑɑveˌkipu/
aavelaiva	/ˈɑɑveˌlɑivɑ/
aavemainen	/ˈɑɑveˌmɑinen/
aavemaisesti	/ˈɑɑveˌmɑisesti/
aavemaisuus	/ˈɑɑveˌmɑisuus/
aavikko	/ˈɑɑvikko/
aavikoitua	/ˈɑɑviˌkoituɑ/
aavistaa	/ˈɑɑvistɑɑ/
aavistamaton	/ˈɑɑvisˌtɑmɑton/
aavistella	/ˈɑɑvisˌtellɑ/
aavistuksenomainen	/ˈɑɑvisˌtuksenoˌmɑinen/
aavistus	/ˈɑɑvistus/
aavistuslähtö	/ˈɑɑvisˌtuslæhtø/
abatsi	/ˈɑbɑtsi/
abbedissa	/ˈɑbbeˌdissɑ/
abessiivi	/ˈɑbesˌsiivi/
abi	/ˈɑbi/
abiturientti	/ˈɑbituˌrientti/
ablatiivi	/ˈɑblɑˌtiivi/
abnormi	/ˈɑbnormi/
abnormius	/ˈɑbnorˌmius/
abo	/ˈɑbo/
aboriginaali	/ˈɑboˌrigiˌnɑɑli/
abortoida	/ˈɑborˌtoidɑ/
abortointi	/ˈɑborˌtointi/
abortti	/ˈɑbortti/
aborttipilleri	/ˈɑborttiˌpilleri/
aborttitabletti	/ˈɑbortˌtitɑˌbletti/
abrakadabra	/ˈɑbrɑkɑˌdɑbrɑ/
absessi	/ˈɑbsessi/
absintti	/ˈɑbsintti/
abskissa	/ˈɑbskissɑ/
absolutismi	/ˈɑbsoluˌtismi/
absolutisti	/ˈɑbsoluˌtisti/
absoluutti	/ˈɑbsoˌluutti/
absoluuttinen	/ˈɑbsoˌluuttinen/
absoluuttisesti	/ˈɑbsoˌluuttiˌsesti/
absoluuttisuus	/ˈɑbsoˌluuttisuus/
absorboida	/ˈɑbsorˌboidɑ/
absorbointi	/ˈɑbsorˌbointi/
absorboitua	/ˈɑbsorˌboituɑ/
absorptio	/ˈɑbsorpˌtio/
abstinenssi	/ˈɑbstiˌnenssi/
abstinenssioire	/ˈɑbstiˌnenssiˌoire/
abstrahoida	/ˈɑbstrɑˌhoidɑ/
abstrahointi	/ˈɑbstrɑˌhointi/
abstrahoitua	/ˈɑbstrɑˌhoituɑ/
abstrakti	/ˈɑbstrɑkti/
abstraktinen	/ˈɑbstrɑkˌtinen/
abstraktio	/ˈɑbstrɑkˌtio/
abstraktisesti	/ˈɑbstrɑktiˌsesti/
abstraktistaa	/ˈɑbstrɑkˌtistɑɑ/
abstraktisti	/ˈɑbstrɑkˌtisti/
abstraktistua	/ˈɑbstrɑkˌtistuɑ/
abstraktisuus	/ˈɑbstrɑkˌtisuus/
abstraktius	/ˈɑbstrɑkˌtius/
absurdi	/ˈɑbsurdi/
absurdisti	/ˈɑbsurˌdisti/
absurdius	/ˈɑbsurˌdius/
adagio	/ˈɑdɑˌgio/
adaptaatio	/ˈɑdɑpˌtɑɑtio/
adapteri	/ˈɑdɑpˌteri/
adaptoida	/ˈɑdɑpˌtoidɑ/
adaptointi	/ˈɑdɑpˌtointi/
adaptoitua	/ˈɑdɑpˌtoituɑ/
addikti	/ˈɑddikti/
addiktio	/ˈɑddikˌtio/
adekvaatisti	/ˈɑdeˌkvɑɑtisti/
adekvaatti	/ˈɑdeˌkvɑɑtti/
adekvaattius	/ˈɑdeˌkvɑɑttius/
adenokarsinooma	/ˈɑdenoˌkɑrsiˌnoomɑ/
adenooma	/ˈɑdeˌnoomɑ/
adenovirus	/ˈɑdeˌnovirus/
adessiivi	/ˈɑdesˌsiivi/
adheesio	/ˈɑdheeˌsio/
adjektiivi	/ˈɑdjekˌtiivi/
adjektiivinen	/ˈɑdjekˌtiivinen/
adjektiivisesti	/ˈɑdjekˌtiiviˌsesti/
adjektiivisuus	/ˈɑdjekˌtiivisuus/
adjutantti	/ˈɑdjuˌtɑntti/
adjuvanttihoito	/ˈɑdjuˌvɑnttiˌhoito/
adonis	/ˈɑdonis/
adoptio	/ˈɑdopˌtio/
adoptiolapsi	/ˈɑdopˌtioˌlɑpsi/
adoptoida	/ˈɑdopˌtoidɑ/
adoptointi	/ˈɑdopˌtointi/
adrenaliini	/ˈɑdrenɑˌliini/
adressi	/ˈɑdressi/
adsorboida	/ˈɑdsorˌboidɑ/
adsorbointi	/ˈɑdsorˌbointi/
adsorboitua	/ˈɑdsorˌboituɑ/
adsorptio	/ˈɑdsorpˌtio/
adsukipapu	/ˈɑdsuˌkipɑpu/
adventismi	/ˈɑdvenˌtismi/
adventisti	/ˈɑdvenˌtisti/
adventti	/ˈɑdventti/
adventtiaika	/ˈɑdventtiˌɑikɑ/
adventtikalenteri	/ˈɑdventˌtikɑˌlenteri/
adventtikirkko	/ˈɑdventtiˌkirkko/
adventtiseurakunta	/ˈɑdventtiˌseurɑˌkuntɑ/
adventtisunnuntai	/ˈɑdventtiˌsunnuntɑi/
adverbi	/ˈɑdverbi/
adverbiaali	/ˈɑdverbiˌɑɑli/
adverbiaalinen	/ˈɑdverbiˌɑɑlinen/
adverbiaalisesti	/ˈɑdverbiˌɑɑliˌsesti/
adverbiaalisuus	/ˈɑdverbiˌɑɑlisuus/
adverbinen	/ˈɑdverˌbinen/
adverbisesti	/ˈɑdverbiˌsesti/
adverbisuus	/ˈɑdverˌbisuus/
adversatiivinen	/ˈɑdversɑˌtiivinen/
adversatiivisesti	/ˈɑdversɑˌtiiviˌsesti/
adversatiivisuus	/ˈɑdversɑˌtiivisuus/
aerobikata	/ˈɑeˌrobiˌkɑtɑ/
aerobikkaaja	/ˈɑeroˌbikkɑɑjɑ/
aerobikkaus	/ˈɑeroˌbikkɑus/
aerobikki	/ˈɑeroˌbikki/
aerobinen	/ˈɑeˌrobinen/
aerobiologia	/ˈɑeˌrobiˌoloˌgiɑ/
aerobiologinen	/ˈɑeˌrobiˌoloˌginen/
aerodynaaminen	/ˈɑeˌrodyˌnɑɑminen/
aerodynaamisesti	/ˈɑeˌrodyˌnɑɑmiˌsesti/
aerodynamiikka	/ˈɑeˌrodynɑˌmiikkɑ/
aerosoli	/ˈɑeˌrosoli/
afaatikko	/ˈɑfɑɑˌtikko/
afaattinen	/ˈɑfɑɑtˌtinen/
afasia	/ˈɑfɑˌsiɑ/
affekti	/ˈɑffekti/
affektihäiriö	/ˈɑffektiˌhæiriø/
affektiivinen	/ˈɑffekˌtiivinen/
affektiivisesti	/ˈɑffekˌtiiviˌsesti/
affektiivisuus	/ˈɑffekˌtiivisuus/
affektinen	/ˈɑffekˌtinen/
affektisesti	/ˈɑffektiˌsesti/
affektisuus	/ˈɑffekˌtisuus/
affisio	/ˈɑffiˌsio/
affisioida	/ˈɑffisiˌoidɑ/
afgaani	/ˈɑfgɑɑni/
afgaaninvinttikoira	/ˈɑfgɑɑˌninvinttiˌkoirɑ/
aforismi	/ˈɑfoˌrismi/
aforismikokoelma	/ˈɑfoˌrismiˌkokoˌelmɑ/
aforistinen	/ˈɑfoˌristinen/
afrikaans	/ˈɑfrikɑɑns/
afrikandi	/ˈɑfriˌkɑndi/
afrikkalainen	/ˈɑfrikkɑˌlɑinen/
afrikkalaisuus	/ˈɑfrikkɑˌlɑisuus/
afro	/ˈɑfro/
afroaasialainen	/ˈɑfroˌɑɑsiɑˌlɑinen/
afroamerikkalainen	/ˈɑfroˌɑmeˌrikkɑˌlɑinen/
afrokampaus	/ˈɑfroˌkɑmpɑus/
afrokommunismi	/ˈɑfroˌkommuˌnismi/
afta	/ˈɑftɑ/
afääri	/ˈɑfææri/
agaatti	/ˈɑgɑɑtti/
agaave	/ˈɑgɑɑve/
agar	/ˈɑgɑr/
agar-agar	/ˈɑgɑˌrɑgɑr/
agenda	/ˈɑgendɑ/
agentti	/ˈɑgentti/
agenttifilmi	/ˈɑgenttiˌfilmi/
agenttiromaani	/ˈɑgentˌtiroˌmɑɑni/
agentuuri	/ˈɑgenˌtuuri/
agentuuriliike	/ˈɑgenˌtuuriˌliike/
aggregaatti	/ˈɑggreˌgɑɑtti/
aggressiivinen	/ˈɑggresˌsiivinen/
aggressiivisesti	/ˈɑggresˌsiiviˌsesti/
aggressiivisuus	/ˈɑggresˌsiivisuus/
aggressio	/ˈɑggresˌsio/
agitaatio	/ˈɑgiˌtɑɑtio/
agitaattori	/ˈɑgiˌtɑɑttori/
agitatorinen	/ˈɑgiˌtɑtoˌrinen/
agitoida	/ˈɑgiˌtoidɑ/
agitointi	/ˈɑgiˌtointi/
agnostikko	/ˈɑgnosˌtikko/
agnostinen	/ˈɑgnosˌtinen/
agnostisesti	/ˈɑgnostiˌsesti/
agnostisismi	/ˈɑgnostiˌsismi/
agnostisuus	/ˈɑgnosˌtisuus/
agorafobia	/ˈɑgoˌrɑfoˌbiɑ/
agraarinen	/ˈɑgrɑɑˌrinen/
agraaripolitiikka	/ˈɑgrɑɑˌripoliˌtiikkɑ/
agraaripuolue	/ˈɑgrɑɑriˌpuolue/
agraarisuus	/ˈɑgrɑɑˌrisuus/
agraarivaltio	/ˈɑgrɑɑriˌvɑltio/
agrologi	/ˈɑgroˌlogi/
agronomi	/ˈɑgroˌnomi/
agronomia	/ˈɑgroˌnomiɑ/
ah	/ɑh/
ahaa	/ˈɑhɑɑ/
ahaa-elämys	/ˈɑhɑɑˌelæmys/
ahava	/ˈɑhɑvɑ/
ahavoittaa	/ˈɑhɑˌvoittɑɑ/
ahavoitua	/ˈɑhɑˌvoituɑ/
ahdas	/ˈɑhdɑs/
ahdashenkinen	/ˈɑhdɑsˌhenkinen/
ahdashenkisesti	/ˈɑhdɑsˌhenkiˌsesti/
ahdashenkisyys	/ˈɑhdɑsˌhenkisyys/
ahdaskatseinen	/ˈɑhdɑskɑtˌseinen/
ahdasmielinen	/ˈɑhdɑsˌmielinen/
ahdasmielisesti	/ˈɑhdɑsˌmieliˌsesti/
ahdasmielisyys	/ˈɑhdɑsˌmielisyys/
ahdasnäköinen	/ˈɑhdɑsnæˌkøinen/
ahdasnäköisesti	/ˈɑhdɑsnæˌkøisesti/
ahdasnäköisyys	/ˈɑhdɑsnæˌkøisyys/
ahdasrajainen	/ˈɑhdɑsrɑˌjɑinen/
ahdasrajaisesti	/ˈɑhdɑsrɑˌjɑisesti/
ahdasrajaisuus	/ˈɑhdɑsrɑˌjɑisuus/
ahdata	/ˈɑhdɑtɑ/
ahde	/ˈɑhde/
ahdekaunokki	/ˈɑhdeˌkɑunokki/
ahdelauha	/ˈɑhdeˌlɑuhɑ/
ahdin	/ˈɑhdin/
ahdinko	/ˈɑhdinko/
ahdinkotila	/ˈɑhdinˌkotilɑ/
ahdistaa	/ˈɑhdistɑɑ/
ahdistaja	/ˈɑhdisˌtɑjɑ/
ahdistelija	/ˈɑhdisˌtelijɑ/
ahdistella	/ˈɑhdisˌtellɑ/
ahdistelu	/ˈɑhdisˌtelu/
ahdistua	/ˈɑhdisˌtuɑ/
ahdistuneesti	/ˈɑhdistuˌneesti/
ahdistuneisuus	/ˈɑhdistuˌneisuus/
ahdistuneisuushäiriö	/ˈɑhdistuˌneisuusˌhæiriø/
ahdistunut	/ˈɑhdisˌtunut/
ahdistus	/ˈɑhdistus/
ahdistusneuroosi	/ˈɑhdistusˌneuroosi/
ahdistustila	/ˈɑhdisˌtustilɑ/
aherrus	/ˈɑherrus/
ahertaa	/ˈɑhertɑɑ/
ahertaja	/ˈɑherˌtɑjɑ/
ahjo	/ˈɑhjo/
ahkera	/ˈɑhkerɑ/
ahkeraan	/ˈɑhkerɑɑn/
ahkeraliisa	/ˈɑhkerɑˌliisɑ/
ahkerasti	/ˈɑhkeˌrɑsti/
ahkeroida	/ˈɑhkeˌroidɑ/
ahkerointi	/ˈɑhkeˌrointi/
ahkeruus	/ˈɑhkeruus/
ahkio	/ˈɑhkio/
ahma	/ˈɑhmɑ/
ahmaista	/ˈɑhmɑistɑ/
ahmaisu	/ˈɑhmɑisu/
ahmatti	/ˈɑhmɑtti/
ahmia	/ˈɑhmiɑ/
ahmimishäiriö	/ˈɑhmimisˌhæiriø/
ahminta	/ˈɑhmintɑ/
ahnaasti	/ˈɑhnɑɑsti/
ahnas	/ˈɑhnɑs/
ahnaus	/ˈɑhnɑus/
ahne	/ˈɑhne/
ahneesti	/ˈɑhneesti/
ahnehdinta	/ˈɑhnehˌdintɑ/
ahnehtia	/ˈɑhnehˌtiɑ/
ahnehtija	/ˈɑhnehˌtijɑ/
ahneus	/ˈɑhneus/
aho	/ˈɑho/
ahomansikka	/ˈɑhoˌmɑnsikkɑ/
ahoniitty	/ˈɑhoˌniitty/
ahrain	/ˈɑhrɑin/
ahtaa	/ˈɑhtɑɑ/
ahtaaja	/ˈɑhtɑɑjɑ/
ahtaalla	/ˈɑhtɑɑllɑ/
ahtaalle	/ˈɑhtɑɑlle/
ahtaasti	/ˈɑhtɑɑsti/
ahtauma	/ˈɑhtɑumɑ/
ahtaus	/ˈɑhtɑus/
ahtausliike	/ˈɑhtɑusˌliike/
ahtaustyö	/ˈɑhtɑˌustyø/
ahtauttaa	/ˈɑhtɑˌuttɑɑ/
ahtautua	/ˈɑhtɑuˌtuɑ/
ahtautuma	/ˈɑhtɑuˌtumɑ/
ahteri	/ˈɑhteri/
ahti	/ˈɑhti/
Ahti	/ˈɑhti/
ahtisaarna	/ˈɑhtiˌsɑɑrnɑ/
ahtoilma	/ˈɑhtoilmɑ/
ahtojää	/ˈɑhtojææ/
ahtopaine	/ˈɑhtoˌpɑine/
ahtoutua	/ˈɑhtouˌtuɑ/
ahven	/ˈɑhven/
ahvenheinä	/ˈɑhvenˌheinæ/
ahvenruoho	/ˈɑhvenˌruoho/
ahvenvita	/ˈɑhvenˌvitɑ/
ai	/ˈɑi/
aidanne	/ˈɑidɑnne/
aidanrako	/ˈɑidɑnˌrɑko/
aidanseiväs	/ˈɑidɑnˌseivæs/
aidanvieri	/ˈɑidɑnˌvieri/
aidas	/ˈɑidɑs/
aidaskääpä	/ˈɑidɑsˌkææpæ/
aidata	/ˈɑidɑtɑ/
aidoittaa	/ˈɑidoittɑɑ/
aidosti	/ˈɑidosti/
AIDS	/ˈɑids/
AIDS-potilas	/ˈɑidspoˌtilɑs/
aie	/ˈɑie/
aiemmin	/ˈɑiemmin/
aiempi	/ˈɑiempi/
aiennus	/ˈɑiennus/
aientaa	/ˈɑientɑɑ/
aiepöytäkirja	/ˈɑieˌpøytæˌkirjɑ/
aiesopimus	/ˈɑieˌsopimus/
aihe	/ˈɑihe/
aiheellinen	/ˈɑiheelˌlinen/
aiheellisesti	/ˈɑiheelliˌsesti/
aiheellistaa	/ˈɑiheelˌlistɑɑ/
aiheellistua	/ˈɑiheelˌlistuɑ/
aiheellisuus	/ˈɑiheelˌlisuus/
aiheenmukainen	/ˈɑiheenmuˌkɑinen/
aiheenvalinta	/ˈɑiheenvɑˌlintɑ/
aiheeton	/ˈɑiheeton/
aiheettomasti	/ˈɑiheettoˌmɑsti/
aiheettomuus	/ˈɑiheetˌtomuus/
aihelma	/ˈɑihelmɑ/
aihepiiri	/ˈɑiheˌpiiri/
aihetodiste	/ˈɑihetoˌdiste/
aiheuttaa	/ˈɑiheˌuttɑɑ/
aiheuttaja	/ˈɑiheˌuttɑjɑ/
aiheutua	/ˈɑiheuˌtuɑ/
aiheutus	/ˈɑiheutus/
aihio	/ˈɑihio/
aijai	/ˈɑijɑi/
aika	/ˈɑikɑ/
aika-ajo	/ˈɑikɑɑjo/
aika-arvo	/ˈɑikɑɑrvo/
aikaansaada	/ˈɑikɑɑnˌsɑɑdɑ/
aikaansaamaton	/ˈɑikɑɑnˌsɑɑmɑton/
aikaansaamattomuus	/ˈɑikɑɑnˌsɑɑmɑtˌtomuus/
aikaansaannos	/ˈɑikɑɑnˌsɑɑnnos/
aikaansaanti	/ˈɑikɑɑnˌsɑɑnti/
aikaansaapa	/ˈɑikɑɑnˌsɑɑpɑ/
aikaansaava	/ˈɑikɑɑnˌsɑɑvɑ/
aikaero	/ˈɑikɑˌero/
aikaerorasitus	/ˈɑikɑˌeroˌrɑsitus/
aikaihminen	/ˈɑikɑihˌminen/
aikailla	/ˈɑikɑillɑ/
aikailu	/ˈɑikɑilu/
aikainen	/ˈɑikɑinen/
aikaisemmin	/ˈɑikɑiˌsemmin/
aikaisin	/ˈɑikɑisin/
aikaisintaan	/ˈɑikɑiˌsintɑɑn/
aikaistaa	/ˈɑikɑistɑɑ/
aikaistua	/ˈɑikɑisˌtuɑ/
aikaistus	/ˈɑikɑistus/
aikaisuus	/ˈɑikɑisuus/
aikajakso	/ˈɑikɑˌjɑkso/
aikajärjestys	/ˈɑikɑˌjærjestys/
aikakauppa	/ˈɑikɑkɑˌuppɑ/
aikakausi	/ˈɑikɑˌkɑusi/
aikakausjulkaisu	/ˈɑikɑkɑˌusjulˌkɑisu/
aikakauskirja	/ˈɑikɑkɑˌuskirjɑ/
aikakauslehdistö	/ˈɑikɑkɑˌuslehˌdistø/
aikakauslehti	/ˈɑikɑkɑˌuslehti/
aikakirja	/ˈɑikɑˌkirjɑ/
aikakone	/ˈɑikɑˌkone/
aikakysymys	/ˈɑikɑˌkysymys/
aikakytkin	/ˈɑikɑˌkytkin/
aikalainen	/ˈɑikɑˌlɑinen/
aikalaukaisin	/ˈɑikɑˌlɑukɑisin/
aikalisä	/ˈɑikɑˌlisæ/
aikalukko	/ˈɑikɑˌlukko/
aikaluokka	/ˈɑikɑˌluokkɑ/
aikamatka	/ˈɑikɑˌmɑtkɑ/
aikamatkailu	/ˈɑikɑmɑtˌkɑilu/
aikamatkustus	/ˈɑikɑˌmɑtkustus/
aikamerkki	/ˈɑikɑˌmerkki/
aikamies	/ˈɑikɑmies/
aikamiespoika	/ˈɑikɑˌmiespoikɑ/
aikamiina	/ˈɑikɑˌmiinɑ/
aikamitta	/ˈɑikɑˌmittɑ/
aikamoinen	/ˈɑikɑˌmoinen/
aikamuoto	/ˈɑikɑˌmuoto/
aikamäärä	/ˈɑikɑˌmææræ/
aikanaan	/ˈɑikɑnɑɑn/
aikansa	/ˈɑikɑnsɑ/
aikapalkka	/ˈɑikɑˌpɑlkkɑ/
aikapalkkainen	/ˈɑikɑpɑlkˌkɑinen/
aikapalkkaus	/ˈɑikɑˌpɑlkkɑus/
aikapeli	/ˈɑikɑˌpeli/
aikapommi	/ˈɑikɑˌpommi/
aikapula	/ˈɑikɑˌpulɑ/
aikarahtaus	/ˈɑikɑˌrɑhtɑus/
aikarajoitus	/ˈɑikɑrɑˌjoitus/
aikasytytin	/ˈɑikɑˌsytytin/
aikasytytteinen	/ˈɑikɑsyˌtytteinen/
aikasytytyksinen	/ˈɑikɑˌsytyˌtyksinen/
aikasytytys	/ˈɑikɑˌsytytys/
aikataulu	/ˈɑikɑˌtɑulu/
aikatauluttaa	/ˈɑikɑˌtɑuluttɑɑ/
aikatiedotus	/ˈɑikɑˌtiedotus/
aikaurakka	/ˈɑikɑuˌrɑkkɑ/
