a	/ɑː/
adresserar	/adrɛs'eːrar/
advent	/adv'ɛnːt/
adverb	/adv'ɛrːb/
adverbial	/advärbɪ'ɑːl/
advokat	/advʊk'ɑːt/
advokatbyrå	/²advʊk'ɑːtbyːrɔ/
aero-	/²aɛrʊ/
aerodynamisk	/aɛrʊdʏn'ɑːmɪsk/
aerogram	/aɛrʊgr'amː/
afasi	/afas'iː/
affär	/af'ɛːr/
affärsman	/²af'ɛːʂmanː/
affekt	/af'ɛkːt/
affekterad	/afɛkt'eːrad/
affektion	/afɛkɧ'uːn/
affektionsvärde	/²afɛkɧ'uːnsvɛːɖɛ/
affisch	/af'ɪɧː/
affischera	/afɪɧ'eːra/
affischerar	/afɪɧ'eːrar/
aforism	/afʊr'ɪsːm/
afrikan	/afrɪk'ɑːn/
afrikansk	/afrɪk'ɑːnsk/
afrofrisyr	/²'afːrʊfrɪsyːr/
afton	/²'afːtɔn/
aga	/²'ɑːga/
äga	/²'ɛːga/
agar	/²'ɑːgar/
äga	/'ɛːgɛr/
ägande	/²'ɛːgandɛ/
ägare	/²'ɛːgarɛ/
AGB	/ɑːgeːb'eː/
agent	/ag'ɛnːt/
agera	/ag'eːra/
agerar	/ag'eːrar/
agg	/agː/
ägg	/ɛgː/
aggregat	/agrɛg'ɑːt/
aggression	/agrɛɧ'uːn/
aggressiv	/agrɛs'iːv/, /'agːrɛsiːv/
äggula	/²'ɛgːʉːla/
äggvita	/²'ɛgːviːta/
agitera	/agɪt'eːra/
agiterar	/agɪt'eːrar/
ägna	/²'ɛŋːna/
ägnar	/²'ɛŋːnar/
agn	/aŋːn/
agnar	/²'aŋːnar/
ägna sig åt	/²'ɛŋːnar/
ägodel	/²'ɛːgʊdeːl/
agronom	/agrʊn'oːm/
AGS	/ɑːgeː'ɛsː/
aha-upplevelse	/²ah'ɑːɵpleːvɛlsɛ/
åhörardag	/²'oːhøːraɖɑːg/
åhörare	/²'oːhøːrarɛ/
aids	/ɛjːds/
A-inkomst	/²'ɑːɪnk'ɔmːst/
aj	/ajː/
ajö	/ajøː/, /aj'œsː/
à jour	/aɧ'uːr/
ajournera	/aɧʊɳ'eːra/
ajournerar	/aɧʊɳ'eːrar/
åk	/²'oːʂkɵʂː/
åka	/'oːkɛr/
akademi	/akadɛm'iː/
akademiker	/akad'eːmɪkɛr/
akademisk	/akad'eːmɪsk/
åka dit	/oːkɛɖ'iːt/
åka fast	/oːkɛrf'asːt/
åk	/oːk/
åkalla	/²'oːkalːa/
åkallar	/²'oːkalːar/
åka på	/oːkɛrp'oː/
A-kassa	/²'ɑːkasːa/
åker	/'oːkɛr/
åkeri	/oːkɛr'iː/
akilleshäl	/²ak'ɪlːɛshɛːl/
åklagare	/²'oːklɑːgarɛ/
åkomma	/²'oːkɔmːa/
akrobat	/akrʊb'ɑːt/
akryl	/akr'yːl/
åksjuk	/²'oːkɧʉːk/
äkt-	/²'ɛkːt/
akta	/²'akːta/
aktar	/²'akːtar/
äkta	/²'ɛkːta/
äktar	/²'ɛkːtar/
akt	/akːt/
akta sig	/²'akːtaʂɛj/
äktenskap	/²'ɛkːtɛnskɑːp/
äktenskapscertifikat	/²'ɛkːtɛnskɑːpsäʈɪfɪkɑːt/
äktenskapsförord	/²'ɛkːtɛnskɑːpsføːruːɖ/
äktenskapsskillnad	/²'ɛkːtɛnskɑːpsɧɪlːnad/
akter	/'akːtɛr/
akterseglad	/²'akːtɛʂeːglad/
aktie	/'akːtsɪɛ/
aktiebolag	/²'akːtsɪɛbuːlɑːg/
aktion	/akɧ'uːn/
aktiv	/'akːtiːv/
aktivera	/aktɪv'eːra/
aktiverar	/aktɪv'eːrar/
aktivist	/aktɪv'ɪsːt/
aktivitet	/aktɪvɪt'eːt/
aktning	/²'akːtnɪŋ/
aktör	/akt'øːr/
aktris	/aktr'iːs/
aktsam	/²'akːtsamː/
aktualisera	/aktɵalɪs'eːra/
aktualiserar	/aktɵalɪs'eːrar/
aktualitet	/aktɵalɪt'eːt/
aktuell	/aktɵ'ɛlː/
Aktuellt	/aktɵ'ɛlːt/
akupunktur	/akɵpɵŋkt'ʉːr/
akustik	/akɵst'iːk/
akustisk	/ak'ɵsːtɪsk/
akut	/ak'ʉːt/
akuten	/ak'ʉːtɛn/
akutmottagning	/²ak'ʉːtmuːtɑːgnɪŋ/
akvarell	/akvar'ɛlː/
akvarium	/²akv'ɑːrɪɵm/
åla	/²'oːla/
ålar	/²'oːlar/
à la	/ala/
alabaster	/alab'asːtɛr/
à la carte	/alak'aʈː/
aladåb	/alad'oːb/
ålägga	/²'oːlɛgːɛr/
al	/ɑːl/
ål	/oːl/
alarmerande	/alarm'eːrandɛ/
alban	/alb'ɑːn/
albansk	/alb'ɑːnsk/
albino	/alb'iːnʊ/
album	/'alːbɵm/
ålder	/'ɔlːdɛr/
ålderdom	/²'ɔlːdɛɖʊmː/
ålderdomlig	/²'ɔlːdɛɖʊmːlɪg/
ålderdomshem	/²'ɔlːdɛɖʊmshɛmː/
ålderspension	/²'ɔlːdɛʂpanɧuːn/
åldras	/²'ɔlːdras/
äldre	/'ɛlːdrɛ/
äldst	/ɛlːst/
äldreomsorg	/²'ɛlːdrɛɔmsɔrːj/
aldrig	/²'alːdrɪg/
åldrig	/²'ɔlːdrɪg/
åldring	/²'ɔlːdrɪŋ/
åldringsvård	/²'ɔlːdrɪŋsvoːɖ/
alert	/al'ɛʈ/
alfabet	/²'alːfabeːt/
alfabetisera	/alfabɛtɪs'eːra/
alfabetiserar	/alfabɛtɪs'eːrar/
alfabetisk	/alfab'eːtɪsk/
alg	/alːj/
älg	/ɛlːj/
algerier	/alɧ'eːrɪɛr/
algerisk	/alɧ'eːrɪsk/
alias	/'ɑːlɪas/
alibi	/'ɑːlɪbɪ/
alienation	/alɪɛnaɧ'uːn/
alienerad	/alɪɛn'eːrad/
åligga	/²'oːlɪgːɛr/
åliggande	/²'oːlɪgːandɛ/
alika	/²'alːɪka/
alkemi	/alɕɛm'iː/
alkohol	/²'alːkʊhoːl/
alkoholism	/alkʊhɔl'ɪsːm/
alkoholist	/alkʊhɔl'ɪsːt/
alkoholpoliklinik	/²alkʊh'oːlpʊlɪklɪniːk/
alkotest	/²'alːkʊtɛsːt/
alkov	/alk'oːv/
all	/alː/
alldaglig	/²'alːdɑːglɪg/
alldeles	/²'alːdɛlɛs/, /²'alːdeːlɛs/
allé	/al'eː/
allegori	/alɛgʊr'iː/
allehanda	/²'alːɛhanːda/
allemansrätt	/²'alːɛmansrɛtː/
allena	/al'eːna/
allenarådande	/²al'eːnaroːdandɛ/
allergi	/alärg'iː/
allergisk	/al'ɛrːgɪsk/
allesamman	/alɛs'amːan/
allesammans	/alɛs'amːans/
allestädes	/²'alːɛstɛːdɛs/
allhelgonahelgen	/²alh'ɛlːgɔnahɛlːjɛn/
allians	/alɪ'anːs/, /alɪ'aŋːs/
alliansfri	/²alɪ'anːsfriː/, /²alɪ'aŋːsfriː/
allierad	/alɪ'eːrad/
allihop	/alɪh'uːp/
allihopa	/alɪh'uːpa/
allmän	/²'alːmɛnː/
allmän advokatbyrå	/²'alːmɛnː ²advʊk'ɑːtbyːrɔ/
allmänbildad	/²'alːmɛnbɪlːdad/
allmänbildning	/²'alːmɛnbɪlːdnɪŋ/
allmänfarlig	/²'alːmɛnfɑːɭɪg/
allmän försäkring	/²'alːmɛnː fœʂ'ɛːkrɪŋ/
allmängiltig	/²'alːmɛnjɪlːtɪg/
allmängods	/²'alːmɛngʊtːs/
allmänhet	/²'alːmɛnheːt/
Allmänna arvsfonden	/²'alːmɛnːa ²'arːvsfɔnːdɛn/
Allmänna försäkringskassan	/²'alːmɛnːa ²fœʂ'ɛːkrɪŋskasːan/
Allmänna reklamationsnämnden	/²'alːmɛnːa ²rɛklamaɧ'uːnsnɛmːdɛn/
allmänning	/²'alːmɛnːɪŋ/
allmännyttig	/²'alːmɛnʏtːɪg/
allmän rättshjälp	/²'alːmɛnː ²r'ɛtːsjɛlːp/
allmän röstlängd	/²'alːmɛnː ²r'œsːtlɛŋːd/
allmän tilläggspension	/'alːmɛnː ²tɪlːɛgspanɧuːn/
allmoge	/²'alːmuːgɛ/
allmosa	/²'alːmuːsa/
allra	/²'alːra/
all right	/ɔlr'ajːt/
allround	/ɔlr'aʊnd/
alls	/alːs/
allsång	/²'alːsɔŋː/
allsidig	/²'alːsiːdɪg/
allsköns	/'alːɧœns/
allsmäktig	/²'alːsmɛkːtɪg/
allsvensk	/²'alːsvɛnːsk/
Allsvenskan	/²'alːsvɛnːskan/
allt	/alːt/
allteftersom	/'alːt²'ɛfːtɛʂɔmː/
alltför	/'alːtføːr/
alltiallo	/²altɪ'alːʊ/
alltid	/²'alːtɪd/
alltid	/²'alːtɪd/, /²'alːtiːd/
alltifrån	/'altɪfroːn/
alltihop	/altɪh'uːp/
alltihopa	/altɪh'uːpa/
allting	/'alːtɪŋ/
alltjämt	/altj'ɛmːt/
alltmer	/altm'eːr/
alltmera	/altm'eːra/
alltnog	/altn'uːg/
alltså	/'alːtsɔ/
alltsamman	/alts'amːan/
alltsammans	/alts'amːans/
alltsedan	/'alːtseːdan/
allvar	/²'alːvɑːr/
allvarlig	/²'alːvɑːɭɪg/
alm	/alːm/
almanacka	/²'alːmanakːa/
Alperna	/'alːpɛɳa/
alpin	/alp'iːn/
älska	/²'ɛlːska/
älskar	/²'ɛlːskar/
älskare	/²'ɛlːskarɛ/
älskarinna	/²ɛlskar'ɪnːa/
älskling	/²'ɛlːsklɪŋ/
älsklings-	/²'ɛlːsklɪŋs/
älskog	/²'ɛlːskuːg/
älskvärd	/²'ɛlːskvɛːɖ/
alster	/'alːstɛr/
alstra	/²'alːstra/
alstrar	/²'alːstrar/
älta	/²'ɛlːta/
ältar	/²'ɛlːtar/
alt	/alːt/
altan	/alt'ɑːn/
altare	/²'alːtarɛ/
alter ego	/altɛr'eːgʊ/
alternativ	/altäɳat'iːv/
alternativ	/altäɳat'iːv/, /'alːtäɳat'iːv/
alternativt	/altäɳat'iːvt/
alternera	/altäɳ'eːra/
alternerar	/altäɳ'eːrar/
altruist	/altrɵ'ɪsːt/
aluminium	/alɵm'iːnɪɵm/
älva	/²'ɛlːva/
älv	/ɛlːv/
amalgam	/amalg'ɑːm/
amason	/amas'oːn/
amatör	/amat'øːr/
ambassad	/ambas'ɑːd/
ambassadör	/ambasad'øːr/
ämbete	/²'ɛmːbeːtɛ/
ambition	/ambɪɧ'uːn/
ambitiös	/ambɪɧ'øːs/
ambivalent	/ambɪval'ɛnt/
ambulans	/ambɵl'anːs/, /ambɵl'aŋːs/
ambulera	/ambɵl'eːra/
ambulerar	/ambɵl'eːrar/
amen	/'amːɛn/
amerikan	/amɛrɪk'ɑːn/
amerikanare	/²amɛrɪk'ɑːnarɛ/
amerikansk	/amɛrɪk'ɑːnsk/
amfiteater	/²'amːfɪtɛɑːtɛr/
amiral	/amɪr'ɑːl/
amma	/²'amːa/
ammar	/²'amːar/
ammunition	/amɵnɪɧ'uːn/
ämna	/²'ɛmːna/
ämnar	/²'ɛmːnar/
ämne	/²'ɛmːnɛ/
ämneslärare	/²'ɛmːnɛslɛːrarɛ/
ämnesnamn	/²'ɛmːnɛsnamːn/
ämnesomsättning	/²'ɛmːnɛsɔmsɛtːnɪŋ/
amnesti	/amnɛst'iː/
amning	/²'amːnɪŋ/
amok	/am'ɔkː/
amoralisk	/amʊr'ɑːlɪsk/
amortera	/amʊʈ'eːra/
amorterar	/amʊʈ'eːrar/
amortering	/amʊʈ'eːrɪŋ/
ampel	/²'amːpɛl/
ampel	/'amːpɛl/
ampere	/amp'ɛːr/
ampull	/amp'ɵlː/
amputera	/ampɵt'eːra/
amputerar	/ampɵt'eːrar/
AMS	/amːs/
AMU	/'ɑːmɵ/
AMU-center	/²'ɑːmɵsɛnːtɛr/
amulett	/amɵl'ɛtː/
ana	/²'ɑːna/
anar	/²'ɑːnar/
anabol	/anab'oːl/
anakronism	/anakrʊn'ɪsːm/
analfabet	/analfab'eːt/
analog	/anal'oːg/
analogi	/analɔg'iː/
analöppning	/²an'ɑːlœpːnɪŋ/
analys	/anal'yːs/
analysera	/analʏs'eːra/
analyserar	/analʏs'eːrar/
anamma	/an'amːa/
anammar	/an'amːar/
anamnes	/anamn'eːs/
ananas	/²'anːanas/
anarki	/anark'iː/
anarkist	/anark'ɪsːt/
anatomi	/anatɔm'iː/
anbefalla	/²'anːbɛfalːɛr/
anblick	/²'anːblɪkː/
anbringa	/²'anːbrɪŋːa/
anbringar	/²'anːbrɪŋːar/
anbud	/²'anːbʉːd/
anda	/²'anːda/
ända	/²'ɛnːda/
ändå	/²'ɛnːdoː/, /ɛnd'oː/
andakt	/²'anːdakːt/
ändamål	/²'ɛnːdamoːl/
ändamålsenlig	/²'ɛnːdamoːlseːnlɪg/
andan	/²'anːdan/
and	/anːd/
andas	/²'anːdas/
ande	/²'anːdɛ/
ände	/²'ɛnːdɛ/
andedräkt	/²'anːdɛdrɛkːt/
andel	/²'anːdeːl/
ändelse	/²'ɛnːdɛlsɛ/
andelslägenhet	/²'anːdeːlslɛːgɛnheːt/
andemening	/²'anːdɛmeːnɪŋ/
andetag	/²'anːdɛtɑːg/
andfådd	/²'anːdfɔdː/
andhämtning	/²'anːdhɛmːtnɪŋ/
andlig	/²'anːdlɪg/
andlös	/²'anːdløːs/
ändlös	/²'ɛnːdløːs/
andning	/²'anːdnɪŋ/
andningsorgan	/²'anːdnɪŋsɔrgɑːn/
andnöd	/²'anːdnøːd/
andra	/²'anːdra/
andra	/²'anːdrɑːr/
ändra	/²'ɛnːdra/
ändrar	/²'ɛnːdrar/
andrahandsaffär	/²'anːdrahandsafɛːr/
andrahandslägenhet	/²'anːdrahandslɛːgɛnheːt/
andrahandsvärde	/²'anːdrahandsvɛːɖɛ/
ändra sig	/²'ɛnːdraʂɛj/
ändring	/²'ɛnːdrɪŋ/
androgyn	/andrɔj'yːn/
andrum	/²'anːdrɵmː/
ändstation	/²'ɛnːdstaɧuːn/
ändtarm	/²'ɛnːdtarːm/
anekdot	/anɛkd'oːt/
anemi	/anɛm'iː/
än	/ɛnː/
anestesi	/anɛstɛs'iː/
anfader	/²'anːfɑːdɛr/
anfäkta	/²'anːfɛkːta/
anfäktar	/²'anːfɛkːtar/
anfall	/²'anːfalː/
anfalla	/²'anːfalːɛr/
anfang	/anf'aŋ/
anföll	/²'anːfœlː/
anföra	/²'anːføːr/
anförande	/²'anːføːrandɛ/
anfordran	/²'anːfuːɖran/
anföring	/²'anːføːrɪŋ/
anförtro	/²'anːfœʈruːr/
anförvant	/²'anːfœrvanːt/
anfrätt	/²'anːfrɛtː/
ang	/²'anːgoːɛndɛ/
ånga	/²'ɔŋːa/
ångar	/²'ɔŋːar/
angå	/²'anːgoːr/
angående	/²'anːgoːɛndɛ/
angav	/²'anːgɑːv/
äng	/ɛŋː/
ange	/²'anːjeːr/
ängel	/²'ɛŋːɛl/
angelägen	/²'anːjɛlɛːgɛn/
angelägenhet	/²'anːjɛlɛːgɛnheːt/
angenäm	/²'anːjɛnɛːm/
ånger	/'ɔŋːɛr/
ångerblankett	/²'ɔŋːɛrblaŋkɛtː/
Ångermanland	/'ɔŋːɛrmanland/
ångest	/'ɔŋːɛst/
angett	/²'anːjɛtː/
angick	/²'anːjɪkː/
angiven	/²'anːjiːvɛn/
änglavakt	/²'ɛŋːlavakːt/
angöra	/²'anːjøːr/
ångra	/²'ɔŋːra/
ångrar	/²'ɔŋːrar/
angränsande	/²'anːgrɛnːsandɛ/
angrep	/²'anːgreːp/
angrepp	/²'anːgrɛpː/
angripa	/²'anːgriːpɛr/
ängslan	/²'ɛŋːslan/
ängslig	/²'ɛŋːslɪg/
ångvält	/²'ɔŋːvɛlːt/
anhålla	/²'anːhɔlːɛr/
anhållan	/²'anːhɔlːan/
anhållande	/²'anːhɔlːandɛ/
anhalt	/²'anːhalːt/
anhängare	/²'anːhɛŋːarɛ/
anhöll	/²'anːhœlː/
anhopning	/²'anːhuːpnɪŋ/
anhörig	/²'anːhøːrɪg/
animalisk	/anɪm'ɑːlɪsk/
animerad	/anɪm'eːrad/
aning	/²'ɑːnɪŋ/
aningslös	/²ɑːnɪŋsløːs/
anis	/'ɑːnɪs/
anka	/²'aŋːka/
änka	/²'ɛŋːka/
ankar	/²'aŋːkar/
ankare	/²'aŋːkarɛ/
ankdamm	/²'aŋːkdamː/
ankel	/²'aŋːkɛl/
änkestöt	/²'ɛŋːkɛstøːt/
anklaga	/²'anːklɑːga/
anklagar	/²'anːklɑːgar/
anklagelse	/²'anːklɑːgɛlsɛ/
anklang	/²'anːklaŋː/
änkling	/²'ɛŋːklɪŋ/
ankn	/²'anːknyːtnɪŋ/
anknyta	/²'anːknyːtɛr/
anknytning	/²'anːknyːtnɪŋ/
anknytningsfall	/²'anːknyːtnɪŋsfalː/
ankomma	/²'anːkɔmːɛr/
ankomst	/²'anːkɔmːst/
ankra	/²'aŋːkra/
ankrar	/²'aŋːkrar/
anlag	/²'anːlɑːg/
anlägga	/²'anːlɛgːɛr/
anläggning	/²'anːlɛgːnɪŋ/
anlända	/²'anːlɛnːdɛr/
anledning	/²'anːleːdnɪŋ/
anlete	/²'anːleːtɛ/
anlita	/²'anːliːta/
anlitar	/²'anːliːtar/
anlöpa	/²'anːløːpɛr/
anmäla	/²'anːmɛːlɛr/
anmälan	/²'anːmɛːlan/
anmälning	/²'anːmɛːlnɪŋ/
anmana	/²'anːmɑːna/
anmanar	/²'anːmɑːnar/
anmärka	/²'anːmärːkɛr/
anmärkning	/²'anːmärːknɪŋ/
anmärkningsvärd	/²'anːmärknɪŋsvɛːɖ/
anmoda	/²'anːmuːda/
anmodar	/²'anːmuːdar/
anmodan	/²'anːmuːdan/
annalkande	/²'anːalːkandɛ/
annan	/²'anːan/
annandag	/²'anːandɑːg/
annanstans	/²'anːanstanːs/
annars	/²'anːaʂ/
annektera	/anɛkt'eːra/
annekterar	/anɛkt'eːrar/
annex	/an'ɛkːs/
annons	/an'ɔnːs/
annonsera	/anɔns'eːra/
annonserar	/anɔns'eːrar/
annorlunda	/²'anːʊɭɵnːda/
annorstädes	/²'anːʊʂʈɛːdɛs/
ännu	/²'ɛnːɵ/
annullera	/anɵl'eːra/
annullerar	/anɵl'eːrar/
anonym	/anʊn'yːm/
anor	/²'ɑːnʊr/
anorak	/'anːʊrak/
anordna	/²'anːoːɖɳa/
anordnar	/²'anːoːɖɳar/
anordning	/²'anːoːɖɳɪŋ/
anorexi	/anʊrɛks'iː/
anpassa	/²'anːpasːa/
anpassar	/²'anːpasːar/
anpasslig	/²'anːpasːlɪg/
anpassning	/²'anːpasːnɪŋ/
anpassningsbidrag	/²'anːpasnɪŋsbiːdrɑːg/
anpassningsgrupp	/²'anːpasnɪŋsgrɵpː/
anrätta	/²'anːrɛtːa/
anrättar	/²'anːrɛtːar/
anrättning	/²'anːrɛtːnɪŋ/
anrik	/²'ɑːnrɪk/
anrika	/²'anːriːka/
anrikar	/²'anːriːkar/
anropa	/²'anːruːpa/
anropar	/²'anːruːpar/
ansa	/²'anːsa/
ansar	/²'anːsar/
ansåg	/²'anːsoːg/
ansamling	/²'anːsamːlɪŋ/
ansats	/²'anːsatːs/
ansätta	/²'anːsɛtːɛr/
anse	/²'anːseːr/
ansedd	/²'anːsɛdː/
anseende	/²'anːseːɛndɛ/
ansenlig	/²'anːseːnlɪg/
ansikte	/²'anːsɪkːtɛ/
ansiktslyftning	/²'anːsɪktslʏfːtnɪŋ/
ansjovis	/anɧ'uːvɪs/
anskaffa	/²'anːskafːa/
anskaffar	/²'anːskafːar/
anskrämlig	/²'anːskrɛmːlɪg/
anslå	/²'anːsloːr/
anslag	/²'anːslɑːg/
ansluta	/²'anːslʉːtɛr/
anslutning	/²'anːslʉːtnɪŋ/
ansöka	/²'anːsøːkɛr/
ansökan	/²'anːsøːkan/
ansökning	/²'anːsøːknɪŋ/
anspela	/²'anːspeːla/
anspelar	/²'anːspeːlar/
anspråk	/²'anːsproːk/
anspråkslös	/²'anːsproːksløːs/
anstå	/²'anːstoː/
anstå	/²'anːstoːr/
anställa	/²'anːstɛlːɛr/
anställd	/²'anːstɛlːd/
anställning	/²'anːstɛlːnɪŋ/
anställningsskydd	/²'anːstɛlnɪŋsɧʏdː/
anstalt	/²'anːstalːt/
anstånd	/²'anːstɔnːd/
anständig	/²'anːstɛnːdɪg/
anstifta	/²'anːstɪfːta/
anstiftar	/²'anːstɪfːtar/
anstormning	/²'anːstɔrːmnɪŋ/
anstöt	/²'anːstøːt/
anstötlig	/²'anːstøːtlɪg/
anstränga	/²'anːstrɛŋːɛr/
ansträngning	/²'anːstrɛŋːnɪŋ/
ansvar	/²'anːsvɑːr/
ansvara	/²'anːsvɑːra/
ansvarar	/²'anːsvɑːrar/
ansvarig	/²'anːsvɑːrɪg/
ansvarsfrihet	/²'anːsvɑːʂfriːheːt/
ansvarslös	/²'anːsvɑːʂɭøːs/
anta	/²'anːtɑːr/
antagande	/²'anːtɑːgandɛ/
antågande	/²'anːtoːgandɛ/
antagandepoäng	/²'anːtɑːgandɛpʊɛŋː/
antagit	/²'anːtɑːgɪt/
antagligen	/²'anːtɑːglɪgɛn/
antagonist	/antagʊn'ɪsːt/
antal	/²'anːtɑːl/
antända	/²'anːtɛnːdɛr/
antasta	/²'anːtasːta/
antastar	/²'anːtasːtar/
anteckna	/²'anːtɛkːna/
antecknar	/²'anːtɛkːnar/
anteckning	/²'anːtɛkːnɪŋ/
antenn	/ant'ɛnː/
anti-	/²'anːtɪ/, /antɪ/
antibiotika	/antɪbɪ'oːtɪka/
antihjälte	/²'anːtɪjɛlːtɛ/
antik	/ant'iːk/
antiken	/ant'iːkɛn/
antiklimax	/²'anːtɪkliːmaks/, /antɪkl'iːmaks/
antikropp	/²'anːtɪkrɔpː/
antikvariat	/antɪkvarɪ'ɑːt/
antikverad	/antɪkv'eːrad/
antikvitet	/antɪkvɪt'eːt/
antingen	/²'anːtɪŋɛn/
antisemit	/antɪsɛm'iːt/
antiseptisk	/antɪs'ɛpːtɪsk/
äntligen	/²'ɛnːtlɪgɛn/
antog	/²'anːtuːg/
antologi	/antɔlɔg'iː/
äntra	/²'ɛnːtra/
äntrar	/²'ɛnːtrar/
anträffa	/²'anːtrɛfːa/
anträffar	/²'anːtrɛfːar/
antropologi	/antrɔpɔlɔg'iː/
antyda	/²'anːtyːdɛr/
antydan	/²'anːtyːdan/
antydning	/²'anːtyːdnɪŋ/
använda	/²'anːvɛnːdɛr/
användarnamn	/²'anːvɛndaɳamːn/
användbar	/²'anːvɛndbɑːr/
användning	/²'anːvɛnːdnɪŋ/
anvisa	/²'anːviːsa/
anvisar	/²'anːviːsar/
anvisning	/²'anːviːsnɪŋ/
ånyo	/²ɔn'yːʊ/
aorta	/²a'ɔʈːa/
apa	/²'ɑːpa/
apa efter	/²ɑːpar'ɛfːtɛr/, /ɑːpar'ɛfːtɛr/
apanage	/apan'ɑːɧ/
apart	/ap'ɑːʈ/, /ap'aʈː/
apartheid	/ap'ɑːʈhɛjd/
apati	/apat'iː/
apatisk	/ap'ɑːtɪsk/
apelsin	/apɛls'iːn/
aperitif	/apɛrɪt'ɪfː/
AP-fonden	/²'ɑːpeːfɔnːdɛn/
apokalyptisk	/apʊkal'ʏpːtɪsk/
apostel	/ap'ɔsːtɛl/
apostrof	/apʊstr'oːf/
apotek	/apʊt'eːk/
apparat	/apar'ɑːt/
apparatur	/aparat'ʉːr/
appell	/ap'ɛlː/
appellera	/apɛl'eːra/
appellerar	/apɛl'eːrar/
appendicit	/apɛndɪs'iːt/
appendix	/ap'ɛnːdɪks/
applåd	/apl'oːd/
applådera	/aplɔd'eːra/
applåderar	/aplɔd'eːrar/
