آی	/ɒːj/
احتیاج داشتن	/ehtiːɒːd͡ʒdɒːʃtæn/
احترام	/ehteɾɒːm/
احترام گذاشتن	/ehteɾɒːm ɡozɒːʃtæn/
احترام گذاشتن	/ehteɾɒːmɡozɒːʃtæn/
احتياط	/ehtiːɒːt/
احتياط کردن	/entiːɒːtkæɾdæn/
احساس	/ehsɒːs/
احساس کردن	/ehsɒːskæɾdæn/
احضار	/ehzɒːɾ/
احضار کردن	/ehzɒːɾkæɾdæn/
احمق	/æhmæɢ/
احمقانه	/æhmæɢɒːne/
آخ	/ɒːx/
اخبار	/æxbæɾ/
اختیار	/extiːɒːɾ/
اختیار افتادن	/extiːɒːɾoftɒːdæn/
اختیار دادن	/extiːɒːɾdɒːdæn/
اختیار گذاشتن	/extiːɒːɾɡozɒːʃtæn/
اختر	/æxtæɾ/
اختری	/æxtæɾiː/
اختربین	/æxtæɾbiːn/
اخترشناس	/æxtæɾʃenɒːs/
اخترمار	/æxtæɾmɒːɾ/
اختصاص	/extesɒːs/
اختصاص دادن	/extesɒːsdɒːdæn/
اختصاص داشتن	/extesɒːsdɒːʃtæn/
اختلاط	/extelɒːt/
اختلاط کردن	/extelɒːtkæɾdæn/
اختلاف	/extelɒːf/
اخته	/æxte/
یاخته	/jæxte/
آخر	/ɒːxæɾ/
اخیرا	/æxiːɾæn/
اخراج	/exɾɒːd͡ʒ/
اخراج کردن	/exɾɒːd͡ʒkæɾdæn/
آخرت	/ɒːxeɾæt/
آخر هفته	/ɒːxæɾe hæfte/
آخر هفته	/ɒːxeɾe hæfte/
آخشیج	/ɒːxʃiːd͡ʒ/
اخطار	/extɒːɾ/
اخطار کردن	/extɒːɾkæɾdæn/
اخلاق	/æxlɒːɢ/
اخم	/æxm/
اخم کردن	/æxmkæɾdæn/
آخور	/ɒːxoɾ/
آخوندک	/ɒːxuːndæk/
یاد	/jɒːd/
ادا	/ædɒː/
ادا آمدن	/ædɒːɒːmædæn/
ادا درآوردن	/ædɒːdæɾɒːvæɾdæn/
اداره	/edɒːɾe/
اداره پست	/edɒːɾeje post/
یاد افتادن	/jɒːdoftɒːdæn/
ادا کردن	/ædɒːkæɾdæn/
آدام	/ɒːdɒːm/
یاد آمدن	/jɒːdɒːmædæn/
آدامس	/ɒːdɒːms/
ادامه	/edɒːme/
ادامه یافتن	/edɒːmejɒːftæn/
ادامه دادن	/edɒːmedɒːdæn/
ادامه داشتن	/edɒːmedɒːʃtæn/
ادیان ابراهیمی	/ædjɒːne ebɾɒːhiːmiː/
یاد انداختن	/jɒːdændɒːxtæn/
یادآوری	/jɒːdɒːvæɾiː/
یاد آوردن	/jɒːdɒːvæɾdæn/
یادآوری کردن	/jɒːdɒːvæɾiː kæɾdæn/
یادآوری کردن	/jɒːdɒːvæɾiːkæɾdæn/
ادب	/ædæb/
ادبی	/ædæbiː/
یاد بردن	/jɒːdboɾdæn/
یادبود	/jɒːdbuːd/
یاد دادن	/jɒːd dɒːdæn/
یاد دادن	/jɒːddɒːdæn/
یادداشت	/jɒːddɒːʃt/
یادداشت کردن	/jɒːddɒːʃtkæɾdæn/
ادرار	/edɾɒːɾ/
ادراری	/edɾɒːɾiː/
آدرس	/ɒːdɾes/
ایدز	/ejdz/
آدیس آبابا	/ɒːdiːs ɒːbɒːbɒː/
یادش آمدن	/jɒːdæʃ ɒːmædæn/
ادعا	/eddeʔɒː/
ادعا کردن	/eddeʔɒːkæɾdæn/
یاد کردن	/jɒːdkæɾdæn/
ادکلن	/odkolon/
یادگار	/jɒːdɡɒːɾ/
یادگاری	/jɒːdeɡɒːɾiː/
یاد گرفتن	/jɒːd ɡeɾeftæn/
یاد گرفتن	/jɒːdɡeɾeftæn/
آدم	/ɒːdæm/
آدمی	/ɒːdæmiː/
یاد ماندن	/jɒːdmɒːndæn/
آدم برفی	/ɒːdæmbæɾfiː/
آدم‌خواری	/ɒːdæmxɒːɾiː/
آدینه	/ɒːdiːne/
ایده	/iːde/
ادوکلن	/odokolon/
ادویه	/ædviːje/
ادویه زدن	/ædviːjezædæn/
اذان	/æzɒːn/
اذیت	/æziːjæt/
اذیت کردن	/æziːjætkæɾdæn/
آذر	/ɒːzæɾ/
آذری	/ɒːzæɾiː/
آذربایجانی	/ɒːzæɾbɒːjd͡ʒɒːniː/
آذربایجان	/ɒːzæɾbɒːjed͡ʒɒːn/, /ɒːzæɾbɒːjd͡ʒɒːn/
آذرخش	/ɒːzæɾæxʃ/
یار	/jɒːɾ/
یاری	/jɒːɾiː/
آریایی	/ɒːɾiːjɒːjiː/
ارابه	/æɾɒːbe/, /æɾɾɒːbe/
ایراد	/iːɾɒːd/
ایراد گرفتن	/iːɾɒːdɡeɾeftæn/
آرارات	/ɒːɾæɾæt/
آراستن	/ɒːɾɒːstæn/
آرایش	/ɒːɾɒːjeʃ/
آرایش دادن	/ɒːɾɒːjeʃdɒːdæn/
آرام	/ɒːɾɒːm/
آرامش	/ɒːɾɒːmeʃ/
آرامش بخشیدن	/ɒːɾɒːmeʃbæxʃiːdæn/
آرام شدن	/ɒːɾɒːm ʃodæn/
آرامگاه	/ɒːɾɒːmɡɒːh/
آرام گرفتن	/ɒːɾɒːmɡeɾeftæn/
ایران	/iːɾɒːn/
ایرانی	/iːɾɒːniː/
آرانی	/ɒːɾɒːniː/
آرایه	/ɒːɾɒːje/
ارائه	/eɾɒːʔe/
ارائه دادن	/eɾɒːʔedɒːdæn/
ارائه شدن	/eɾɒːʔeʃodæn/
آرايشگر	/ɒːɾɒːjeʃɡæɾ/
ارت	/eɾt/
ارتباط	/eɾtebɒːt/
ارتداد	/eɾtedɒːd/
ارتش	/æɾteʃ/
ارتفاع	/eɾtefɒːʔ/
ارت کردن	/eɾt kæɾdæn/
ارث	/eɾs/
ارث بردن	/eɾsboɾdæn/
ارث رسیدن	/eɾsɾesiːdæn/
ارث گذاشتن	/eɾsɡozɒːʃtæn/
ارج نهادن	/æɾd͡ʒnæhɒːdæn/
آرخانگلسک	/ɒːɾxɒːnɡelsk/
آرد	/ɒːɾd/
ارد	/oɾd/
یاری دادن	/jɒːɾiːdɒːdæn/
اردیبهشت	/oɾdiːbeheʃt/
اردک	/oɾdæk/
اردنگی 	/oɾdænɡiː/
اردنگی  زدن	/oɾdænɡiːzædæn/
اردو	/oɾduː/
اردو زدن	/oɾduːzædæn/
ارزیابی	/æɾzjɒːbiː/
ارزیابی کردن	/æɾzjɒːbiːkæɾdæn/
ارزان	/æɾzɒːn/
ارزانی	/æɾzɒːniː/
ارزانی داشتن	/æɾzɒːniːdɒːʃtæn/
ارزش	/æɾzeʃ/
ارزشگذاری	/æɾzeʃɡodhæɾiː/
ارزن	/æɾzæn/
آرزو	/ɒːɾezuː/
آرزو داشتن	/ɒːɾezuː dɒːʃtæn/
آرزو داشتن	/ɒːɾezuːdɒːʃtæn/
آرزو كردن	/ɒːɾezuː kæɾdæn/
آرزو کردن	/ɒːɾezuːkæɾdæn/
آرزو کشیدن	/ɒːɾezuːkeʃiːdæn/
آرزومندی	/ɒːɾezuːmændiː/
آرژانتین	/ɒːɾʒɒːntiːn/
ارس	/æɾæs/
ارسال	/eɾsɒːl/
ارسال کردن	/eɾsɒːlkæɾdæn/
ارسطو	/æɾestuː/
آرسنیک	/ɒːɾseniːk/
ارشاد	/eɾʃɒːd/
ارشاد کردن	/eɾʃɒːdkæɾdæn/
ارشمیدس	/æɾʃemiːdes/
ارعابگری	/eɾʔɒːbɡæɾiː/
ارغنون	/æɾɢænuːn/
ارغوانی	/æɾɢævɒːniː/
ارقام رومی	/æɾɢɒːme ɾuːmiː/
ارکاک	/eɾkɒːk/
یاری کردن	/jɒːɾiː kæɾdæn/
ارکستر	/oɾkestɾ/
ایرکوتسک	/iːɾkuːtsk/
ارگ	/oɾɡ/
ارگاسم	/oɾɡɒːsm/
یاریگر	/jɒːɾiːɡæɾ/
آرگون	/ɒːɾɡon/
ایرلند	/ʔiːɾlænd/
ایرلندی	/iːɾlændiː/
آرماگدون	/ɒːɾmæɡedon/
آرمان	/ɒːɾmɒːn/
آرمانی	/ɒːɾmɒːniː/
ارمغان	/æɾmæɢɒːn/
ارمغان دادن	/æɾmæɢɒːndɒːdæn/
ارمنی	/æɾmæniː/
ارمنستان	/æɾmænestɒːn/
ارمود	/æɾmuːd/
ارنبورگ	/oɾenbuːɾɡ/
ارنی ترنگ	/oɾniː toɾænɡ/
آرنج	/ɒːɾænd͡ʒ/
آرنج	/ɒːɾend͡ʒ/
اره	/æɾɾe/
آره	/ɒːɾe/
اره كردن	/æɾɾe kæɾdæn/
اره کشیدن	/æɾɾekeʃiːdæn/
اره‌ماهی	/æɾɾemɒːhiː/
اره و اوره و شمسی کوره	/ɒːɾe uːɾe ʃæmsiː kuːɾe/
ایروان	/eɾævɒːn/
اروپا	/oɾuːpɒː/
اروپای مرکزی	/oɾuːpɒːje meɾkæziː/
اروتیکی	/eɾotiːkiː/
اروس	/eɾuːs/
یاروسلاول	/jæɾuːslɒːvl/
آروغ	/ɒːɾoɢ/
آروغ زدن	/ɒːɾoɢzædæn/
اروگوئه	/oɾuːɡuːʔe/
ارومیه	/oɾuːmiːe/
از	/æz/
آزاد	/ɒːzɒːd/
آزادی	/ɒːzɒːdiː/
آزادی بیان	/ɒːzɒːdiːje bejɒːn/
آزاد ساختن	/ɒːzɒːd sɒːxtæn/
آزاد کردن	/ɒːzɒːd kæɾdæn/
آزادماهی	/ɒːzɒːdmɒːhiː/
آزادی مطبوعات	/ɒːzɒːdiːje mætbuːʔɒːt/
آزار	/ɒːzɒːɾ/
آزار دادن	/ɒːzɒːɾdɒːdæn/
از بر	/æz bæɾ/
ازبکی	/ozbækiː/
ازبکستان	/ozbækestɒːn/
از حالا	/æz hɒːlæn/
از حفظ	/æz hefz/
ایزد	/iːzæd/
از دست دادن	/æz dæst dɒːdæn/
یازده	/jɒːzdæh/
ازدواج	/ezdevɒːd͡ʒ/
ازدواج کردن	/ezdevɒːd͡ʒ kæɾdæn/
ازدواج کردن	/ezdevɒːd͡ʒkæɾdæn/
از طرف ديگر	/æz tæɾæf dîɡæɾ/
از کی	/æz kej/
از کی تا حالا	/æz kej tɒː hɒːlɒː/
ازگیل	/æzɡiːl/
آزمایش	/ɒːzmɒːjeʃ/
آزمایشگاه	/ɒːzmɒːjeʃɡɒːh/
آزمودن	/ɒːzmuːdæn/
آزمون‌پذیر	/ɒːzmuːnpæziːɾ/
آزمون‌پذیری	/ɒːzmuːnpæziːɾiː/
ازن	/ozon/
ازوپ	/ezuːp/
آژان پرووکاتور	/ɒːʒɒːn pɾovokɒːtoɾ/
آژانس ازدواج	/ɒːʒɒːns ezdevɒːd͡ʒ/
اژدر	/æʒdæɾ/
اژدها	/eʒdehæ/
اژدهای بالدار	/eʒdehæje bældæɾ/
اژدهابلم	/eʒdehæbælæm/
ایژوسک	/iːʒevsk/
یاس	/jɒːs/
آسیا	/ɒːsiːjɒː/
آسیای جنوبی	/ɒːsiːjɒːje d͡ʒonuːbiː/
اس ام اس	/esemes /
اس ام اس	/esemes/
اس ام اس زدن	/esemeszædæn/
اس ام اس کردن	/esemeskæɾdæn/
آسان	/ɒːsɒːn/
اسب	/æsb/
آسیب	/ɒːsiːb/
اسباب	/æsbɒːb/
اسب آبی	/æsbe ɒːbiː/
اسباب بازی	/æsbɒːb bɒːziː/
اسباب کشیدن	/æsbɒːbkeʃiːdæn/
آسیب خوردن	/ɒːsiːbxoɾdæn/
اسب دریایی	/æsbe dæɾjɒːjiː/
آسیب رسیدن	/ɒːsiːbɾesiːdæn/
آسیب زدن	/ɒːsiːbzædæn/
آسیب‌شناسی	/ɒːsiːbʃenɒːsiː/
اسپارت	/espɒːɾt/
اسپانیا	/espɒːniːjæ/
اسپانیایی	/espɒːniːjɒːiː/
اسپرانتو	/espeɾɒːnto/
اسپرز	/espoɾz/
اسپریس	/æspɾiːs/
اسپرماتوزئید	/espeɾmɒːtozoʔiːd/
اسپست	/espest/, /æspest/
اسپین	/espiːn/
است	/æst/
ایست	/est/
استاتین	/æstɒːtiːn/
استاد	/ostɒːd/
ایستادن	/iːstɒːdæn/
استارباکس	/estɒːɾbɒːks/
استارت	/estɒːɾt/
استارت زدن	/estɒːɾtzædæn/
استانبول	/estɒːmbuːl/
استاندارد	/estɒːndɒːɾd/
آستانه	/ɒːstɒːne/
استثمار	/estesmɒːɾ/
استثمار شدن	/estesmɒːɾʃodæn/
استثنایی	/estesnæeiː/
استخدام	/estexdɒːm/
استخدام شدن	/estexdɒːmʃodæn/
استخدام کردن	/estexdɒːmkæɾdæn/
استخر	/estæxɾ/
استخوانی	/ostexɒniː/
استخوان	/ostexwɒːn/
استخوان	/ostoxɒːn/
استخوان‌بندی	/ostoxɒːnbændiː/
استخون	/ostoxuːn/
ایستر	/iːstæɾ/
استراتژی	/esteɾɒːteʒiː/
استراتفورد	/estɾɒːtfoɾd/
استراحت	/esteɾɒːhæt/
استراحت کردن	/esteɾɒːhætkæɾdæn/
استرالیا	/ostɾɒːliːjæ/
آستریکس	/ɒːsteɾjks/
استرونسیم	/æstɾuːnsiːm/
استعداد	/esteʔdɒːd/
استعمارگری	/esteʔmɒːɾɡæɾiː/
استفاده	/estefɒːde/
استفاده شدن	/estefɒːdeʃodæn/
استفاده کردن	/estefɒːde kæɾdæn/
استفاده کردن	/estefɒːdekæɾdæn/
استفراغ	/estefɾɒːɢ/
استفراغ افتادن	/estefɾɒːɢoftɒːdæn/
استفراغ کردن	/estefɾɒːɢkæɾdæn/
استقبال	/esteɢbɒːl/
استقبال کردن	/esteɢbɒːlkæɾdæn/
استکان	/estekɒːn/
استکان زدن	/estekɒːnzædæn/
ایستگاه	/iːstɡɒːh/
ایستگاه اتوبوس	/iːstɡɒːhe otobuːs/
استمنا کردن	/estemnɒː kæɾdæn/
استنباط	/estembɒːt/
استنباط شدن	/estembɒːtʃodæn/
استنطاق	/estentɒːɢ/
استنطاق کردن	/estentɒːɢkæɾdæn/
استنطاق کشیدن	/estentɒːɢkeʃiːdæn/
استوار بودن	/ostovɒːɾ buːdæn/
استوخودوس	/ostoxuːddos/
استودیو	/estuːdiːjuː/
استونی	/estuːniː/
استونیایی	/estuːniːjɒːjiː/
استونیائی	/estuːniːjɒːʔiː/
اسحاق	/eʃɒːɢ/
اسیر	/æsiːɾ/
اسرائیل	/esɾɒːʔiːl/
اسرائیلی	/esɾɒːʔiːliː/
یاس شیروانی	/jɒːse ʃiːɾvɒːniː/
آسفالت	/ɒːsfɒːlt/
آسفالت شدن	/ɒːsfɒːltʃodæn/
آسفالت کردن	/ɒːsfɒːltkæɾdæn/
اسفناج	/esfenɒːd͡ʒ/
اسفنج	/esfænd͡ʒ/
اسفند	/esfænd/
اسقف	/osɢof/
اسکاتلند	/eskɒːtlænd/
اسکار	/oskæɾ/
ایسیک کول	/iːstiːk kuːl/
اسکلت	/eskelet/
اسکناس	/eskenɒːs/
اسکندر	/eskændæɾ/
اسکندر مقدونی	/eskændæɾ mæɢeduːniː/
اسکوپیا	/iːskopiːjɒː/
اسکوپیه	/iːskopiːjæh/
اسلام	/eslɒːm/
اسلامی	/eslɒːmiː/
اسلام‌آباد	/eslɒːmɒːbɒːd/
اسلام‌گرا	/eslɒːmɡæɾɒː/
اسلام‌گرایی	/eslɒːmɡæɾɒːjiː/
اسلام‌هراسی	/eslɒːmhæɾɒːsiː/
اسلاو	/eslɒːv/
اسلحه گرم	/æslæhe ɡæɾm/
اسلیمی	/esliːmiː/
ایسلند	/ʔiːslænd/
ایسلندی	/ʔiːslændiː/
اسلو	/oslo/
اسلوونی	/esloveniː/
اسلوونیایی	/esluːveniːjɒːjiː/
اسلوونیائی	/esluːveniːjɒːʔiː/
اسم	/esm/
آسمان	/ɒːsemɒːn/, /ɒːsmɒːn/
اسمبلی	/æsembeliː/
اسمیت	/iːsmiːt/
اسم جمع	/esmed͡ʒæmʔ/
اسم فامیل	/esme fɒːmiːl/
اسمیم	/osmiːjom/
یاسمن	/jɒːsæmen/
یاسمین	/jɒːsæmiːn/
یاسمون	/jɒːsæmuːn/
اسنوکر	/esnuːkeɾ/
اسهال	/eshɒːl/
اسهال زدن	/eshɒːlzædæn/
اسوار	/æsvæɾ/
اسير	/æsiːɾ/
اشاره	/eʃɒːɾe/
اشاره کردن	/eʃɒːɾekæɾdæn/
آشامیدن	/ɒːʃɒːmiːdæn/
آشامیدنی	/ɒːʃɒːmiːdæniː/
ایشان	/iːʃɒːn/
آشیانه	/ɒːʃjɒːne/
آشیانه گرفتن	/ɒːʃjɒːneɡeɾeftæn/
آشپز	/ɒːʃpæz/
آشپزی	/ɒːʃpæziː/
آشپزخانه	/ɒːʃpæzxɒːne/
آشتی	/æʃtiː/
آشتی	/ɒːʃtiː/
اشتیاق	/eʃtiːjɒːɢ/
اشتباه	/eʃtebɒːh/
اشتباه شدن	/eʃtebɒːhʃodæn/
اشتباه کردن	/eʃtebɒːhkæɾdæn/
آشتی دادن	/æʃtiːdɒːdæn/
اشتراوس	/eʃtɾɒːuːs/
آشتی کردن	/æʃtiːkæɾdæn/
آشخال	/ɒːʃxɒːl/
اشغال	/eʃɢɒːl/
آشغال	/ɒːʃɢɒːl/
اشغال کردن	/eʃɢɒːlkæɾdæn/
اشک	/æʃk/
آشکار کردن	/ɒːŝkɒːɾ kæɾdæn/
اشک ریختن	/æʃkɾiːxtæn/
آشنا	/ɒːʃenɒː/
آشنا	/ɒːʃnɒː/
آشنایی	/ɒːʃnɒːjiː/
آشنایی دادن	/ɒːʃnɒːjiːdɒːdæn/
آشنا شدن	/ɒːʃnɒː ʃodæn/
آشوب	/ɒːʃuːb/
آشور	/ɒːʃuːɾ/
اصابت	/esɒːbæt/
اصابت کردن	/esɒːbætkæɾdæn/
اصرار	/esɾɒːɾ/
اصرار کردن	/esɾɒːɾkæɾdæn/
اصفهان	/esfæhɒːn/
اصل	/æsl/
اصلی	/æsliː/
اصلاح	/eslɒːh/
اصلاح کردن	/eslɒːhkæɾdæn/
اصول اخلاق	/osuːle æxlɒːɢ/
اضافه	/ezɒːfe/
اض پوشت ب ژلو گوضشتن	/æz poʃt be d͡ʒelo ɡozæʃtæn/
اطاعت	/etɒːʔæt/
اطاعت کردن	/etɒːʔætkæɾdæn/
اطاق خواب	/otɒːɢe xɒːb/
اطلاع	/ettelɒːʔ/
اطلاعات	/ettelɒːʔɒːt/
اطلس	/ætlæs/
اطمینان	/etmiːnɒːn/
اطمینان دادن	/etmiːnɒːndɒːdæn/
اطمینان داشتن	/etmiːnɒːndɒːʃtæn/
اطو	/otuː/
اظهار	/æzhɒːɾ/
اظهار	/ezhɒːɾ/
اظهار کردن	/ezhɒːɾkæɾdæn/
اظهارنظر	/ezhɒːɾe næzæɾ/
اظهارنظر کردن	/ezhɒːɾenæzæɾkæɾdæn/
اعتبار	/eʔtebɒːɾ/
اعتراف	/eʔteɾɒːf/
اعتراف کردن	/eʔteɾɒːfkæɾdæn/
اعتصاب	/eʔtesɒːb/
اعتقاد	/eʔteɢɒːd/
اعتقاد داشتن	/eʔteɢɒːddɒːʃtæn/
اعتماد	/eʔtemɒːd/
اعتماد کردن	/eʔtemɒːdkæɾdæn/
اعتنا	/eʔtenɒː/
اعتنا کردن	/eʔtenɒːkæɾdæn/
اعدام	/eʔdɒːm/
اعدام کردن	/eʔdɒːm kæɾdæn/
اعضا	/æzɒː/
اعلام	/eʔlɒːm/
اعلام شدن	/eʔlɒːmʃodæn/
اعلام کردن	/eʔlɒːmkæɾdæn/
اعلامیه	/eʔlɒːmiːje/
اعلامیه زدن	/eʔlɒːmiːjezædæn/
آغا	/ɒːɢɒː/
آغاز	/ɒːɢɒːz/
آغاز شدن	/ɒːɢɒːzʃodæn/
اغاز کردن	/æɢɒːz kæɾdæn/
اغلب	/æɢlæb/
اغوز	/uːɢuːz/
آغوش	/ɒːɢuːʃ/
آغوش کشیدن	/ɒːɢuːʃkeʃiːdæn/
آغوش گرفتن	/ɒːɢuːʃɡeɾeftæn/
اف‌بی‌آی	/efbiːɒːj/
آفت	/ɒːfæt/
آفتاب	/ɒːftɒːb/
آفتابی	/ɒːftɒːbiː/
آفتاب‌پرست	/ɒːftɒːbpæɾæst/
آفتابگیر	/ɒːftɒːbɡiːɾ/
آفتابگیر زدن	/ɒːftɒːbɡiːɾzædæn/
آفتاب گرفتن	/ɒːftɒːbɡeɾeftæn/
آفتابه	/ɒːftɒːbe/
افتادن	/oftɒːdæn/
افتخار	/eftexɒːɾ/
افتخار کردن	/eftexɒːɾkæɾdæn/
افترا	/efteɾɒː/
افترا خوردن	/efteɾɒːxoɾdæn/
افترا زدن	/efteɾɒːzædæn/
یافتن	/jɒːftæn/
آفریدن	/ɒːfæɾiːdæn/
آفریقا	/ɒːfɾiːɢɒː/
آفریقایی	/ɒːfɾiːɢɒːjiː/
آفریقای جنوبی	/ɒːfɾiːɢɒːje d͡ʒonuːbiː/
آفریکانز	/ɒːfɾiːkɒːnz/
آفریکانس	/ɒːfɾiːkɒːns/
افروختن	/æfɾuːxtæn/
افزاره	/æfzɒːɾe/
افزایش	/æfzɒːjeʃ/
افزایش	/æfzɒːjeŝ/
افزایش دادن	/æfzɒːjeʃdɒːdæn/
افزایش گرفتن	/æfzɒːjeʃɡeɾeftæn/
افزایه	/æfzɒːje/
افزودن	/æfzuːdæn/
افسس	/æfss/
افسوس	/æfsuːs/
افشردن	/æfʃoɾdæn/
افشک	/æfʃæk/
افشنگ	/æfʃænɡ/
افغان	/æfɢɒːn/
افغانی	/æfɢɒːniː/
افغانستان	/æfɢɒːnestɒːn/
افق	/ofoɢ/
افلاطون	/æflɒːtuːn/
افندی	/efendiː/
افیون	/æfjuːn/
آی‌فون	/ɒːjfuːn/
آقا	/ɒːɢɒː/
آقا	/ɒːĝɒː/
