ก ข ไม่กระดิกหู	/mâj kràʔ dìk hǔː/
ฆาตกรรม	/kʰâːt tàʔ kam/
ฆาตกร	/kʰâːt tà kɔːn/
ฆาตกรต่อเนื่อง	/kʰâːt tà kɔːn tɔ̀ː nɯ̂ːaŋ/
เฆี่ยน	/kʰîːan/
โฆษก	/kʰoː sòk/
โฆษณา	/kʰôːt sà naː/
โฆษณาชวนเชื่อ	/kʰôːt sà naː tɕʰuːan tɕʰɯ̂ːa/
โฆษะ	/kʰoː sàʔ/
งก	/ŋók/
งก ๆ	/ŋók ŋók/
งก ๆ เงิ่น ๆ	/ŋók ŋók ŋɤ̂ːn ŋɤ̂ːn/
งก ๆ เงิ่น ๆ	/ŋók ŋók ŋɤ̂ːn ŋɤ̂ːn/
งกงัน	/ŋók ŋan/
งง	/ŋoŋ/
งงงวย	/ŋoŋ ŋuaj/
งงงวย	/ŋoŋ ŋuaj/
งงเต้ก	/ŋoŋ têk/
งงเป็นไก่ตาแตก	/ŋoŋ pen kàj taː tɛ̀ːk/
งงงัน	/ŋoŋ ŋan/
งด	/ŋót/
งดการพิจารณา	/ŋót kaːn pʰíʔ tɕaː rá naː/
งดโทษ	/ŋót tʰôːt/
งดเว้น	/ŋót wén/
งดเว้นอบายมุข	/ŋót wén ʔà baːj já múk/
งดเว้นออกเสียง	/ŋót wén ʔɔ̀ːk sǐːaŋ/
งดไว้	/ŋót wáj/
งดออกเสียง	/ŋót ʔɔ̀ːk sǐːaŋ/
งดงาม	/ŋót ŋaːm/
งบ	/ŋóp/
งบกำไร-ขาดทุน	/ŋóp kam raj kʰàːt tʰun/
งบกำไรสะสม	/ŋóp kam raj sàʔ sǒm/
งบเงิน	/ŋóp ŋɤn/
งบดุล	/ŋóp dun/
งบประมาณ	/ŋóp pràʔ maːn/
งบประมาณแผ่นดิน	/ŋóp pràʔ maːn pʰɛ̀n din/
งม	/ŋom/
งมโข่ง	/ŋom kʰòːŋ/
งมงาย	/ŋom ŋaːj/
งวง	/ŋuːaŋ/
งวงอากาศยาน	/ŋuːaŋ ʔaː kàːt sà jaːn/
ง่วง	/ŋûːaŋ/
ง่วงงุน	/ŋûːaŋ ŋun/
ง่วงนอน	/ŋûːaŋ nɔːn/
ง่วงเหงา	/ŋûːaŋ ŋǎw/
ง่วงเหงาหาวนอน	/ŋûːaŋ ŋǎw hǎːw nɔːn/
งวงช้าง	/ŋuːaŋ tɕʰáːŋ/
งวด	/ŋûːat/
งวดเข้ามาทุกขณะ	/ŋûːat kʰâw maː tʰúk kʰà nàʔ/
จ.	/wan tɕan/
จ.ต.	/tɕàː triː/
จ.ท.	/tɕàː tʰoː/
จ.ส.ต.	/tɕàː sìp triː/
จ.ส.ท.	/tɕàː sìp tʰoː/
จ.ส.อ.	/tɕàː sìp ʔèːk/
จ.อ.	/tɕàː ʔèːk/
จขกท.	/tɕɔː kʰɔ̌ː kɔː tʰɔː/
จขคห.	/tɕɔː kʰɔ̌ː kʰɔː hɔ̌ː/
จขบ.	/tɕɔː kʰɔ̌ː bɔː/
จง	/tɕoŋ/
จงเกลียดจงชัง	/tɕoŋ klìːat tɕoŋ tɕʰaŋ/
จงใจ	/tɕoŋ tɕaj/
จงดู	/tɕoŋ duː/
จงเตรียมพร้อม	/tɕoŋ triːam pʰrɔ́ːm/
จงฟัง	/tɕoŋ faŋ/
จงรักภักดี	/tɕoŋ rák pʰák diː/
จงรักภักดีกับ	/tɕoŋ rák pʰák diː kàp/
จงกรม	/tɕoŋ krom/
จงอาง	/tɕoŋ ʔaːŋ/
จชด.	/tɕɔː tɕʰɔː dɔː/
จด	/tɕòt/
จดจ่อ	/tɕòt tɕɔ̀ː/
จด ๆจ้อง ๆ	/tɕòt tɕɔ̂ːŋ/
จด ๆจ้อง ๆ	/tɕòt tɕɔ̂ːŋ/
จดจำ	/tɕòt tɕam/
จดจำไม่รู้ลืม	/tɕòt tɕam mâj rúː lɯːm/
จดทะเบียน	/tɕòt tʰáʔ biːan/
จดทะเบียนถูกต้องตามกฎหมาย	/tɕòt tʰáʔ biːan tʰùːk tɔ̂ŋ taːm kòt mǎːj/
จดทะเบียนสมรส	/tɕòt tʰáʔ biːan sǒm rót/
จดบันทึก	/tɕòt ban tʰɯ́k/
จดไว้	/tɕòt wáj/
จดสิทธิบัตร	/tɕòt sìt tʰíʔ bàt/
จดหมาย	/tɕòt mǎːj/
ฉก	/tɕʰòk/
ฉกชิง	/tɕʰòk tɕʰiŋ/
ฉกชิงวิ่งราว	/tɕʰòk tɕʰiŋ wîŋ raːw/
ฉก.ร.	/tɕʰɔ̌ː kɔː rɔː/
ฉกฉวย	/tɕʰòk tɕʰǔaj/
ฉกรรจ์	/tɕʰà kan/
ฉกาจ	/tɕʰà kàːt/
ฉกาจฉกรรจ์	/tɕʰà kàːt tɕʰà kan/
ฉงน	/tɕʰà ŋǒn/
ฉงนใจ	/tɕʰà ŋǒn tɕaj/
ฉงนฉงาย	/tɕʰà ŋǒn tɕʰà ŋaːj/
ฉงาย	/tɕʰà ŋaːj/
ฉช.	/tɕʰàʔ tɕʰɤːŋ saw/
ฉนวน	/tɕʰà nǔːan/
ฉนาก	/tɕʰà nàːk/
ฉบัง	/tɕʰà baŋ/
ฉบับ	/tɕʰà bàp/
ฉบับพิมพ์	/tɕʰà bàp pʰim/
ฉบับพิสดาร	/tɕʰà bàp pʰít sà daːn/
ฉบับสำเนา	/tɕʰà bàp sǎm naw/
ฉบับหน้า	/tɕʰà bàp nâː/
ฉมวก	/tɕʰà mùːak/
ฉมัง	/tɕʰà mǎŋ/
ฉล	/tɕʰǒn/
ฉลวย	/tɕʰà lǔaj/
ฉลอง	/tɕʰà lɔ̌ːŋ/
ฉลองครบรอบศตวรรษ	/tɕʰà lɔ̌ːŋ kʰróp rɔ̂ːp sà tà wát/
ฉลอม	/tɕʰà lɔ̌ːm/
ฉลาก	/tɕʰà làːk/
ฉลาด	/tɕʰà làːt/
ฉลาดกว่า	/tɕʰà làːt kwàː/
ฉลาดแกมโกง	/tɕʰà làːt kɛːm koːŋ/
ฉลาดเฉลียว	/tɕʰà làːt tɕʰà lǐːaw/
ฉลาดทางอารมณ์	/tɕʰà làːt tʰaːŋ ʔaː rom/
ฉลาดเป็นกรด	/tɕʰà làːt pen kròt/
ฉลาดเหมือนศรีธนญชัย	/tɕʰà làːt mɯ̌ːan sǐː tʰá non tɕʰaj/
ฉลาม	/tɕʰà lǎːm/
ฉลามชล	/tɕʰà lǎːm tɕʰon/
ฉลุ	/tɕʰà lùʔ/
ฉลุย	/tɕʰà lǔj/
ฉลู	/tɕʰà lǔː/
ฉวย	/tɕʰǔaj/
ฉวยจังหวะ	/tɕʰǔaj tɕaŋ wàʔ/
ฉวัดเฉวียน	/tɕʰà wàt tɕʰà wǐːan/
ฉวี	/tɕʰà wǐː/
ฉวีวรรณ	/tɕʰà wǐː wan/
ช.ส.ม.	/tɕʰɔː sɔ̌ː mɔː/
ชก	/tɕʰók/
ชกต่อย	/tɕʰók tɔ̀ːj/
ชกโต้	/tɕʰók tôː/
ชกมวย	/tɕʰók muaj/
ชกหมัดแย็บ	/tɕʰók màt jɛ́p/
ชกหมัดเสยขึ้น	/tɕʰók màt sɤ̌ːj kʰɯ̂n/
ชง	/tɕʰoŋ/
ชงชา	/tɕʰoŋ tɕʰaː/
ชงโค	/tɕʰoŋ kʰoː/
ชฎา	/tɕʰá daː/
ชดเชย	/tɕʰót tɕʰɤːj/
ชดเชยแสง	/tɕʰót tɕʰɤːj sɛ̌ːŋ/
ชดใช้	/tɕʰót tɕʰáj/
ชดใช้ค่าเสียหาย	/tɕʰót tɕʰáj kʰâː sǐːa hǎːj/
ชดใช้เงินชดเชย	/tɕʰót tɕʰáj ŋɤn tɕʰót tɕʰɤːj/
ชตุทการ์ท	/tɕʰá tùt kàːt/
ชทพ.	/tɕʰɔː tʰɔː pʰɔː/
ชน	/tɕʰon/
ชนกรรมาชีพ	/tɕʰon kam maː tɕʰîːp/
ชนกระทบ	/tɕʰon kràʔ tʰóp/
ชนกลุ่มน้อย	/tɕʰon klùm nɔ́ːj/
ชนกลุ่มใหญ่	/tɕʰon klùm jàj/
ชนกัน	/tɕʰon kan/
ชนแก้ว	/tɕʰon kɛ̂ːw/
ชนไก่	/tɕʰon kàj/
ชนโครม	/tɕʰon kʰroːm/
ชนชั้นกลาง	/tɕʰon tɕʰán klaːŋ/
ชนชั้นนำ	/tɕʰon tɕʰán nam/
ชนชาติ	/tɕʰon tɕʰâːt/
ชนชาติเงี้ยว	/tɕʰon tɕʰâːt ŋíːaw/
ชนชาว	/tɕʰon tɕʰaːw/
ชนชาวทมิฬ	/tɕʰon tɕʰaːw tʰá min/
ชนเผ่า	/tɕʰon pʰàw/
ชนวัว	/tɕʰon wuːa/
ชน.	/tɕʰaj nâːt/
ชนก	/tɕʰá nók/
ชนท.	/tɕʰɔː nɔː tʰɔː/
ชนนี	/tɕʰon ná niː/
ชนบท	/tɕʰon ná bòt/
ชนบทบ้านทุ่ง	/tɕʰon ná bòt bâːn tʰûŋ/
ชนม์	/tɕʰon/
ซ.	/seːn sîːat/
ซ.ต.พ.	/sɔː tɔː pʰɔː/
ซก.	/sen tìʔ kram/
ซกมก	/sók mók/
ซครู	/sá kʰruː/
ซครูหัวจม	/sá kʰruː hǔːa tɕom/
ซครูหางแบน	/sá kʰruː hǎːŋ bɛːn/
ซครูหางปลา	/sá kʰruː hǎːŋ plaː/
ซ้ง	/sóŋ/
ซงอู	/soŋ ʔuː/
ซด	/sót/
ซดยา	/sót jaː/
ซดยาพิษ	/sót jaː pʰít/
ซทรอนเชียม	/sót rɔːn tɕʰiːam/
ซน	/son/
ซนเหมือนลิง	/son mɯ̌ːan liŋ/
ซ้น	/són/
ซบ	/sóp/
ซบเซา	/sóp saw/
ซม	/som/
ซมซาน	/som saːn/
ซม.	/sen tìʔ mêːt/
ซล.	/sen tìʔ lít/
ซวดเซ	/sûːat seː/
ซวน	/suːan/
ซวนเซ	/suːan seː/
ซวย	/suaj/
ซวาซิแลนด์	/sá waː síʔ lɛːn/
ซเว่นธ์	/sá wên/
ซเว่นธ์เดย์แอ๊ดเวนตีส	/sá wên deː ʔɛ́ːt weːn tìːt/
ซอด้วง	/sɔː dûːaŋ/
ซอไวโอลิน	/sɔː waj ʔoː lin/
ซออู้	/sɔː ʔûː/
ซอก	/sɔ̂ːk/
ซอกซอย	/sɔ̂ːk sɔːj/
ซอกแซก	/sɔ̂ːk sɛ̂ːk/
ซอกแซก	/sɔ̂ːk sɛ̂ːk/
ซอกแซก	/sɔ̂ːk sɛ̂ːk/
ซอกเกอร์	/sɔ̂ːk kɤː/
ซอกซอน	/sɔ̂ːk sɔːn/
ซอง	/sɔːŋ/
ซองขาว	/sɔːŋ kʰǎːw/
ซองขาว	/sɔːŋ kʰǎːw/
ซองจดหมาย	/sɔːŋ tɕòt mǎːj/
ซองจดหมายอากาศ	/sɔːŋ tɕòt mǎːj ʔaː kàːt/
ฌอน	/tɕʰɔːn/
ฌาน	/tɕʰaːn/
ฌานสมาบัติ	/tɕʰaːn sà maː bàt/
ฌาปนกิจ	/tɕʰaː pà ná kìt/
ฌาปนสถาน	/tɕʰaː pà ná sà tʰǎːn/
ฌาสซา	/tɕʰâːt saː/
ฌีลา	/tɕʰiː laː/
เฌลลีย์	/tɕʰeːn liː/
เฌอ	/tɕʰɤː/
เฌอร่า	/tɕʰɤː râː/
ญวน	/juːan/
ญะฮันนัม	/jáʔ han nam/
ญัตติ	/ját tìʔ/
ญัตติสาธารณะ	/ját tìʔ sǎː tʰaː rá náʔ/
ญาณ	/jaːn/
ญาณวิทยา	/jaːn wít tʰá jaː/
ญาณศาสตร์	/jaː náʔ sàːt/
ญาณทัสนะ	/jaːn tʰát sà náʔ/
ญาณิน	/jaː nin/
ญาณี	/jaː niː/
ญาดา	/jaː daː/
ญาติ	/jâːt/
ญาติดี	/jâːt diː/
ญาติธรรม	/jaː tìʔ tʰam má/
ญาติพี่น้อง	/jâːt pʰîː nɔ́ːŋ/
ญาติมิตร	/jâːt mít/
ญาติโยม	/jâːt joːm/
ญาติโกโหติกา	/jâːt tìʔ koː hǒː tìʔ kaː/
ญิฮาด	/jíʔ hàːt/
ญี่ปุ่น	/jîː pùn/
ฎีกา	/diː kaː/
ฎีการ้องทุกข์	/diː kaː rɔ́ːŋ tʰúk/
ฏคระ	/tà kʰá ráʔ/
ฏังกะ	/taŋ kàʔ/
ฏังกิกา	/taŋ kìʔ kaː/
ฏัฏฏนี	/tàt tà niː/
ฏางการ	/taːŋ kaːn/
ฏาร	/taː rá/
ฏิก	/tìʔ kà/
เฏรกะ	/teː rá kàʔ/
โฏฏะ	/toː tàʔ/
ฐาน	/tʰǎːn/
ฐานกรณ์	/tʰǎːn kɔːn/
ฐานกำเนิด	/tʰǎːn kam nɤ̀ːt/
ฐานกำลัง	/tʰǎːn kam laŋ/
ฐานข้อมูล	/tʰǎːn kʰɔ̂ː muːn/
ฐานความนิยม	/tʰǎːn kʰwaːm níʔ jom/
ฐานทัพ	/tʰǎːn tʰáp/
ฐานทัพเรือ	/tʰǎːn tʰáp rɯːa/
ฐานทัพอากาศ	/tʰǎːn tʰáp ʔaː kàːt/
ฐานที่มั่น	/tʰǎːn tʰîː mân/
ฐานที่มั่นสำคัญ	/tʰǎːn tʰîː mân sǎm kʰan/
ฐานนิยม	/tʰǎːn níʔ jom/
ฐานมวลชน	/tʰǎːn muːan tɕʰon/
ฐานเสียง	/tʰǎːn sǐːaŋ/
ฐานเสียงในสภาผู้แทนราษฎร์	/tʰǎːn sǐːaŋ naj sà pʰaː pʰûː tʰɛːn râːt/
ฐานทัพบก	/tʰǎːn tʰáp bòk/
ฐานะ	/tʰǎː náʔ/
ฐานันดร	/tʰǎː nan dɔːn/
ฐิตวรรณ	/tʰìt tà wan/
ฐิติ	/tʰìʔ tìʔ/
ฐิติภรณ์	/tʰìʔ tìʔ pʰon/
ฑราวิท	/tʰá raː wít/
ฑังสะ	/tʰaŋ sàʔ/
ฑาก	/daː kàʔ/
ฑาห	/tʰaː hà/
ฑิกกรี	/tʰík kriː/
ฑิมภ์	/tʰim/
เฒ่า	/tʰâw/
เฒ่าแก่	/tʰâw kɛ̀ː/
เฒ่าแก่	/tʰâw kɛ̀ː/
เฒ่าแก่เรือ	/tʰâw kɛ̀ː rɯːa/
เฒ่าหัวงู	/tʰâw hǔːa ŋuː/
คงจะได้เชื่อ	/kʰoŋ tɕàʔ dâj tɕʰɯ̂ːa/
คงจะได้ดื่ม	/kʰoŋ tɕàʔ dâj dɯ̀ːm/
คงจะได้เดิน	/kʰoŋ tɕàʔ dâj dɤːn/
คงจะได้ทำ	/kʰoŋ tɕàʔ dâj tʰam/
คงจะได้ปิด	/kʰoŋ tɕàʔ dâj pìt/
คงจะได้เปิด	/kʰoŋ tɕàʔ dâj pɤ̀ːt/
คงจะได้ไป	/kʰoŋ tɕàʔ dâj paj/
คงจะได้พูด	/kʰoŋ tɕàʔ dâj pʰûːt/
คงจะได้มา	/kʰoŋ tɕàʔ dâj maː/
คงจะได้มี	/kʰoŋ tɕàʔ dâj miː/
คงจะได้ยิ้ม	/kʰoŋ tɕàʔ dâj jím/
คงจะได้รัก	/kʰoŋ tɕàʔ dâj rák/
คงจะได้เล่น	/kʰoŋ tɕàʔ dâj lên/
คงจะได้วิ่ง	/kʰoŋ tɕàʔ dâj wîŋ/
คงจะได้ให้	/kʰoŋ tɕàʔ dâj hâj/
คงจะได้อ่าน	/kʰoŋ tɕàʔ dâj ʔàːn/
คงจะทำ	/kʰoŋ tɕàʔ tʰam/
คงจะนอน	/kʰoŋ tɕàʔ nɔːn/
คงจะนาน	/kʰoŋ tɕàʔ naːn/
คงจะปิด	/kʰoŋ tɕàʔ pìt/
คงจะเป็น	/kʰoŋ tɕàʔ pen/
คงจะเปิด	/kʰoŋ tɕàʔ pɤ̀ːt/
คงจะไป	/kʰoŋ tɕàʔ paj/
คงจะพูด	/kʰoŋ tɕàʔ pʰûːt/
คงจะแพง	/kʰoŋ tɕàʔ pʰɛːŋ/
คงจะมา	/kʰoŋ tɕàʔ maː/
คงจะมี	/kʰoŋ tɕàʔ miː/
คงจะไม่	/kʰoŋ tɕàʔ mâj/
คงจะไม่กิน	/kʰoŋ tɕàʔ mâj kin/
คงจะไม่เขียน	/kʰoŋ tɕàʔ mâj kʰǐːan/
คงจะไม่ดื่ม	/kʰoŋ tɕàʔ mâj dɯ̀ːm/
คงจะไม่เดิน	/kʰoŋ tɕàʔ mâj dɤːn/
คงจะไม่ได้	/kʰoŋ tɕàʔ mâj dâj/
คงจะไม่ได้กิน	/kʰoŋ tɕàʔ mâj dâj kin/
คงจะไม่ได้เขียน	/kʰoŋ tɕàʔ mâj dâj kʰǐːan/
คงจะไม่ได้เชื่อ	/kʰoŋ tɕàʔ mâj dâj tɕʰɯ̂ːa/
คงจะไม่ได้ดื่ม	/kʰoŋ tɕàʔ mâj dâj dɯ̀ːm/
คงจะไม่ได้เดิน	/kʰoŋ tɕàʔ mâj dâj dɤːn/
คงจะไม่ได้ทำ	/kʰoŋ tɕàʔ mâj dâj tʰam/
คงจะไม่ได้ปิด	/kʰoŋ tɕàʔ mâj dâj pìt/
คงจะไม่ได้เปิด	/kʰoŋ tɕàʔ mâj dâj pɤ̀ːt/
คงจะไม่ได้ไป	/kʰoŋ tɕàʔ mâj dâj paj/
คงจะไม่ได้พูด	/kʰoŋ tɕàʔ mâj dâj pʰûːt/
คงจะไม่ได้มา	/kʰoŋ tɕàʔ mâj dâj maː/
คงจะไม่ได้มี	/kʰoŋ tɕàʔ mâj dâj miː/
คงจะไม่ได้ยิ้ม	/kʰoŋ tɕàʔ mâj dâj jím/
คงจะไม่ได้รัก	/kʰoŋ tɕàʔ mâj dâj rák/
คงจะไม่ได้เล่น	/kʰoŋ tɕàʔ mâj dâj lên/
คงจะไม่ได้วิ่ง	/kʰoŋ tɕàʔ mâj dâj wîŋ/
คงจะไม่ได้ให้	/kʰoŋ tɕàʔ mâj dâj hâj/
ณ	/ná/
ณ ที่...	/ná tʰîː/
ณที่นี้	/ná tʰîː níː/
ณ บัดนี้	/ná bàt níː/
ณ วัน...	/ná wan/
ณรงค์	/ná roŋ/
ณรงค์ศักดิ์	/ná roŋ sàk/
ณัฎฐา	/nát tʰǎː/
ณัฏฐสิทธิ์	/nát tʰà sìt/
ณัฐ	/nát/
ณัฐิมา	/nát tʰìʔ maː/
ณี	/niː/
เณร	/neːn/
ด.ม.	/dɔː mɔː/
ดก	/dòk/
ดกดื่น	/dòk dɯ̀ːn/
ดง	/doŋ/
ดงกุหลาบ	/doŋ kùʔ làːp/
ดงดิบ	/doŋ dìp/
ดงดึก	/doŋ dɯ̀k/
ดงไม้	/doŋ máːj/
ดท.	/dɔː tʰɔː/
ด้น	/dôn/
ด้นกลอน	/dôn klɔːn/
ด้นดั้น	/dôn dân/
ด้นถอยหลัง	/dôn tʰɔ̌ːj lǎŋ/
ดนตรี	/don triː/
ดนตรีคลาสสิก	/don triː kʰlâːt sìk/
ดนตรีแจ๊ส	/don triː tɕɛ́ːt/
ดนตรีพ๊อพ	/don triː pʰɔ́ːp/
ดนตรีพื้นบ้าน	/don triː pʰɯ́ːn bâːn/
ดนตรีพื้นเมือง	/don triː pʰɯ́ːn mɯːaŋ/
ดนัย	/dà naj/
ดนุพล	/dà núʔ pʰon/
ดม	/dom/
ดยุค	/dà júk/
ดร.	/dɔ̀ːk tɤː/
ดรรชนี	/dàt tɕʰá niː/
ดรรชนีชี้วัด	/dàt tɕʰá niː tɕʰíː wát/
ดรรชนีชี้วัด	/dàt tɕʰá niː tɕʰíː wát/
ดรรชนีผู้จัดการฝ่ายจัดซื้อ	/dàt tɕʰá niː pʰûː tɕàt kaːn fàːj tɕàt sɯ́ː/
ดรากอน	/draː kɔːn/
ดราม่า	/dà raː mâː/
ดราวิเดียน	/draː wíʔ diːan/
ดริ๊งค์	/dà ríŋ/
ดรุณ	/dà run/
ดรุเณศ	/dà rúʔ nêːt/
ดรูว์	/druː/
ดล	/don/
ดลใจ	/don tɕaj/
ดลบันดาล	/don ban daːn/
ดวงแข็ง	/duːaŋ kʰɛ̌ŋ/
ดวงจันทร์	/duːaŋ tɕan/
ดวงจันทร์ข้างขึ้นห้าค่ำ	/duːaŋ tɕan kʰâːŋ kʰɯ̂n hâː kʰâm/
ดวงจิต	/duːaŋ tɕìt/
ดวงชะตา	/duːaŋ tɕʰáʔ taː/
ง่วน	/ŋûːan/
ง่วนอยู่กับ	/ŋûːan jùː kàp/
งวย	/ŋuaj/
งอได้	/ŋɔː dâj/
งอตัว	/ŋɔː tuːa/
งอมืองอตีน	/ŋɔː mɯː ŋɔː tiːn/
งอมืองอเท้า	/ŋɔː mɯː ŋɔː tʰáːw/
งอมืองอเท้า	/ŋɔː mɯː ŋɔː tʰáːw/
งอมืองอเท้า	/ŋɔː mɯː ŋɔː tʰáːw/
งอหาย	/ŋɔː hǎːj/
ง้อ	/ŋɔ́ː/
ง้องอน	/ŋɔ́ː ŋɔːn/
งอก	/ŋɔ̂ːk/
งอกขึ้น	/ŋɔ̂ːk kʰɯ̂n/
งอกงาม	/ŋɔ̂ːk ŋaːm/
งอกเงย	/ŋɔ̂ːk ŋɤːj/
ง่อกแง่ก	/ŋɔ̂ːk ŋɛ̂ːk/
ง่องแง่ง	/ŋɔ̂ːŋ ŋɛ̂ːŋ/
ง้องแง้ง	/ŋɔ́ːŋ ŋɛ́ːŋ/
งอแง	/ŋɔː ŋɛː/
งอน	/ŋɔːn/
งอนง้อ	/ŋɔːn ŋɔ́ː/
งอนตุ๊บป่อง	/ŋɔːn túp pɔ̀ːŋ/
ง่อนแง่น	/ŋɔ̂ːn ŋɛ̂ːn/
ง่อนแง่นโงนเงน	/ŋɔ̂ːn ŋɛ̂ːn ŋoːn ŋeːn/
งอบ	/ŋɔ̂ːp/
งอม	/ŋɔːm/
งอมแงม	/ŋɔːm ŋɛːm/
ง่อย	/ŋɔ̂ːj/
ง่อยเปลี้ยเสียขา	/ŋɔ̂ːj plîːa sǐːa kʰǎː/
งั่ก	/ŋàk/
งั่ง	/ŋâŋ/
งัด	/ŋát/
งัดข้อ	/ŋát kʰɔ̂ː/
งัดข้อ	/ŋát kʰɔ̂ː/
งัดแงะ	/ŋát ŋɛ́ʔ/
งัน	/ŋan/
งั้น	/ŋán/
งับ	/ŋáp/
งัว	/ŋuːa/
งัวเงีย	/ŋuːa ŋiːa/
งา	/ŋaː/
งาขาว	/ŋaː kʰǎːw/
งาช้าง	/ŋaː tɕʰáːŋ/
จดหมายเปิดผนึก	/tɕòt mǎːj pɤ̀ːt pʰà nɯ̀k/
จดหมายรับรอง	/tɕòt mǎːj ráp rɔːŋ/
จดหมายลงทะเบียน	/tɕòt mǎːj loŋ tʰáʔ biːan/
จดหมายลาตาย	/tɕòt mǎːj laː taːj/
จดหมายเหตุ	/tɕòt mǎːj hèːt/
จดหมายอากาศ	/tɕòt mǎːj ʔaː kàːt/
จดหมายอิเล็กทรอนิกส์	/tɕòt mǎːj ʔìʔ lék tʰrɔː ník/
จดหมายอีเลคโทรนิคส์	/tɕòt mǎːj ʔiː lêːk tʰoːn ník/
จตุ	/tɕà tùʔ/
จตุคามรามเทพ	/tɕà tùʔ kʰaːm raːm tʰêːp/
จตุธาตุ	/tɕà tùʔ tʰâːt/
จตุปัจจัย	/tɕà tùʔ pàt tɕaj/
จตุจักร	/tɕà tùʔ tɕàk/
จตุพล	/tɕà tùʔ pʰon/
จตุรพิธพร	/tɕà tùʔ rá pʰít tʰá pʰɔːn/
จตุรพิธพรชัย	/tɕòt tùʔ pʰít tʰáʔ pʰɔːn tɕʰaj/
