a	/a/
abordare	/abordare/
abordat	/abordat/
abordate	/abordate/
aborigen	/aboridʒen/
abortiv	/abortiv/
abrac	/abrak/
abracadabra	/abrakadabra/
abracadabrant	/abrakadabrant/
abraș	/abraʃ/
abrazare	/abrazare/
abraziune	/abraziune/
abraziv	/abraziv/
abrazor	/abrazor/
abrevia	/abrevija/
abreviat	/abrevijat/
abreviație	/abrevijatsije/
abreviațiune	/abrevijatsiune/
abreviativ	/abrevijativ/
abreviator	/abrevijator/
abreviere	/abrevijere/
abroga	/abroɡa/
abrogare	/abroɡare/
abrogat	/abroɡat/
abrogație	/abroɡatsije/
abrud	/abrud/
abrudan	/abrudan/
abrudean	/abrudĕan/
abrudeancă	/abrudĕankə/
abrupt	/abrupt/
abruptă	/abruptə/
abrupto	/abrupto/
abrutiza	/abrutiza/
abrutizant	/abrutizant/
abrutizare	/abrutizare/
abrutizat	/abrutizat/
abscisă	/apstʃisə/
abscizie	/apstʃizije/
absciziune	/apstʃiziune/
abscons	/abskons/
absent	/apsent/
absenta	/apsenta/
absentare	/apsentare/
absențe	/apsentse/
absenteism	/apsenteism/
absenteist	/apsenteist/
absidă	/apsidə/
absidal	/apsidal/
absidial	/apsidijal/
absidiolă	/apsidiolə/
absint	/apsint/
absoarbă	/apsŏarbə/
absolut	/apsolut/
absolută	/apsolutə/
absolutism	/apsolutism/
absolutist	/apsolutist/
absoluțiune	/apsolutsiune/
absolutiza	/apsolutiza/
absolutizare	/apsolutizare/
absolutizat	/apsolutizat/
absolutoriu	/apsolutorju/
absolvent	/apsolvent/
absolvență	/apsolventsə/
absolvire	/apsolvire/
absolvit	/apsolvit/
absorb	/apsorb/
absorbant	/apsorbant/
absorbi	/apsorbi/
absorbire	/apsorbire/
absorbit	/apsorbit/
absorbitor	/apsorbitor/
absorbție	/apsorptsije/
absorbțiune	/apsorptsiune/
abstinent	/apstinent/
abstinență	/apstinentsə/
abstract	/apstrakt/
abstractă	/apstraktə/
abstracție	/apstraktsije/
abstracțiune	/apstraktsiune/
abstractiza	/apstraktiza/
abstractizant	/apstraktizant/
abstractizare	/apstraktizare/
abstractizat	/apstraktizat/
abstrage	/apstradʒe/
abstragere	/apstradʒere/
abstras	/apstras/
abstrus	/apstrus/
absurd	/apsurd/
absurdă	/apsurdə/
absurde	/apsurde/
absurditate	/apsurditate/
absurdul	/apsurdul/
abțibild	/aptsibild/
abțigui	/aptsiɡui/
abțiguire	/aptsiɡuire/
abțiguit	/aptsiɡuit/
abține	/aptsine/
abținere	/aptsinere/
abulic	/abulik/
abulie	/abulije/
abunda	/abunda/
abundare	/abundare/
abundent	/abundent/
abundență	/abundentsə/
abur	/abur/
aburca	/aburka/
aburcare	/aburkare/
aburcat	/aburkat/
abureală	/aburĕalə/
aburire	/aburire/
aburit	/aburit/
aburos	/aburos/
abutnăriței	/abutnəritsej/
abuz	/abuz/
abuza	/abuza/
abuzare	/abuzare/
abuziv	/abuziv/
ac	/ak/
acacie	/akatʃije/
acadea	/akadĕa/
academic	/akademik/
academie	/akademije/
academism	/akademism/
acadian	/akadijan/
acaju	/akaʒu/
acalefă	/akalefə/
acălinei	/akəlinej/
acalmie	/akalmije/
acana	/akana/
acant	/akant/
acantacee	/akantatʃee/
acantocefal	/akantotʃefal/
acantoză	/akantozə/
acapara	/akapara/
acaparare	/akaparare/
acaparat	/akaparat/
acaparator	/akaparator/
acar	/akar/
acaret	/akaret/
acarian	/akarijan/
acaricid	/akaritʃid/
acarinată	/akarinatə/
acarioză	/akariozə/
acăriță	/akəritsə/
acarniță	/akarnitsə/
acasă	/akasə/
acaț	/akats/
acăța	/akətsa/
acatafazie	/akatafazije/
acatagrafie	/akataɡrafije/
acatalectic	/akatalektik/
acatalepsie	/akatalepsije/
acățăra	/akətsəra/
acățărare	/akətsərare/
acățare	/akətsare/
acătărea	/akətərĕa/
acătării	/akətərij/
acățat	/akətsat/
acățătoare	/akətsətŏare/
acățător	/akətsətor/
acatincăi	/akatinkəj/
acatist	/akatist/
acațiu	/akatsju/
acaustobiolit	/akaustobiolit/
acaustobiolitic	/akaustobiolitik/
accede	/aktʃede/
accedere	/aktʃedere/
accelera	/aktʃelera/
accelerare	/aktʃelerare/
accelerat	/aktʃelerat/
accelerație	/aktʃeleratsije/
accelerațiune	/aktʃeleratsiune/
accelerator	/aktʃelerator/
accelerograf	/aktʃeleroɡraf/
accelerometru	/aktʃelerometru/
accent	/aktʃent/
accentua	/aktʃentuwa/
accentuare	/aktʃentuware/
accentuat	/aktʃentuwat/
accentul	/aktʃentul/
accept	/aktʃept/
accepta	/aktʃepta/
acceptabil	/aktʃeptabil/
acceptabilă	/aktʃeptabilə/
acceptam	/aktʃeptam/
acceptare	/aktʃeptare/
acceptat	/aktʃeptat/
acceptați	/aktʃeptatsʲ/
accepte	/aktʃepte/
accepție	/aktʃeptsije/
accepțiune	/aktʃeptsiune/
acceptor	/aktʃeptor/
acces	/aktʃes/
accesa	/aktʃesa/
accesare	/aktʃesare/
accesarea	/aktʃesarĕa/
accesat	/aktʃesat/
accesibil	/aktʃesibil/
accesibile	/aktʃesibile/
accesibilitate	/aktʃesibilitate/
accesiune	/aktʃesiune/
accesorii	/aktʃesorij/
accesoriu	/aktʃesorju/
accesul	/aktʃesul/
accident	/aktʃident/
accidenta	/aktʃidenta/
accidental	/aktʃidental/
accidențar	/aktʃidentsar/
accidentare	/aktʃidentare/
accidentat	/aktʃidentat/
accidente	/aktʃidente/
accidentul	/aktʃidentul/
acciz	/aktʃiz/
acciza	/aktʃiza/
accizare	/aktʃizare/
accizat	/aktʃizat/
accizele	/aktʃizele/
accizelor	/aktʃizelor/
acea	/atʃ̩a/
aceasta	/atʃ̩asta/
aceea	/atʃeja/
aceeași	/atʃejaʃʲ/
acefal	/atʃefal/
acefalie	/atʃefalije/
acei	/atʃej/
acel	/atʃel/
acela	/atʃela/
același	/atʃelaʃʲ/
acele	/atʃele/
acelea	/atʃelĕa/
aceleași	/atʃelĕaʃʲ/
acelei	/atʃelej/
aceleiași	/atʃelejaʃʲ/
acelor	/atʃelor/
acelui	/atʃeluj/
aceluiași	/atʃelujaʃʲ/
acera	/atʃera/
aceracee	/atʃeratʃee/
acerare	/atʃerare/
acerateriu	/atʃeraterju/
acerb	/atʃerb/
acest	/atʃest/
acesta	/atʃesta/
aceste	/atʃeste/
acestea	/atʃestĕa/
acestei	/atʃestej/
acesteia	/atʃesteja/
acești	/atʃeʃtʲ/
aceștia	/atʃeʃtja/
acestor	/atʃestor/
acestora	/atʃestora/
acestui	/atʃestuj/
acestuia	/atʃestuja/
acetamidă	/atʃetamidə/
acetat	/atʃetat/
acetazolamidă	/atʃetazolamidə/
acetic	/atʃetik/
acetifica	/atʃetifika/
acetificare	/atʃetifikare/
acetificat	/atʃetifikat/
acetil	/atʃetil/
acetilare	/atʃetilare/
acetilenă	/atʃetilenə/
acetilenic	/atʃetilenik/
acetilsalicilic	/atʃetilsalitʃilik/
acetilură	/atʃetilurə/
acetobutirat	/atʃetobutirat/
acetofan	/atʃetofan/
acetofenonă	/atʃetofenonə/
acetonă	/atʃetonə/
acetonemie	/atʃetonemije/
acetonurie	/atʃetonurije/
achenă	/akʲ̩enə/
acherontic	/akʲ̩erontik/
achifoaiei	/akʲ̩ifŏajej/
achilie	/akʲ̩ilije/
achim	/akʲ̩im/
achimescu	/akʲ̩imesku/
achinezie	/akʲ̩inezije/
achita	/akʲ̩ita/
achităm	/akʲ̩itəm/
achitare	/akʲ̩itare/
achitat	/akʲ̩itat/
achiu	/akʲ̩iw/
achiziție	/akʲ̩izitsije/
achiziției	/akʲ̩izitsijej/
achizitiv	/akʲ̩izitiv/
achizitor	/akʲ̩izitor/
aci	/atʃʲ/
aciclic	/atʃiklik/
acicul	/atʃikul/
acicular	/atʃikular/
acid	/atʃid/
acidamină	/atʃidaminə/
acidifica	/atʃidifika/
acidificare	/atʃidifikare/
acidificat	/atʃidifikat/
acidimetrie	/atʃidimetrije/
acidimetru	/atʃidimetru/
aciditate	/atʃiditate/
acidofil	/atʃidofil/
acidorezistență	/atʃidorezistentsə/
acidoză	/atʃidozə/
acidula	/atʃidula/
acidulare	/atʃidulare/
acidulat	/atʃidulat/
acil	/atʃil/
acila	/atʃila/
acilare	/atʃilare/
acilat	/atʃilat/
acilea	/atʃilĕa/
acân	/akɨn/
acinos	/atʃinos/
acipenserid	/atʃipenserid/
acira	/atʃira/
acirare	/atʃirare/
aclama	/aklama/
aclamare	/aklamare/
aclamat	/aklamat/
aclamație	/aklamatsije/
aclimata	/aklimata/
aclimatare	/aklimatare/
aclimatat	/aklimatat/
aclimatiza	/aklimatiza/
aclimatizare	/aklimatizare/
aclimatizat	/aklimatizat/
aclinic	/aklinik/
acnee	/aknee/
acneiform	/akneiform/
acoace	/akŏatʃe/
acoladă	/akoladə/
acolea	/akolĕa/
acolie	/akolije/
acolisi	/akolisi/
acolisire	/akolisire/
acolit	/akolit/
acolo	/akolo/
acomoda	/akomoda/
acomodabil	/akomodabil/
acomodare	/akomodare/
acomodat	/akomodat/
acompania	/akompanija/
acompaniament	/akompanijament/
acompaniat	/akompanijat/
acompaniator	/akompanijator/
acompaniere	/akompanijere/
acondroplazie	/akondroplazije/
aconit	/akonit/
aconitină	/akonitinə/
acont	/akont/
aconta	/akonta/
acontare	/akontare/
acontat	/akontat/
aconto	/akonto/
acoperă	/akoperə/
acoperământ	/akoperəmɨnt/
acopere	/akopere/
acoperea	/akoperĕa/
acoperemânt	/akoperemɨnt/
acoperi	/akoperi/
acoperiră	/akoperirə/
acoperire	/akoperire/
acoperiș	/akoperiʃ/
acoperișul	/akoperiʃul/
acoperit	/akoperit/
acoperită	/akoperitə/
acoperite	/akoperite/
acoperitoare	/akoperitŏare/
acoperitor	/akoperitor/
acord	/akord/
acorda	/akorda/
acordaj	/akordaʒ/
acordant	/akordant/
acordare	/akordare/
acordat	/akordat/
acordate	/akordate/
acordați	/akordatsʲ/
acordeon	/akordeon/
acordeonist	/akordeonist/
acordic	/akordik/
acordor	/akordor/
acorduri	/akordurʲ/
acorie	/akorije/
acorzi	/akorzʲ/
acosta	/akosta/
acostament	/akostament/
acostare	/akostare/
acostat	/akostat/
acotiledon	/akotiledon/
acotiledonat	/akotiledonat/
acră	/akrə/
acraniat	/akranijat/
acredita	/akredita/
acreditant	/akreditant/
acreditare	/akreditare/
acreditat	/akreditat/
acreditiv	/akreditiv/
acrescământ	/akreskəmɨnt/
acrescent	/akrestʃent/
acri	/akri/
acribie	/akribije/
acribologie	/akribolodʒije/
acridă	/akridə/
acridină	/akridinə/
acrilat	/akrilat/
acrilic	/akrilik/
acrilonitril	/akrilonitril/
acrime	/akrime/
acrimonie	/akrimonije/
acrimonios	/akrimonios/
acrinie	/akrinije/
acrire	/akrire/
acriș	/akriʃ/
acrișor	/akriʃor/
acrit	/akrit/
acritură	/akriturə/
acriu	/akriw/
acrobat	/akrobat/
acrobatic	/akrobatik/
acrobație	/akrobatsije/
acrobații	/akrobatsij/
acrocefal	/akrotʃefal/
acrocefalie	/akrotʃefalije/
acrocianoză	/akrotʃianozə/
acrofobie	/akrofobije/
acroleină	/akroleinə/
acrolit	/akrolit/
acromanie	/akromanije/
acromat	/akromat/
acromatic	/akromatik/
acromatism	/akromatism/
acromatiza	/akromatiza/
acromatizare	/akromatizare/
acromatizat	/akromatizat/
acromatopsie	/akromatopsije/
acromegalie	/akromeɡalije/
acromicrie	/akromikrije/
acromie	/akromije/
acronic	/akronik/
acronim	/akronim/
acroparestezie	/akroparestezije/
acropolă	/akropolə/
acroșa	/akroʃa/
acroșaj	/akroʃaʒ/
acroșare	/akroʃare/
acroșat	/akroʃat/
acroteră	/akroterə/
acru	/akru/
acruț	/akruts/
act	/akt/
acta	/akta/
actant	/aktant/
actele	/aktele/
acteonela	/akteonela/
actinic	/aktinik/
actinid	/aktinid/
actinie	/aktinije/
actinism	/aktinism/
actiniu	/aktinju/
actinodon	/aktinodon/
actinograf	/aktinoɡraf/
actinografie	/aktinoɡrafije/
actinometric	/aktinometrik/
actinometrie	/aktinometrije/
actinometru	/aktinometru/
actinomicet	/aktinomitʃet/
actinomicoză	/aktinomikozə/
actinomorf	/aktinomorf/
actinon	/aktinon/
actinopterigian	/aktinopteridʒian/
actinot	/aktinot/
actinoterapie	/aktinoterapije/
actinotropism	/aktinotropism/
acționa	/aktsiona/
acționăm	/aktsionəm/
acționează	/aktsionĕazə/
acționeze	/aktsioneze/
acționezi	/aktsionezʲ/
acționând	/aktsionɨnd/
acțiune	/aktsiune/
acțiunea	/aktsiunĕa/
acțiuni	/aktsiunʲ/
acțiunii	/aktsiunij/
activ	/aktiv/
activa	/aktiva/
activant	/aktivant/
activare	/aktivare/
activarea	/aktivarĕa/
activat	/aktivat/
activator	/aktivator/
activist	/aktivist/
activitate	/aktivitate/
activități	/aktivitətsʲ/
activiza	/aktiviza/
activizare	/aktivizare/
activizat	/aktivizat/
activizator	/aktivizator/
actor	/aktor/
actoraș	/aktoraʃ/
actori	/aktorʲ/
actoricesc	/aktoritʃesk/
actorie	/aktorije/
actorii	/aktorij/
actoriță	/aktoritsə/
actorului	/aktoruluj/
actriță	/aktritsə/
actual	/aktuwal/
actuale	/aktuwale/
actualism	/aktuwalism/
actualitate	/aktuwalitate/
actualiza	/aktuwaliza/
actualizare	/aktuwalizare/
actualizat	/aktuwalizat/
actualmente	/aktuwalmente/
actuar	/aktuwar/
actuariat	/aktuwarijat/
acu	/aku/
acuarelist	/akwarelist/
acufunda	/akufunda/
acufundare	/akufundare/
acufundat	/akufundat/
acuitate	/akuitate/
aculeat	/akuleat/
aculeiform	/akuleiform/
aculeol	/akuleol/
aculeu	/akulew/
aculturație	/akulturatsije/
acum	/akum/
acuma	/akuma/
acumetrie	/akumetrije/
acumetru	/akumetru/
acuminat	/akuminat/
acumula	/akumula/
acumulare	/akumulare/
acumularea	/akumularĕa/
acumulat	/akumulat/
acumulativ	/akumulativ/
acumulator	/akumulator/
acupla	/akupla/
acuplaj	/akuplaʒ/
acuplare	/akuplare/
acuplat	/akuplat/
acupresură	/akupresurə/
acupunctor	/akupunktor/
acupunctură	/akupunkturə/
acurat	/akurat/
acurateță	/akuratetsə/
acuratețe	/akuratetse/
acușa	/akuʃa/
acuși	/akuʃʲ/
acușica	/akuʃika/
acușor	/akuʃor/
acustic	/akustik/
acustomat	/akustomat/
acut	/akut/
acutiza	/akutiza/
acutizare	/akutizare/
acuza	/akuza/
acuzare	/akuzare/
acuzat	/akuzat/
acuzație	/akuzatsije/
acuzativ	/akuzativ/
acuzator	/akuzator/
acvacultură	/akvakulturə/
acvadag	/akvadaɡ/
acvaforte	/akvaforte/
acvafortist	/akvafortist/
acvamarin	/akvamarin/
acvanaut	/akvanaut/
acvanautic	/akvanautik/
acvaplan	/akvaplan/
acvaplanare	/akvaplanare/
acvarii	/akvarij/
acvarist	/akvarist/
acvaristică	/akvaristikə/
acvariu	/akvarju/
acvatic	/akvatik/
acvatinta	/akvatinta/
acvatipie	/akvatipije/
acvatubular	/akvatubular/
acvifer	/akvifer/
acvilă	/akvilə/
acvilidă	/akvilidə/
acvilin	/akvilin/
acvilon	/akvilon/
acvitanian	/akvitanijan/
ad	/ad/
adactilie	/adaktilije/
adălmaș	/adəlmaʃ/
adam	/adam/
adamant	/adamant/
adamantin	/adamantin/
adamască	/adamaskə/
adamclisi	/adamklisi/
adamism	/adamism/
adamit	/adamit/
adamsită	/adamsitə/
adăoga	/adəoɡa/
adăogare	/adəoɡare/
adăogat	/adəoɡat/
adaoge	/adaodʒe/
adaogere	/adaodʒere/
adăogire	/adəodʒire/
adăogit	/adəodʒit/
adaos	/adaos/
adăpa	/adəpa/
adăpare	/adəpare/
adăpat	/adəpat/
adăpătoare	/adəpətŏare/
adăpost	/adəpost/
adăpostească	/adəpostĕaskə/
adăpostire	/adəpostire/
adăpostit	/adəpostit/
adăpostul	/adəpostul/
adăpostului	/adəpostuluj/
adapta	/adapta/
adaptabil	/adaptabil/
adaptabilitate	/adaptabilitate/
adaptăm	/adaptəm/
adaptare	/adaptare/
adaptaseră	/adaptaserə/
adaptat	/adaptat/
adaptație	/adaptatsije/
adaptiv	/adaptiv/
adaptor	/adaptor/
adăsta	/adəsta/
adăstare	/adəstare/
adăstat	/adəstat/
adăuga	/adəuɡa/
adăugai	/adəuɡaj/
adăugare	/adəuɡare/
adăugase	/adəuɡase/
adăugat	/adəuɡat/
adăugi	/adəudʒi/
adăugire	/adəudʒire/
adăugit	/adəudʒit/
adaus	/adaus/
adca	/adka/
adco	/adko/
adecă	/adekə/
adecva	/adekva/
adecvare	/adekvare/
adecvat	/adekvat/
adecvată	/adekvatə/
adeda	/adeda/
ademeneală	/ademenĕalə/
ademeni	/ademeni/
ademenire	/ademenire/
ademenit	/ademenit/
ademenitor	/ademenitor/
adempțiune	/ademptsiune/
adenină	/adeninə/
adenită	/adenitə/
adenocarcinom	/adenokartʃinom/
adenofibrom	/adenofibrom/
adenohipofiză	/adenohipofizə/
adenoid	/adenoid/
adenoidită	/adenoiditə/
adenom	/adenom/
adenopatie	/adenopatije/
adenotomie	/adenotomije/
adept	/adept/
adera	/adera/
aderare	/aderare/
aderat	/aderat/
aderent	/aderent/
aderență	/aderentsə/
adermină	/aderminə/
ades	/ades/
adese	/adese/
adesea	/adesĕa/
adeseori	/adeseorʲ/
adet	/adet/
adevăr	/adevər/
adevăra	/adevəra/
adevărare	/adevərare/
adevărat	/adevərat/
adevărata	/adevərata/
adevărate	/adevərate/
adevăratul	/adevəratul/
adevărul	/adevərul/
adevărului	/adevəruluj/
adevăruri	/adevərurʲ/
adeveri	/adeveri/
adeverință	/adeverintsə/
adeverire	/adeverire/
adeveriseră	/adeveriserə/
adeverit	/adeverit/
adeveritor	/adeveritor/
adeziune	/adeziune/
adeziv	/adeziv/
adezivitate	/adezivitate/
adia	/adija/
adiabată	/adijabatə/
adiabatic	/adijabatik/
adiacent	/adijatʃent/
adiafor	/adijafor/
adiaforie	/adijaforije/
adiaforisire	/adijaforisire/
adiaforisit	/adijaforisit/
adiat	/adijat/
adiată	/adijatə/
adiator	/adijator/
adică	/adikə/
adicălea	/adikəlĕa/
adicătele	/adikətele/
adicătelea	/adikətelĕa/
adidas	/adidas/
adiere	/adijere/
adimenire	/adimenire/
adimenit	/adimenit/
adimenitor	/adimenitor/
adinamie	/adinamije/
adânc	/adɨnk/
adânca	/adɨnka/
adâncare	/adɨnkare/
adâncat	/adɨnkat/
adâncata	/adɨnkata/
adâncătură	/adɨnkəturə/
adânci	/adɨntʃʲ/
adâncime	/adɨntʃime/
adâncimea	/adɨntʃimĕa/
adâncimi	/adɨntʃimʲ/
adâncire	/adɨntʃire/
adâncit	/adɨntʃit/
adâncitor	/adɨntʃitor/
adâncitură	/adɨntʃiturə/
adâncos	/adɨnkos/
adâncului	/adɨnkuluj/
adâncuri	/adɨnkurʲ/
adâncurile	/adɨnkurile/
adineauri	/adinĕaurʲ/
adinioarea	/adiniŏarĕa/
adins	/adins/
adio	/adio/
adipic	/adipik/
adipos	/adipos/
adipozitate	/adipozitate/
adipsie	/adipsije/
adiție	/aditsije/
adiționat	/aditsionat/
adițiune	/aditsiune/
aditiv	/aditiv/
aditivitate	/aditivitate/
adjectiv	/adʒektiv/
adjectiva	/adʒektiva/
adjectival	/adʒektival/
adjectivare	/adʒektivare/
adjectivat	/adʒektivat/
adjectiviza	/adʒektiviza/
adjectivizare	/adʒektivizare/
adjectivizat	/adʒektivizat/
adjoncțiune	/adʒonktsiune/
adjud	/adʒud/
adjudeca	/adʒudeka/
adjudecare	/adʒudekare/
adjudecat	/adʒudekat/
adjudecatar	/adʒudekatar/
adjudecație	/adʒudekatsije/
adjudecător	/adʒudekətor/
adjunct	/adʒunkt/
adjurație	/adʒuratsije/
adjutant	/adʒutant/
adjuvant	/adʒuvant/
administra	/administra/
administrare	/administrare/
administrat	/administrat/
administrația	/administratsija/
administrație	/administratsije/
administrativ	/administrativ/
administrator	/administrator/
admir	/admir/
admira	/admira/
admirabil	/admirabil/
admirabile	/admirabile/
admirare	/admirare/
admirat	/admirat/
admirația	/admiratsija/
admirație	/admiratsije/
admirativ	/admirativ/
admirator	/admirator/
admiratori	/admiratorʲ/
admis	/admis/
admisibil	/admisibil/
admisibilitate	/admisibilitate/
admisie	/admisije/
admisiune	/admisiune/
admitanță	/admitantsə/
admite	/admite/
admitem	/admitem/
admitere	/admitere/
admiteți	/admitetsʲ/
admonesta	/admonesta/
admonestare	/admonestare/
admonestat	/admonestat/
admonestație	/admonestatsije/
admonițiune	/admonitsiune/
admonitiv	/admonitiv/
adnat	/adnat/
adnota	/adnota/
adnotare	/adnotare/
adnotat	/adnotat/
adnotație	/adnotatsije/
adnotator	/adnotator/
adogmatic	/adoɡmatik/
adogmatism	/adoɡmatism/
adolescent	/adolestʃent/
adolescență	/adolestʃentsə/
adolescentin	/adolestʃentin/
adolescentinism	/adolestʃentinism/
adomniței	/adomnitsej/
adonic	/adonik/
adonis	/adonis/
adopta	/adopta/
adoptare	/adoptare/
adoptat	/adoptat/
adoptați	/adoptatsʲ/
adoptator	/adoptator/
adopție	/adoptsije/
adopțiune	/adoptsiune/
adoptiv	/adoptiv/
adora	/adora/
adorabil	/adorabil/
adorare	/adorare/
adorat	/adorat/
adorată	/adoratə/
adorație	/adoratsije/
adorator	/adorator/
adorm	/adorm/
adormeam	/adormĕam/
adormire	/adormire/
adormit	/adormit/
adormițele	/adormitsele/
adormitor	/adormitor/
adpres	/adpres/
adragant	/adraɡant/
adral	/adral/
adrenalină	/adrenalinə/
adrenergic	/adrenerdʒik/
adrenocrom	/adrenokrom/
adresa	/adresa/
adresant	/adresant/
adresare	/adresare/
adresat	/adresat/
adrese	/adrese/
adresează	/adresĕazə/
adresele	/adresele/
adresez	/adresez/
adreseze	/adreseze/
adsorbant	/adsorbant/
adsorbat	/adsorbat/
adsorbi	/adsorbi/
adsorbire	/adsorbire/
adsorbit	/adsorbit/
adstrat	/adstrat/
aduc	/aduk/
aducă	/adukə/
aducător	/adukətor/
aduce	/adutʃe/
aducea	/adutʃ̩a/
aducere	/adutʃere/
aduci	/adutʃʲ/
aduct	/adukt/
aducție	/aduktsije/
aducțiune	/aduktsiune/
aductor	/aduktor/
adula	/adula/
adulare	/adulare/
adulat	/adulat/
adulație	/adulatsije/
adulator	/adulator/
adulmeca	/adulmeka/
adulmecare	/adulmekare/
adulmecat	/adulmekat/
adulmecător	/adulmekətor/
adult	/adult/
adulter	/adulter/
adulterare	/adulterare/
adulterin	/adulterin/
adumbrire	/adumbrire/
adumbrit	/adumbrit/
aduna	/aduna/
adunară	/adunarə/
adunare	/adunare/
adunaseră	/adunaserə/
adunat	/adunat/
adunător	/adunətor/
adunătură	/adunəturə/
adune	/adune/
adurmeca	/adurmeka/
adurmecare	/adurmekare/
adurmecat	/adurmekat/
adus	/adus/
adusă	/adusə/
aduse	/aduse/
adusese	/adusese/
advecție	/advektsije/
advent	/advent/
adventice	/adventitʃe/
adventism	/adventism/
adventist	/adventist/
adventiv	/adventiv/
adverb	/adverb/
adverbial	/adverbijal/
adverbializa	/adverbijaliza/
adverbializare	/adverbijalizare/
adverbializat	/adverbijalizat/
advers	/advers/
adversar	/adversar/
adversativ	/adversativ/
adverse	/adverse/
adversitate	/adversitate/
advon	/advon/
aed	/aed/
aelenei	/aelenej/
aer	/ajer/
aerian	/ajerijan/
aeriană	/ajerijanə/
aeriene	/ajerijene/
aerisi	/ajerisi/
aerisirea	/ajerisirĕa/
aerodrom	/aerodrom/
aerodromul	/aerodromul/
aeronautic	/aeronautik/
aeronava	/aeronava/
aeronave	/aeronave/
aeronavei	/aeronavej/
aeroport	/aeroport/
aerovehicul	/aerovehikul/
aerul	/aerul/
aerului	/aeruluj/
afabil	/afabil/
afabilitate	/afabilitate/
afabulație	/afabulatsije/
afacere	/afatʃere/
afacerea	/afatʃerĕa/
afaceri	/afatʃerʲ/
afacerii	/afatʃerij/
afacerile	/afatʃerile/
afacerism	/afatʃerism/
afacerist	/afatʃerist/
afagie	/afadʒije/
afanisire	/afanisire/
afanisit	/afanisit/
afară	/afarə/
afazic	/afazik/
afazie	/afazije/
afebril	/afebril/
afect	/afekt/
afecta	/afekta/
afectare	/afektare/
afectat	/afektat/
afectată	/afektatə/
afectate	/afektate/
afectați	/afektatsʲ/
afectează	/afektĕazə/
afecțiune	/afektsiune/
afectiv	/afektiv/
afectivitate	/afektivitate/
afectuos	/afektuos/
afectuozitate	/afektuozitate/
afemeiat	/afemejat/
aferat	/aferat/
aferent	/aferent/
aferentă	/aferentə/
aferentație	/aferentatsije/
afereză	/aferezə/
aferim	/aferim/
afet	/afet/
afgan	/afɡan/
afid	/afid/
afidă	/afidə/
afierosire	/afijerosire/
afierosit	/afijerosit/
afif	/afif/
afilia	/afilija/
afiliat	/afilijat/
afiliație	/afilijatsije/
afiliere	/afilijere/
afin	/afin/
afâna	/afɨna/
afinaj	/afinaʒ/
afinant	/afinant/
afânare	/afɨnare/
afânat	/afɨnat/
afânător	/afɨnətor/
afinet	/afinet/
afiniș	/afiniʃ/
afinitate	/afinitate/
afinor	/afinor/
afion	/afion/
afipt	/afipt/
afirm	/afirm/
afirma	/afirma/
afirmare	/afirmare/
afirmat	/afirmat/
afirmația	/afirmatsija/
afirmație	/afirmatsije/
