가	/ka̠/
가격상품권	/ka̠ɡjʌ̹ks͈a̠ŋpʰumɡwʌ̹n/
가격소구	/ka̠ɡjʌ̹ks͈o̞ɡu/
가격시점	/ka̠ɡjʌ̹kɕ͈id͡ʑʌ̹m/
가격연동제	/ka̠ɡjʌ̹ɡjʌ̹ndo̞ŋd͡ʑe̞/
가격인덱세이션	/ka̠ɡjʌ̹ɡinde̞ks͈e̞iɕʰjʌ̹n/
가격 정책	/ka̠ɡjʌ̹k̚ t͡ɕʌ̹ŋt͡ɕʰɛ̝k̚/
가격제	/ka̠ɡjʌ̹k̚t͡ɕ͈e̞/
가격제정학	/ka̠ɡjʌ̹k̚t͡ɕ͈e̞d͡ʑʌ̹ŋɦa̠k̚/
가격종류	/ka̠ɡjʌ̹k̚t͡ɕ͈o̞ŋɲju/
가격지수	/ka̠ɡjʌ̹k̚t͡ɕ͈isʰu/
가격차금	/ka̠ɡjʌ̹k̚t͡ɕʰa̠ɡɯm/
가격차등	/ka̠ɡjʌ̹k̚t͡ɕʰa̠dɯŋ/
가격차익금	/ka̠ɡjʌ̹k̚t͡ɕʰa̠ik̚k͈ɯm/
가격체계	/ka̠ɡjʌ̹k̚t͡ɕʰe̞ɡje̞/, /ka̠ɡjʌ̹k̚t͡ɕʰe̞ɡe̞/
가격 카르텔	/ka̠ɡjʌ̹k̚ kʰa̠ɾɯtʰe̞ɭ/
가격탄력성	/ka̠ɡjʌ̹k̚tʰa̠ɭʎjʌ̹ks͈ʌ̹ŋ/
가격 통제	/ka̠ɡjʌ̹k̚ tʰo̞ŋd͡ʑe̞/
가격투쟁	/ka̠ɡjʌ̹k̚tʰud͡ʑɛ̝ŋ/
가격편차금	/ka̠ɡjʌ̹k̚pʰjʌ̹nt͡ɕʰa̠ɡɯm/
가격폭제한	/ka̠ɡjʌ̹k̚pʰo̞k̚t͡ɕ͈e̞ɦa̠n/
가격표	/ka̠ɡjʌ̹k̚pʰjo/
가격표기우편물	/ka̠ɡjʌ̹k̚pʰjoɡiupʰjʌ̹nmuɭ/
가격표시	/ka̠ɡjʌ̹k̚pʰjoɕʰi/
가격하다	/ka̠ɡjʌ̹kʰa̠da̠/
가격혁명	/ka̠ɡjʌ̹kçjʌ̹ŋmjʌ̹ŋ/
가격현실화	/ka̠ɡjʌ̹kçjʌ̹nɕʰiɾβwa̠/
가격 협정 카르텔	/ka̠ɡjʌ̹k̚ çjʌ̹p̚t͡ɕ͈ʌ̹ŋ kʰa̠ɾɯtʰe̞ɭ/
가격효과	/ka̠ɡjʌ̹kçjoɡwa̠/
가견	/ka̠ɡjʌ̹n/
가견하다	/ka̠ɡjʌ̹nɦa̠da̠/
가결	/ka̠ɡjʌ̹ɭ/
가결되다	/ka̠ɡjʌ̹ɭdø̞da̠/, /ka̠ɡjʌ̹ɭdwe̞da̠/
가결안	/ˈka̠ːɡjʌ̹ɾa̠n/
가결의	/ˈka̠ːɡjʌ̹ɾɰi/
가결의되다	/ˈka̠ːɡjʌ̹ɾɰidø̞da̠/, /ˈka̠ːɡjʌ̹ɾɰidwe̞da̠/
가결의하다	/ˈka̠ːɡjʌ̹ɾɰiɦa̠da̠/
가결전	/ka̠ɡjʌ̹ɭt͡ɕ͈ʌ̹n/
가결하다	/ka̠ɡjʌ̹ɾɦa̠da̠/
가경	/ka̠ɡjʌ̹ŋ/
가경자	/ka̠ɡjʌ̹ŋd͡ʑa̠/
가경지	/ˈka̠ːɡjʌ̹ŋd͡ʑi/
가경하다	/ka̠ɡjʌ̹ŋɦa̠da̠/
가계	/ka̠ɡje̞/, /ka̠ɡe̞/
가계경제	/ka̠ɡje̞ɡjʌ̹ŋd͡ʑe̞/, /ka̠ɡe̞ɡjʌ̹ŋd͡ʑe̞/
가계도	/ka̠ɡje̞do̞/, /ka̠ɡe̞do̞/
가계되다	/ka̠ɡje̞dø̞da̠/, /ka̠ɡe̞dwe̞da̠/
가계례	/ka̠ɡje̞ɾje̞/, /ka̠ɡe̞ɾe̞/
가계미가	/ka̠ɡje̞mik͈a̠/, /ka̠ɡe̞mik͈a̠/
가계보험	/ka̠ɡje̞bo̞ɦʌ̹m/, /ka̠ɡe̞bo̞ɦʌ̹m/
가계부	/ka̠ɡje̞bu/, /ka̠ɡe̞bu/
가계부기	/ka̠ɡje̞buɡi/, /ka̠ɡe̞buɡi/
가계분석	/ka̠ɡje̞bunsʰʌ̹k̚/, /ka̠ɡe̞bunsʰʌ̹k̚/
가계비	/ka̠ɡje̞bi/, /ka̠ɡe̞bi/
가계사	/ka̠ɡje̞sʰa̠/, /ka̠ɡe̞sʰa̠/
가계선발법	/ka̠ɡje̞sʰʌ̹nba̠ɭp͈ʌ̹p̚/, /ka̠ɡe̞sʰʌ̹nba̠ɭp͈ʌ̹p̚/
가계소득	/ka̠ɡje̞sʰo̞dɯk̚/, /ka̠ɡe̞sʰo̞dɯk̚/
가계수표	/ka̠ɡje̞sʰupʰjo/, /ka̠ɡe̞sʰupʰjo/
가계약	/ˈka̠ːɡje̞ja̠k̚/, /ˈka̠ːɡe̞ja̠k̚/
가계약되다	/ˈka̠ːɡje̞ja̠k̚t͈ø̞da̠/, /ˈka̠ːɡe̞ja̠k̚t͈we̞da̠/
가계약서	/ˈka̠ːɡje̞ja̠ks͈ʌ̹/, /ˈka̠ːɡe̞ja̠ks͈ʌ̹/
가계약하다	/ˈka̠ːɡje̞ja̠kʰa̠da̠/, /ˈka̠ːɡe̞ja̠kʰa̠da̠/
가계정	/ˈka̠ːɡje̞d͡ʑʌ̹ŋ/, /ˈka̠ːɡe̞d͡ʑʌ̹ŋ/
가계조사	/ka̠ɡje̞d͡ʑo̞sʰa̠/, /ka̠ɡe̞d͡ʑo̞sʰa̠/
가계종합예금	/ka̠ɡje̞d͡ʑo̞ŋɦa̠bje̞ɡɯm/, /ka̠ɡe̞d͡ʑo̞ŋɦa̠bje̞ɡɯm/
가계주	/ka̠ɡje̞d͡ʑu/, /ka̠ɡe̞d͡ʑu/
가계추림법	/ka̠ɡje̞t͡ɕʰuɾimp͈ʌ̹p̚/, /ka̠ɡe̞t͡ɕʰuɾimp͈ʌ̹p̚/
가계포	/ka̠ɡje̞pʰo̞/, /ka̠ɡe̞pʰo̞/
가계표	/ka̠ɡje̞pʰjo/, /ka̠ɡe̞pʰjo/
가계하다	/ka̠ɡje̞ɦa̠da̠/, /ka̠ɡe̞ɦa̠da̠/
가고	/ka̠ɡo̞/
가고건	/ka̠ɡo̞ɡʌ̹n/
가고문적	/ˈka̠ːɡo̞mund͡ʑʌ̹k̚/
가고문헌	/ˈka̠ːɡo̞munɦʌ̹n/
가고시마	/ka̠ɡo̞ɕʰima̠/
가고시마현	/ka̠ɡo̞ɕʰima̠ʝjʌ̹n/
가고처	/ˈka̠ːɡo̞t͡ɕʰʌ̹/
가고하다	/ˈka̠ːɡo̞ɦa̠da̠/
가곡	/ka̠ɡo̞k̚/
가곡보	/ka̠ɡo̞k̚p͈o̞/
가곡선	/ka̠ɡo̞ks͈ʌ̹n/
가곡원류	/ka̠ɡo̞ɡwʌ̹ɭʎju/
가곡장단	/ka̠ɡo̞k̚t͡ɕ͈a̠ŋda̠n/
가곡집	/ka̠ɡo̞k̚t͡ɕ͈ip̚/
가골	/ˈka̠ːɡo̞ɭ/
가공	/ka̠ɡo̞ŋ/
가공가소	/ka̠ːɡo̞ŋɡa̠ːsʰo̞/
가공간	/ˈka̠ːɡo̞ŋɡa̠n/
가공경화	/ka̠ɡo̞ŋɡjʌ̹ŋβwa̠/
가공공정공학	/ka̠ɡo̞ŋɡo̞ŋd͡ʑʌ̹ŋɡo̞ŋɦa̠k̚/
가공나선로	/ka̠ɡo̞ŋna̠sʰʌ̹ɭɭo̞/
가공덧살	/ka̠ɡo̞ŋdʌ̹t̚s͈a̠ɭ/
가공도체	/ka̠ɡo̞ŋdo̞t͡ɕʰe̞/
가공되다	/ka̠ɡo̞ŋdø̞da̠/, /ka̠ɡo̞ŋdwe̞da̠/
가공라선로	/ka̠ɡo̞ŋna̠sʰʌ̹ɭɭo̞/
가공망상	/ka̠ɡo̞ŋma̠ŋsʰa̠ŋ/
가공모선	/ka̠ɡo̞ŋmo̞sʰʌ̹n/
가공무역	/ka̠ɡo̞ŋmujʌ̹k̚/
가공민전선	/ka̠ɡo̞ŋmind͡ʑʌ̹nsʰʌ̹n/
가공배상	/ka̠ɡo̞ŋbɛ̝sʰa̠ŋ/
가공법	/ka̠ɡo̞ŋp͈ʌ̹p̚/
가공비	/ka̠ɡo̞ŋbi/
가공삭도	/ka̠ɡo̞ŋsʰa̠k̚t͈o̞/
가공생산	/ka̠ɡo̞ŋsʰɛ̝ŋsʰa̠n/
가공선	/ka̠ɡo̞ŋsʰʌ̹n/
가공선로	/ka̠ɡo̞ŋsʰʌ̹ɭɭo̞/
가공수입	/ka̠ɡo̞ŋsʰuip̚/
가공수지	/ka̠ɡo̞ŋsʰud͡ʑi/
가공수출	/ka̠ɡo̞ŋsʰut͡ɕʰuɭ/
가공스럽다	/ˈka̠ːɡo̞ŋsʰɯɾʌ̹p̚t͈a̠/
가공스레	/ˈka̠ːɡo̞ŋsʰɯɾe̞/
가공실	/ka̠ɡo̞ŋɕʰiɭ/
가공야금학	/ka̠ɡo̞ŋja̠ɡɯmɦa̠k̚/
가공업	/ka̠ɡo̞ŋʌ̹p̚/
가공여유	/ka̠ɡo̞ŋjʌ̹ju/
가공열처리	/ka̠ɡo̞ŋjʌ̹ɭt͡ɕʰʌ̹ɾi/
가공영사	/ˈka̠ːɡo̞ŋɲjʌ̹ŋsʰa̠/
가공영사하다	/ˈka̠ːɡo̞ŋɲjʌ̹ŋsʰa̠ɦa̠da̠/
가공원료	/ka̠ɡo̞ŋwʌ̹ɭʎjo/
가공유	/ka̠ɡo̞ŋɲju/
가공유연세포	/ka̠ɡo̞ŋjujʌ̹nsʰe̞pʰo̞/
가공육	/ka̠ɡo̞ŋɲjuk̚/
가공의치	/ka̠ɡo̞ŋɰit͡ɕʰi/
가공이익	/ka̠ɡo̞ŋiik̚/
가공인물	/ka̠ɡo̞ŋinmuɭ/
가공인입선	/ka̠ɡo̞ŋinips͈ʌ̹n/
가공자산	/ka̠ɡo̞ŋd͡ʑa̠sʰa̠n/
가공적	/ka̠ɡo̞ŋd͡ʑʌ̹k̚/
가공전선	/ka̠ɡo̞ŋd͡ʑʌ̹nsʰʌ̹n/
가공종이	/ka̠ɡo̞ŋd͡ʑo̞ŋi/
가공중심	/ka̠ɡo̞ŋd͡ʑuŋɕʰim/
가공중심반	/ka̠ɡo̞ŋd͡ʑuŋɕʰimba̠n/
가공지	/ka̠ɡo̞ŋd͡ʑi/
가공지선	/ka̠ɡo̞ŋd͡ʑisʰʌ̹n/
가공창고	/ka̠ɡo̞ŋt͡ɕʰa̠ŋɡo̞/
가공철도	/ka̠ɡo̞ŋt͡ɕʰʌ̹ɭt͈o̞/
가공치	/ˈka̠ːɡo̞ŋt͡ɕʰi/
가공케이블	/ka̠ɡo̞ŋkʰe̞ibɯɭ/
가공품	/ka̠ɡo̞ŋpʰum/
가공하다	/ka̠ɡo̞ŋɦa̠da̠/
가과	/ka̠ɡwa̠/
가과하다	/ka̠ɡwa̠ɦa̠da̠/
가관	/ka̠ɡwa̠n/
가관노	/ˈka̠ːɡwa̠nno̞/
가관속	/ˈka̠ːɡwa̠nsʰo̞k̚/
가관스럽다	/ˈka̠ːɡwa̠nsʰɯɾʌ̹p̚t͈a̠/
가관스레	/ˈka̠ːɡwa̠nsʰɯɾe̞/
가관절	/ˈka̠ːɡwa̠nd͡ʑʌ̹ɭ/
가관절증	/ˈka̠ːɡwa̠nd͡ʑʌ̹ɭt͡ɕ͈ɯŋ/
가관하다	/ka̠ɡwa̠nɦa̠da̠/
가광	/ka̠ɡwa̠ŋ/
가광하다	/ka̠ɡwa̠ŋɦa̠da̠/
가괴	/ka̠ɡø̞/, /ka̠ɡwe̞/
가괴하다	/ˈka̠ːɡø̞ɦa̠da̠/, /ˈka̠ːɡwe̞ɦa̠da̠/
가교	/ka̠ɡjo/
가교결합	/ka̠ɡjoɡjʌ̹ɾɦa̠p̚/
가교도	/ka̠ɡjodo̞/
가교적	/ka̠ɡjod͡ʑʌ̹k̚/
가교하다	/ka̠ɡjoɦa̠da̠/
가구	/ka̠ɡu/
가구상	/ka̠ɡusʰa̠ŋ/
가구업체	/ka̠ɡuʌ̹p̚t͡ɕʰe̞/
가구장이	/ka̠ɡud͡ʑa̠ŋi/
가구점	/ka̠ɡud͡ʑʌ̹m/
가굴가굴	/ka̠ɡuɭɡa̠ɡuɭ/
가굴가굴하다	/ka̠ɡuɭɡa̠ɡuɾɦa̠da̠/
가권	/ka̠ɡwʌ̹n/
가규	/ka̠ɡju/
가그랑비	/ka̠ɡɯɾa̠ŋbi/
가극	/ka̠ɡɯk̚/
가극물	/ka̠ɡɯŋmuɭ/
가급	/ka̠ɡɯp̚/
가급금	/ka̠ɡɯp̚k͈ɯm/
가급인족	/ka̠ɡɯbind͡ʑo̞k̚/
가급인족하다	/ˈka̠ːɡɯbind͡ʑo̞kʰa̠da̠/
가급적	/ka̠ɡɯp̚t͡ɕ͈ʌ̹k̚/
가급하다	/ka̠ɡɯpʰa̠da̠/
가긍	/ka̠ɡɯŋ/
가긍하다	/ka̠ɡɯŋɦa̠da̠/
가기	/ka̠ɡi/
가기하다	/ka̠ɡiɦa̠da̠/
가까스로	/ka̠k͈a̠sʰɯɾo̞/
가까운점한해	/ka̠k͈a̠und͡ʑʌ̹mɦa̠nɦɛ̝/
가까워지다	/ka̠k͈a̠wʌ̹d͡ʑida̠/
가까이	/ka̠k͈a̠i/
가까이하다	/ka̠k͈a̠iɦa̠da̠/
가깝다	/ka̠k͈a̠p̚t͈a̠/
가케우동	/ka̠kʰe̞udo̞ŋ/
가꾸다	/ka̠k͈uda̠/
가꾸러뜨리다	/ka̠k͈uɾʌ̹t͈ɯɾida̠/
가꾸러지다	/ka̠k͈uɾʌ̹d͡ʑida̠/
가꾸러트리다	/ka̠k͈uɾʌ̹tʰɯɾida̠/
가꾸로	/ka̠k͈uɾo̞/
가꾸어지다	/ka̠k͈uʌ̹d͡ʑida̠/
가꿔지다	/ka̠k͈wʌ̹d͡ʑida̠/
가끔	/ka̠k͈ɯm/
가끔가다	/ka̠k͈ɯmɡa̠da̠/
가끔가다가	/ka̠k͈ɯmɡa̠da̠ɡa̠/
가나	/ka̠na̠/
가나다	/ka̠na̠da̠/
가나다라	/ka̠na̠da̠ɾa̠/
가나다순	/ka̠na̠da̠sʰun/
가나다차례	/ka̠na̠da̠t͡ɕʰa̠ɾje̞/, /ka̠na̠da̠t͡ɕʰa̠ɾe̞/
가난	/ka̠na̠n/
가난뱅이	/ka̠na̠nbɛ̝ŋi/
가난이 죄	/ka̠na̠ni t͡ɕø̞/, /ka̠na̠ni t͡ɕwe̞/
가난하다	/ka̠na̠nɦa̠da̠/
가난히	/ka̠na̠nʝi/
가납	/ka̠na̠p̚/
가납사니	/ka̠na̠ps͈a̠ni/
가내	/ka̠nɛ̝/
가내공업	/ka̠nɛ̝ɡo̞ŋʌ̹p̚/
가냐귀	/ka̠ɲja̠ɡɥi/, /ka̠ɲja̠ɡy/
가냘프다	/ka̠ɲja̠ɭpʰɯda̠/
가냘픈	/ka̠ɲja̠ɭpʰɯn/
가냘픔	/ka̠ɲja̠ɭpʰɯm/
가녀리다	/ka̠ɲjʌ̹ɾida̠/
가년	/ka̠ɲjʌ̹n/
가년스럽다	/ka̠ɲjʌ̹nsʰɯɾʌ̹p̚t͈a̠/
가년스레	/ka̠ɲjʌ̹nsʰɯɾe̞/
가념	/ka̠ɲjʌ̹m/
가념하다	/ka̠ɲjʌ̹mɦa̠da̠/
가노	/ka̠no̞/
가누다	/ka̠nuda̠/
가느다랗다	/ka̠nɯda̠ɾa̠tʰa̠/
가느다래지다	/ka̠nɯda̠ɾɛ̝d͡ʑida̠/
가느스름하다	/ka̠nɯsʰɯɾɯmɦa̠da̠/
가는	/ka̠nɯn/
가는갈퀴	/ka̠nɯnɡa̠ɭkʰɥi/, /ka̠nɯnɡa̠ɭkʰy/
가는갈퀴나물	/ka̠nɯnɡa̠ɭkʰɥina̠muɭ/, /ka̠nɯnɡa̠ɭkʰyna̠muɭ/
가는귀	/ka̠nɯnɡɥi/, /ka̠nɯnɡy/
가는귀먹다	/ka̠nɯnɡɥimʌ̹k̚t͈a̠/, /ka̠nɯnɡymʌ̹k̚t͈a̠/
가는다시마	/ka̠nɯnda̠ɕʰima̠/
가는대	/ka̠nɯndɛ̝/
가는데스미아	/ka̠nɯnde̞sʰɯmia̠/
가는마디꽃	/ka̠nɯnma̠dik͈o̞t̚/
가는말굴레	/ka̠nɯnma̠ɭɡuɭɭe̞/
가는말굴레풀	/ka̠nɯnma̠ɭɡuɭɭe̞pʰuɭ/
가는바람	/ka̠nɯnba̠ɾa̠m/
가는보라색우무	/ka̠nɯnbo̞ɾa̠sʰɛ̝ɡumu/
가는쑥부쟁이	/ka̠nɯns͈uk̚p͈ud͡ʑɛ̝ŋi/
가는잎벚나무	/ka̠nɯnip̚p͈ʌ̹nna̠mu/
가늘다	/ka̠nɯɭda̠/
가늘라	/ka̠nɯɭɭa̠/
가늘어지다	/ka̠nɯɾʌ̹d͡ʑida̠/
가늚	/ka̠nɯm/
가늠	/ka̠nɯm/
가늠되다	/ka̠nɯmdø̞da̠/, /ka̠nɯmdwe̞da̠/
가늠바늘	/ka̠nɯmba̠nɯɭ/
가늠운동	/ka̠nɯmundo̞ŋ/
가늠자	/ka̠nɯmd͡ʑa̠/
가늠하다	/ka̠nɯmɦa̠da̠/
가능	/ka̠nɯŋ/
가능바람	/ka̠nɯŋba̠ɾa̠m/
가능보조어간	/ka̠nɯŋbo̞d͡ʑo̞ʌ̹ɡa̠n/
가능성	/ka̠nɯŋsʰʌ̹ŋ/
가능액	/ka̠nɯŋɛ̝k̚/
가능하다	/ka̠nɯŋɦa̠da̠/
가능해지다	/ka̠nɯŋɦɛ̝d͡ʑida̠/
가닐	/ka̠niɭ/
가닐가닐	/ka̠niɭɡa̠niɭ/
가닐가닐하다	/ka̠niɭɡa̠niɾɦa̠da̠/
가닐거리다	/ka̠niɭɡʌ̹ɾida̠/
가닐대다	/ka̠niɭdɛ̝da̠/
가다	/ka̠da̠/
가다가	/ka̠da̠ɡa̠/
가타쿠리	/ka̠tʰa̠kʰuɾi/
가다듬다	/ka̠da̠dɯmda̠/
가다듬어지다	/ka̠da̠dɯmʌ̹d͡ʑida̠/
가타마리	/ka̠tʰa̠ma̠ɾi/
가타마에	/ka̠tʰa̠ma̠e̞/
가타마에	/ka̠tʰa̠ma̠e̞/
가타와쿠	/ka̠tʰa̠wa̠kʰu/
가닥	/ka̠da̠k̚/
가닥가닥	/ka̠da̠k̚k͈a̠da̠k̚/
가닥가닥이	/ka̠da̠k̚k͈a̠da̠ɡi/
가닥가닥하다	/ka̠da̠k̚k͈a̠da̠kʰa̠da̠/
가담	/ka̠da̠m/
가담가담	/ka̠da̠mɡa̠da̠m/
가담자	/ka̠da̠md͡ʑa̠/
가담하다	/ka̠da̠mɦa̠da̠/
가당	/ka̠da̠ŋ/
가당찮다	/ka̠da̠ŋt͡ɕʰa̠ntʰa̠/
가당하다	/ka̠da̠ŋɦa̠da̠/
가닿다	/ka̠da̠tʰa̠/
가대	/ka̠dɛ̝/
가대기꾼	/ka̠dɛ̝ɡik͈un/
가대인	/ka̠dɛ̝in/
가댁질	/ka̠dɛ̝k̚t͡ɕ͈iɭ/
가덕대부	/ka̠dʌ̹k̚t͈ɛ̝bu/
가도	/ka̠do̞/
가도사건	/ka̠do̞sʰa̠ɡʌ̹n/
가독성	/ka̠do̞ks͈ʌ̹ŋ/
가돌리늄	/ka̠do̞ɭʎiɲjum/
가동	/ka̠do̞ŋ/
가동가동	/ka̠do̞ŋɡa̠do̞ŋ/
가동가동하다	/ka̠do̞ŋɡa̠do̞ŋɦa̠da̠/
가동거리다	/ka̠do̞ŋɡʌ̹ɾida̠/
가동대다	/ka̠do̞ŋdɛ̝da̠/
가동되다	/ka̠do̞ŋdø̞da̠/, /ka̠do̞ŋdwe̞da̠/
가동률	/ka̠do̞ŋɲjuɭ/
가동성	/ka̠do̞ŋsʰʌ̹ŋ/
가동시키다	/ka̠do̞ŋɕʰikçida̠/
가동질	/ka̠do̞ŋd͡ʑiɭ/
가동하다	/ka̠do̞ŋɦa̠da̠/
가두	/ka̠du/
가두극장	/ka̠duɡɯk̚t͡ɕ͈a̠ŋ/
가두기	/ka̠duɡi/
가두녀성	/ka̠duɲjʌ̹sʰʌ̹ŋ/
가두다	/ka̠duda̠/
가두데모	/ka̠dude̞mo̞/
가두리	/ka̠duɾi/
가두배추	/ka̠dubɛ̝t͡ɕʰu/
가두어지다	/ka̠duʌ̹d͡ʑida̠/
가둥	/ka̠duŋ/
가둥가둥	/ka̠duŋɡa̠duŋ/
가둥가둥하다	/ka̠duŋɡa̠duŋɦa̠da̠/
가둥거리다	/ka̠duŋɡʌ̹ɾida̠/
가둥대다	/ka̠duŋdɛ̝da̠/
가드	/ka̠dɯ/
가드락	/ka̠dɯɾa̠k̚/
가드락가드락	/ka̠dɯɾa̠k̚k͈a̠dɯɾa̠k̚/
가드락가드락하다	/ka̠dɯɾa̠k̚k͈a̠dɯɾa̠kʰa̠da̠/
가드락거리다	/ka̠dɯɾa̠k̚k͈ʌ̹ɾida̠/
가드락대다	/ka̠dɯɾa̠k̚t͈ɛ̝da̠/
가드레일	/ka̠dɯɾe̞iɭ/
가득	/ka̠dɯk̚/
가득가득	/ka̠dɯk̚k͈a̠dɯk̚/
가득가득하다	/ka̠dɯk̚k͈a̠dɯkʰa̠da̠/
가득가득히	/ka̠dɯk̚k͈a̠dɯkçi/
가득하다	/ka̠dɯkʰa̠da̠/
가득히	/ka̠dɯkçi/
가든	/ka̠dɯn/
가든가든	/ka̠dɯnɡa̠dɯn/
