𠻺	/a:˨/
click入去	/kʰɪk˥ jɐp˨ hɵy˧/
compute	/kʰɐm˨ pʰi:u˥/
con	/kʰɔ:n˥/
cool	/kʰu:˥/
cute	/kʰi:u˥/
cut	/kʰɐt˥/
detail	/ti:˥ tʰɛ:u˨˩/
econ	/ji:˨ kʰɔ:n˥/
encore	/ɛ:n˥ kʰɔ:˥/
𡃀	/ɛ:˨˩/, /ŋɛ:˨˩/
Eng lit	/jɪŋ˥ li:t˥/
㖡	/ɛ:˨/, /tsɛ:˨/
E仔	/ji:˥ tsɐi˧˥/
㳸	/fa:˥/
facial	/fei˥ sou˨˩/
𫂈	/fa:i˧/
㙕	/fa:i˧/
䠊	/fa:i˨˩/
䆏	/fa:i˧/, /fa:n˩˧/
㺔	/fa:i˥/, /hɔ:i˨/
䘗	/fa:i˥/, /kwa:n˧˥/, /pʰu:i˧/
䀟	/fa:i˧/, /ma:n˩˧/
㻗	/fa:i˧˥/, /pʰu:i˩˧/
㕒	/fa:i˥/, /wa:i˨˩/, /wa:i˨/
𧶶	/fa:n˧/
𠆩	/fa:n˧˥/
㕨	/fa:n˨/
㠶	/fa:n˨˩/
㷊	/fa:n˨˩/, /fa:n˩˧/
㿎	/fa:n˨˩/, /fa:n˩˧/, /kɐk˧/
䚩	/fa:n˨˩/, /hi:u˥/, /kʰi:u˨˩/, /tsi:u˨˩/
䴊	/fa:n˧/, /kɔ:n˥/, /tsi:˨˩/, /tsi:˩˧/
fans	/fɛ:n˥ si:˧˥/
䗼	/fa:n˥/, /wa:t˥/
𠵽	/fa:t˧/
㚕	/fa:t˥/
䩐	/fa:t˥/, /ka:p˥/
䪀	/fa:t˥/, /ku:n˧˥/, /wu:n˧˥/, /tsy:n˧˥/
䘠	/fa:t˥/, /kʰu:t˧/
㪂	/fa:t˥/, /kwa:t˨/
䞞	/fa:t˥/, /ma:n˩˧/
䊖	/fa:t˥/, /nɐm˩˧/
㩛	/fa:˥/, /tʰy:n˨˩/
㰴	/fa:u˧˥/
䍖	/fa:u˨˩/, /fu:˥/
䳝	/fa:u˧˥/, /fu:˧˥/
䳕	/fa:u˨˩/, /fu:˥/, /mɐn˩˧/, /wu:i˨/
㕻	/fa:u˧˥/, /fu:˧/, /tʰa:u˧/
䯠	/fa:u˧˥/, /ou˧˥/, /pʰei˧/, /tsʊk˥/
䘀	/fa:u˨/, /wa:i˧/
fax	/fɛ:t˥ si:˧˥/
feel	/fi:u˥/
fee士	/fi:˥ si:˧˥/
㹃	/fɛ:˧/, /fei˧˥/, /hɛ:˧/
㫵	/fei˥/
㥱	/fei˧˥/
fell	/fi:u˥/
㔞	/fɐi˧/
㟴	/fɐi˧/, /fɐn˨˩/, /fɐn˨/
䘦	/fɐi˧/, /nei˨˩/, /tsy:˨˩/
fing	/fɪŋ˨/
fing頭	/fɪŋ˨ tʰɐu˨˩/
fing頭丸	/fɪŋ˨ tʰɐu˨˩ jy:n˧˥/
㝕	/fɐi˧/, /nɪŋ˨˩/
𢝵	/fi:t˥/
fit	/fi:t˥/
㙏	/fʊk˥/
㚆	/fʊk˨/, /fʊk˨/
𠱥	/fɪk˥/, /ji:t˨/, /wɛ:˩˧/
㨇	/fʊk˨/, /pʰɔ:˨˩/, /pʰu:n˨˩/
㬼	/fʊk˨/, /wɐk˨/
𤑕	/fɐn˥/
㛰	/fɐn˥/
㸮	/fɐn˨˩/
㶗	/fɐn˨˩/, /fɐn˨/
䛀	/fɐn˧˥/, /fɐn˧˥/
䀀	/fɐn˧/, /fɐn˨˩/, /fɐn˨/
䬚	/fɐn˧/, /fɐn˨˩/, /kʰa:u˥/
𢰶	/fɪŋ˨/
㐽	/fʊŋ˥/
㦀	/fʊŋ˨˩/
䏎	/fʊŋ˨˩/, /hɔ:n˨/
㒥	/fʊŋ˥/, /ka:m˧˥/
㠦	/fʊŋ˥/, /ka:m˧/, /ha:t˨/
㓩	/fɐn˧/, /hi:n˧˥/, /hy:n˥/
㾜	/fɐn˧˥/, /hi:p˧/, /kʰɵy˥/, /kʰœ:k˧/
㱪	/fɐn˥/, /mu:n˨/
䑺	/fɐn˨˩/, /pʰɔ:˨˩/, /pʰu:n˨˩/
㾧	/fɔ:˧/
㪙	/fɔ:˧˥/
䈖	/fɔ:˥/, /fɔ:˧/, /tʰi:u˧/
㸌	/fɔ:k˧/
㸯	/fɔ:˥/, /ka:u˥/
䡰	/fɔ:k˧/, /kʊk˥/, /hʊk˨/, /kʰɵy˨˩/
䦆	/fɔ:k˧/, /mɔ:ŋ˨˩/
㚌	/fɔ:˧˥/, /lɔ:˧˥/
㠩	/fɔ:ŋ˥/
㕫	/fɔ:ŋ˧˥/
㤃	/fɔ:ŋ˥/, /fɔ:ŋ˨˩/
䲱	/fɔ:ŋ˧˥/, /fɔ:ŋ˨˩/
㱂	/fɔ:ŋ˥/, /hɔ:ŋ˥/
䄰	/fɔ:ŋ˧˥/, /ŋa:˨˩/
㑂	/fɔ:ŋ˧˥/, /pʰɔ:ŋ˨˩/
㤺	/fɔ:ŋ˧˥/, /wɔ:k˨/
䍫	/fɔ:˥/, /tʰɔ:˨˩/
foul	/fɐu˥/
foul出局	/fɐu˥ tsʰɵt˥ kʊk˨/
䆧	/fɔ:˧˥/, /wɔ:˥/
friend	/fɛ:n˥/
friend過打band	/fɛ:n˥ kwɔ:˧ ta:˧˥ pɛ:n˥/
𦡆	/fɐt˥/
㕹	/fɐt˨/
㦟	/fɐt˧/, /mɐi˨˩/
𧌓	/fɐu˨/
𫓧	/fu:˥/
㓬	/fu:˥/
㓡	/fu:˧˥/
㲗	/fu:˥/, /fu:˧/
䋨	/fu:˧˥/, /fu:˧/
䗄	/fu:˧˥/, /fu:˨/, /ku:˧˥/
䔰	/fu:˥/, /fu:˧/, /pʰei˧/
䃿	/fu:˥/, /ha:˥/
𠧩	/fu:i˧/
㞀	/fu:i˥/
㑰	/fu:i˨˩/
㬢	/fu:i˥/, /hei˥/
䟩	/fu:i˥/, /kɵy˧/, /hɐi˨/, /kʰœ:k˧/
䵋	/fu:i˧˥/, /kʰu:i˧˥/
䖯	/fu:i˥/, /kʰwa:i˥/
䝇	/fu:i˥/, /kwɐi˧/, /kʰu:t˧/
䂕	/fu:i˧/, /ŋa:t˨/
㚝	/fu:i˥/, /tʰɵy˨˩/, /wa:i˧˥/
㠸	/fu:˧/, /ku:˥/
䠵	/fu:˨/, /kʰwa:i˥/, /wa:˥/
㐻	/fu:˥/, /mou˩˧/, /nɔ:i˨/
㹕	/fu:n˥/
㯘	/fu:n˧˥/
䕀	/fu:n˧˥/, /ha:t˨/
㩲	/fu:n˥/, /kʰy:n˨˩/
䢵	/fu:n˧˥/, /wa:n˨˩/, /wa:t˨/
㖹	/fu:˧˥/, /pʰa:n˧/, /pʰu:n˨˩/
䯽	/fu:˥/, /pʰa:u˨˩/
䦢	/fu:t˧/
䱐	/fu:˥/, /tʰou˥/
䭍	/fu:˨˩/, /wu:˨˩/
gag	/kɛ:k˥/
geogra	/tsɔ:k˥ ka:˧˥/
𡄟	/ha:˥/
䪗	/ha:˨˩/
hae	/hɛ:˧/
hae吓	/hɛ:˧ ha:˩˧/
㰺	/ha:˨˩/, /ha:˨/, /kʰwa:i˨˩/
𩋘	/ha:i˨˩/
㒠	/ha:i˨/
㜾	/ha:i˨˩/
㜎	/ha:i˨˩/, /ha:i˨/
䂉	/ha:i˨/, /ha:u˨˩/
㑶	/ha:i˨˩/, /hei˧/
䫣	/ha:i˨˩/, /kʰa:i˧/, /kʰi:t˧/
㦑	/ha:m˥/
㖤	/ha:m˨˩/
䦦	/ha:m˧˥/, /ha:m˨˩/, /kʰa:m˨˩/, /sɪk˥/
䡩	/ha:m˥/, /ha:ŋ˥/
㖃	/ha:m˥/, /ha:u˧/, /ha:u˨/
䭠	/ha:m˧˥/, /hi:m˧/
㼨	/ha:m˨/, /hɐm˨˩/
䚉	/ha:m˥/, /kʰa:i˧/
㘛	/ha:m˥/, /li:m˩˧/
㨔	/ha:m˨/, /ŋa:n˨˩/
䫲	/ha:m˧˥/, /tsi:m˧˥/
䎦	/ha:m˧˥/, /tsi:m˧˥/, /tsi:m˩˧/
㡾	/ha:n˨/
㯗	/ha:n˨˩/
㓑	/ha:ŋ˨/
㣜	/ha:ŋ˨˩/
㦿	/ha:ŋ˨/, /hi:m˥/, /wu:˨/
㘡	/ha:p˨/
䕣	/ha:p˨/, /hɔ:t˧/
㰭	/ha:p˨/, /hɵy˥/
㡊	/ha:p˥/, /hɐp˨/
䐦	/ha:p˨/, /hɐu˧˥/, /hɔ:t˧/, /li:m˩˧/
㽠	/ha:p˥/, /kʰi:t˧/
䱑	/ha:p˨/, /si:t˧/
㮫	/ha:t˨/, /hɔ:t˧/
㵿	/ha:t˨/, /hɐu˨/
㡚	/ha:t˨/, /ŋa:u˥/
㤊	/ha:u˨/
㚽	/ha:u˧˥/
䳎	/ha:u˨/, /hi:n˥/, /kʰa:u˧/, /kʰa:u˩˧/
𠾍	/hɛ:˧/
𠺬	/hɛ:˧˥/
hea	/hɛ:˧/
hea吓	/hɛ:˧ ha:˩˧/
𠺪	/hɛ:˧/, /hi:˥/
𥋟	/hei˥/
㗭	/hei˥/
䄎	/hei˧˥/
㺧	/hei˧/, /hi:u˥/, /hɔ:˧˥/
䁈	/hei˧˥/, /kʰa:i˧/
䳢	/hei˥/, /kʰei˨˩/
㝃	/hei˥/, /mi:n˩˧/
㩘	/hei˥/, /ŋa:i˩˧/
㩬	/hei˥/, /ŋa:t˨/
㶧	/hei˥/, /ny:n˨/
㺣	/hei˥/, /sɪk˥/
㱇	/hei˥/, /sɐm˥/, /sɪk˥/, /tsi:p˧/
䫑	/hei˥/, /tsi:˥/
㰻	/hei˥/, /tsi:˩˧/
䎲	/hei˧˥/, /tsi:p˧/
䂆	/hɛ:k˧/
㗾	/hɛ:u˥/
𡚦	/hɐi˥/
㖑	/hɐi˨/
high	/ha:i˥/
㞓	/hɐi˥/, /hei˧/
㰧	/hɐi˨/, /hɔ:i˥/
㩻	/hɐi˧˥/, /kʰei˥/
㪠	/hi:m˧/
䈴	/hi:m˧/, /hi:p˧/
㕃	/hi:m˧/, /kʰa:i˥/, /li:m˨˩/, /tsɐp˧/
㰸	/hi:m˧/, /lɛ:ŋ˩˧/, /li:m˩˧/
㢘	/hi:m˧/, /li:m˨˩/
䫡	/hi:m˧/, /ŋɐm˨˩/
㗔	/hi:n˥/
㫫	/hi:n˧˥/
䲒	/hɐi˩˧/, /ŋɐi˨˩/
䯐	/hɐi˨˩/, /ŋɔ:i˨˩/
䘆	/hi:n˧˥/, /hy:n˧˥/
䛈	/hi:n˥/, /sa:i˨/
㰽	/hi:n˧˥/, /tsi:n˥/, /tsi:n˧˥/
䊙	/hi:n˧˥/, /tsi:n˨˩/, /tsi:n˨/
䯈	/hi:n˧˥/, /tsy:n˨˩/
㙝	/hi:p˧/
䟐	/hi:p˧/, /lɪk˨/
㢵	/hi:p˧/, /si:p˧/
䁋	/hi:p˧/, /si:p˧/, /si:t˧/
㕺	/hi:u˥/
䥵	/hi:u˧˥/
㢗	/hi:u˥/, /hou˨˩/
䤿	/hi:u˧/, /kʰi:t˧/
䃝	/hi:u˧/, /kʰi:u˧/
㠉	/hi:u˥/, /tʰʊŋ˨˩/
㦦	/hɐk˥/
㮣	/hʊk˥/, /kʰœ:k˧/, /kʰɔ:i˧/
㴶	/hʊk˨/, /kʰɔ:k˧/
㿥	/hʊk˨/, /lɔ:k˨/
㕰	/hʊk˨/, /ma:˧/
㵺	/hɐk˥/, /pʰɐi˨˩/
𥔿	/hɐm˧˥/
㘎	/hɐm˧/
㙳	/hɐm˧˥/
㔋	/hɐm˧/, /hɐm˩˧/, /lɐm˨/
䕿	/hɐm˧/, /hɔ:n˧/, /sœ:ŋ˧˥/
㘕	/hɐm˧/, /lɐm˨˩/
㺝	/hɐm˩˧/, /lɐm˨/
㯊	/hɐn˨˩/
𢙢	/hʊŋ˧˥/
㷫	/hɪŋ˧/
㔰	/hɐŋ˨˩/
䆪	/hʊŋ˥/, /hʊŋ˧/
䂫	/hɐŋ˥/, /hʊŋ˨˩/
㒷	/hɪŋ˧˥/, /hɪŋ˧/
㷫	/hɪŋ˧/, /kʰa:i˧˥/
㓙	/hʊŋ˥/, /kʰʊŋ˨˩/
㕡	/hɐŋ˥/, /kʰɔ:k˧/
㒑	/hʊŋ˧˥/, /kʰu:i˧˥/, /wɐk˨/
䫹	/hʊŋ˨˩/, /kʰy:n˨˩/
䆭	/hɐn˨/, /hi:n˥/
䦥	/hɐn˨˩/, /kʰa:˥/, /kʰa:˧˥/, /kʰɔ:k˧/
㪃	/hɔ:˥/
㞹	/hɔ:˧˥/
㿝	/hœ:ŋ˥/
䊑	/hœ:ŋ˧˥/
㗽	/hœ:ŋ˥/, /hœ:ŋ˧˥/
𠀅	/hɔ:i˨/
㚊	/hɔ:i˥/
䁗	/hɔ:i˧˥/
䇋	/hɔ:i˨/, /wa:i˨/
𤌍	/hɔ:k˧/
㙾	/hɔ:k˨/
䘔	/hɔ:˧˥/, /kʰa:˥/
㿱	/hɔ:k˨/, /hɔ:n˧/
㒈	/hɔ:n˨/
㙔	/hɔ:n˨˩/
𠵉	/hɔ:ŋ˨˩/
㑌	/hɔ:ŋ˥/
䉺	/hɔ:ŋ˧˥/
𣚺	/hɔ:ŋ˧˥/, /hɔ:ŋ˨/
㤚	/hɔ:ŋ˧˥/, /hɔ:ŋ˨˩/
㟟	/hɔ:ŋ˧˥/, /hɔ:ŋ˨/, /hɔ:t˧/
䆲	/hɔ:ŋ˥/, /kʰwa:ŋ˥/
䣈	/hɔ:ŋ˨/, /lʊŋ˨/
䗧	/hɔ:ŋ˥/, /wɔ:ŋ˥/
𫘣	/hɔ:n˩˧/, /hɔ:n˨/
㸁	/hɔ:n˧˥/, /hɔ:n˧/
䏷	/hɔ:n˨/, /hɔ:ŋ˧˥/
䎯	/hɔ:n˧˥/, /hɔ:n˧/, /tsi:n˩˧/
䳚	/hɔ:n˧˥/, /hɔ:t˧/
䁔	/hɔ:n˨/, /hy:n˥/, /wu:n˨/
䠭	/hɔ:n˩˧/, /lɐi˨/, /lɐn˩˧/, /ma:n˨˩/
㟧	/hɔ:n˨/, /ŋɔ:k˨/, /tsi:m˨˩/
㵄	/hɔ:n˧/, /wɪk˨/
㱒	/hɔ:˥/, /sœ:ŋ˩˧/
𦤦	/hɔ:t˧/
㓭	/hɔ:t˧/
㷎	/hɔ:t˧/, /kʰi:t˧/
㵣	/hɔ:t˧/, /sɐp˧/, /sɐp˧/
䄬	/hɔ:˥/, /tsy:˨˩/, /tsy:˨˩/
𧐢	/hou˨˩/
㙱	/hou˨/
㠙	/hou˨˩/
㘪	/hou˧/, /kʰa:u˧/
㗾	/hɵy˥/
㞰	/hɵy˧˥/
㥦	/hɵy˧/, /hi:p˧/, /tʰi:u˨˩/
䅨	/hɵy˧˥/, /hœ:ŋ˥/
䊸	/hɵy˥/, /tsy:˥/
㛍	/hɐp˨/
㤲	/hɐp˨/, /hi:p˧/
㰰	/hɐp˨/, /hɔ:t˧/
㰼	/hɐp˨/, /hɐu˧/, /li:u˨˩/, /li:u˨/, /sɐp˧/
䁯	/hɐp˥/, /kʰa:p˥/
㔠	/hɐt˨/
𥅠	/hɐu˥/
䞀	/hɐu˨/
㗋	/hɐu˨˩/
㹲	/hɐu˥/, /hɐu˧/
㪣	/hɐu˥/, /kʰi:u˧/
䯨	/hɐu˥/, /kʰɔ:k˧/
㫴	/hɐu˥/, /ŋɐu˨˩/
㺅	/hɐu˨˩/, /ŋɐu˨˩/
䠮	/hɐu˧˥/, /tʰa:ŋ˨˩/
㡑	/hɐu˥/, /tsi:u˧˥/
㒽	/hy:n˥/
䳦	/hy:n˥/, /kʰwa:n˧˥/
㬉	/hy:n˥/, /ny:n˩˧/
㞽	/hy:t˧/
䟒	/hy:t˧/, /kʰy:n˨˩/
䳳	/hy:t˧/, /sɵt˥/
䅬	/ɐi˧/
IP	/ɐi˥ pʰi:˥/
jacket	/tsɛ:k˥ kʰɛ:k˨/
𨅝	/ja:ŋ˧/
𣚕	/ja:p˧/
𠰋	/ja:u˥/
㭨	/jɛ:˨˩/
𠲖	/ji:˥/
𫍙	/ji:˨˩/
㞔	/ji:˨˩/
𠯋	/jɐi˨˩/, /jɐi˩˧/
𥀬	/ji:m˧˥/
㤿	/ji:m˥/
𦝡	/ji:m˥/, /ji:m˧˥/
䀋	/ji:m˨˩/, /nɐm˨˩/, /tsi:m˨˩/
𪾢	/ji:n˩˧/
𤍠	/ji:t˨/
𨍳	/ji:u˨˩/
𡄯	/jɪk˥/
益	/jɪk˥/
𩬎	/jɐm˥/
𣏴	/jɐn˨˩/
𠆌	/jʊŋ˨˩/
㐯	/jʊŋ˨˩/
𠀉	/jɐu˥/
𤍕	/jɐu˨˩/
㐀	/jɐu˥/
𩦢	/jy:˨˩/
𫐄	/jy:t˨/
䮑	/jy:t˧/
𡃉	/ka:˧/
𠿪	/ka:˧˥/
㰤	/kʰa:˧/
㗎	/ka:˧/
䑝	/ka:˧˥/
㗇	/ka:˩˧/, /ha:˨˩/
䉯	/ka:˧/, /ha:ŋ˥/, /tsi:m˧/, /tsi:n˨/
𠝹	/ka:i˧/
㓞	/kʰa:i˧/
㑘	/ka:i˧/
㿽	/ka:i˥/, /ha:i˨˩/
𢬿	/kʰa:i˧˥/, /kʰa:i˩˧/
㼇	/kʰa:i˧/, /kʰɪŋ˨˩/
𠺝	/ka:k˧/
㗆	/ka:k˧/
𠺢	/ka:˥/, /ka:˧˥/
㗎	/ka:˧˥/, /ka:˧/, /ka:˨˩/
㹢	/ka:˥/, /kɔ:˥/
㤉	/kʰa:˧/, /kʰɔ:k˧/, /ŋa:˨˩/
䘳	/kʰa:m˥/
㰹	/kʰa:m˩˧/
㨷	/ka:m˧/
㺂	/ka:m˧˥/, /hi:m˥/, /ŋɐm˨˩/
㤌	/ka:m˥/, /ka:m˧/
㦗	/ka:m˥/, /ka:m˧/, /kʰa:m˨˩/, /na:p˥/
䋮	/ka:m˥/, /kʰi:m˨˩/
䈜	/kʰa:m˨˩/, /kʰi:m˨˩/, /sa:m˧/, /tsa:m˥/
䫴	/ka:m˧/, /kɪŋ˨/
㔶	/ka:m˧˥/, /kʊŋ˧/, /tsi:˥/
㩜	/ka:m˧/, /la:m˩˧/
䆿	/ka:m˧/, /ŋa:i˨/
𢵧	/ka:n˧/
㧆	/ka:n˥/
㶕	/ka:n˧˥/
𨁈	/ka:ŋ˧/
䎴	/ka:ŋ˥/
䱴	/ka:ŋ˧˥/, /ka:ŋ˧/
㪅	/ka:ŋ˥/, /sɪŋ˧/
㹏	/ka:n˧˥/, /hɔ:ŋ˨˩/
㵎	/ka:n˧˥/, /ka:n˧/
㢙	/ka:n˧˥/, /kʰa:n˨˩/, /sa:p˥/
䰙	/ka:n˥/, /kɐm˧/, /kei˨/, /ŋa:i˩˧/
㮗	/kʰa:n˨˩/, /si:p˧/
䯊	/kʰa:˧/, /ɔ:˥/
㪧	/kʰa:p˥/
㕅	/ka:p˧/
㝓	/ka:p˧/, /hɐu˥/, /kʰa:p˨/
㡮	/ka:p˨/, /kʰa:p˨/
㡴	/kʰa:p˥/, /lɐi˥/
䍵	/kʰa:p˥/, /tsa:ŋ˥/
㴔	/kʰa:p˥/, /tsa:p˥/
䢀	/ka:t˥/
䒗	/ka:t˥/, /hei˧/
㔕	/ka:t˥/, /kʰa:u˥/
㰯	/kʰa:u˧/
㐤	/kʰa:u˨˩/
㜌	/ka:u˧/
㩭	/ka:u˧˥/
䬨	/ka:u˧/, /ha:u˧/
㚣	/ka:u˧˥/, /ha:u˨˩/
䳹	/kʰa:u˧/, /kʰa:u˩˧/
㡱	/ka:u˧/, /kʰa:u˧/
㤹	/ka:u˧/, /kʰa:u˨˩/
䃓	/ka:u˧/, /kʰa:u˨˩/, /ŋa:u˥/
䘨	/ka:u˥/, /kɐu˧˥/
㶯	/ka:u˧/, /la:u˨/
䉚	/kʰa:u˧/, /ma:ŋ˨˩/, /mɔ:ŋ˨˩/, /ŋa:˩˧/
㗕	/ka:u˧/, /ŋa:u˥/
䛮	/ka:u˧/, /sa:t˥/
䐰	/ka:u˥/, /sa:u˥/
㓂	/kʰa:u˧/, /tʰa:u˧/
㝅	/ka:u˧/, /tsy:˩˧/
𡲢	/kʰɛ:˥/
𠸏	/kɛ:˧˥/
keep	/kʰi:p˥/
𨀣	/kʰei˧˥/
𧝞	/kei˥/
𡜱	/kei˧˥/
㞿	/kʰei˨˩/
㙨	/kei˥/
㞛	/kei˧˥/
㒫	/kei˧/, /hei˧˥/
㼄	/kei˥/, /hei˧/, /kʰa:u˩˧/, /tsi:n˩˧/
䍍	/kei˧˥/, /hʊk˥/, /kʰa:u˧/
㱦	/kei˥/, /kʰei˥/
䡋	/kei˥/, /kʰei˨˩/, /tsɪk˥/
𠼻	/kei˥/, /ki:˥/, /kʰi:˥/
㨿	/kei˥/, /kœ:ŋ˧/
㔳	/kei˧˥/, /kwa:i˧˥/
䱈	/kʰei˨˩/, /ŋa:i˨/
㫅	/kʰei˨˩/, /si:˨˩/
䵭	/kʰei˨˩/, /sy:˥/, /tsɛ:˧/
㺭	/kei˧˥/, /tsi:˧˥/
䑴	/kʰei˨˩/, /tsi:n˥/
㼢	/kei˥/, /tsi:˥/, /tsi:˨˩/
㘌	/kʰɛ:k˨/
𢲈	/kʰɛ:k˥/, /kʰɪk˥/
𢠃	/kɛ:ŋ˨/
𠵇	/kʰɛ:u˨˩/
𦧲	/kɛ:u˥/
𢤹	/kɛ:u˨˩/
𠼱	/kɛ:u˥/, /kɛ:u˧˥/
key key卡卡	/kʰi:˥ kʰi:˥ kʰa:˥ kʰa:˥/
key卡	/kʰi:˥ kʰa:˥/
key卡咁笑	/kʰi:˥ kʰa:˥ kɐm˧ si:u˧/
枅	/kɐi˥/
㒅	/kʰɐi˧˥/
㛷	/kɐi˥/
䡡	/kɐi˥/, /hɐm˨˩/, /hɐm˨/
㡁	/kʰɐi˧˥/, /kʰwa:˥/, /kʰwa:˧/, /pʰɔ:ŋ˨˩/, /tʰɐp˧/
䈤	/kʰi:m˨˩/
䯡	/ki:m˧/
㐸	/ki:m˥/, /hi:m˧/
㨜	/kʰi:n˨˩/
㭴	/ki:n˥/
䮿	/ki:n˧˥/
䵛	/ki:n˧/, /hi:n˥/
㨴	/ki:n˧/, /hi:n˥/, /kʰi:n˧˥/, /tsi:n˩˧/
㹇	/ki:n˥/, /hɔ:k˨/, /hɔ:t˧/
䋌	/ki:n˥/, /kʰi:n˨˩/
㓺	/ki:n˥/, /ki:n˨/, /kʰi:n˨˩/
䭈	/ki:n˥/, /tsi:n˥/
䋗	/ki:n˥/, /tsi:n˧˥/
䂩	/ki:n˧˥/, /tsi:n˨/
㔓	/ki:n˧˥/, /tsi:n˧˥/
𥈲	/kʰi:p˥/
𠲵	/ki:p˧/
䀷	/ki:p˧/
㲹	/ki:p˧/, /kwa:i˧˥/, /kʰa:u˨˩/, /tsi:˨/
𠹳	/ki:t˨/
㓶	/kʰi:t˧/
㓗	/ki:t˧/
䩤	/ki:t˧/, /kʰi:t˧/
㘶	/ki:t˨/, /mi:u˩˧/
䁓	/kɐi˧/, /tsʊŋ˥/
䆻	/kʰi:u˧/
㚁	/kʰi:u˨˩/
㤭	/ki:u˥/
䥞	/ki:u˧˥/
𫏋	/ki:u˧˥/, /hi:u˥/
䀉	/ki:u˧˥/, /kʰi:u˨˩/
𠽤	/kʰɪk˥/
𠽤	/kɪk˥/
㖆	/kʰʊk˥/
㘲	/kʊk˥/
䃒	/kɐk˧/, /ha:t˨/
䵈	/kʊk˥/, /hʊk˥/
㟳	/kɐk˧/, /hɐm˧˥/, /lɵt˨/
䕟	/kʊk˥/, /hɪŋ˥/
㻷	/kɪk˥/, /kʰɐk˧/
㯏	/kʊk˥/, /kʊk˥/
