aah	/ˈɑː/
abides	/ɐbˈa‍ɪdz/
abiding	/ɐbˈa‍ɪdɪŋ/
abies	/ɐbˈa‍ɪz/
abigail	/ˈæbɪɡˌe‍ɪl/
abilities	/ɐbˈɪlətˌiz/
ability	/ɐbˈɪlətˌi/
abjection	/æbd‍ʒˈɛkʃən/
abjectly	/ˈæbd‍ʒɛktli/
abjure	/ɐbd‍ʒjˈɔː/
ablation	/ɐblˈe‍ɪti‍ən/
ablaze	/ɐblˈe‍ɪz/
able	/ˈe‍ɪbə‍l/
abler	/ˈe‍ɪblɐ/
ablest	/ˈe‍ɪbləst/
ablution	/ɐblˈuːʃən/
ablutions	/ɐblˈuːʃənz/
ably	/ˈe‍ɪbli/
abnegate	/ˈæbnɪɡˌe‍ɪt/
abnegation	/ˌæbnɪɡˈe‍ɪʃən/
abnormal	/ɐbnˈɔːmə‍l/
abnormalities	/ɐbnɔːmˈælɪtiz/
abnormality	/ɐbnɔːmˈælɪti/
abnormally	/ɐbnˈɔːmə‍li/
aboard	/ɐbˈɔːd/
abode	/ɐbˈə‍ʊd/
abodes	/ɐbˈə‍ʊdz/
abolish	/ɐbˈɒlɪʃ/
abolished	/ɐbˈɒlɪʃt/
abolishes	/ɐbˈɒlɪʃɪz/
abolishing	/ɐbˈɒlɪʃɪŋ/
abolishment	/ɐbˈɒlɪʃmənt/
abolition	/ˌæbəlˈɪʃən/
abolitionist	/ˌæbəlˈɪʃənˌɪst/
abolitionists	/ˌæbəlˈɪʃənˌɪsts/
abominable	/ɐbˈɒmɪnəbə‍l/
abominably	/ɐbˈɒmɪnəbli/
abominate	/ɐbˈɒmɪnˌe‍ɪt/
abominated	/ɐbˈɒmɪnˌe‍ɪtɪd/
abomination	/ɐbˌɒmɪnˈe‍ɪʃən/
abominations	/ɐbˌɒmɪnˈe‍ɪʃənz/
abominator	/ɐbˈɒmɪnˌe‍ɪtɐ/
aboriginal	/ˌæbəɹˈɪd‍ʒɪnə‍l/
aboriginals	/ˌæbəɹˈɪd‍ʒɪnə‍lz/
aborigine	/ˌæbəɹˈɪd‍ʒənˌi/
aborigines	/ˌæbəɹˈɪd‍ʒənˌiz/
abort	/ɐbˈɔːt/
aborted	/ɐbˈɔːtɪd/
aborting	/ɐbˈɔːtɪŋ/
abortion	/ɐbˈɔːʃən/
abortionist	/ɐbˈɔːʃənˌɪst/
abortionists	/ɐbˈɔːʃənˌɪsts/
abortions	/ɐbˈɔːʃənz/
abortive	/ɐbˈɔːtɪv/
aborts	/ɐbˈɔːts/
abound	/ɐbˈa‍ʊnd/
abounded	/ɐbˈa‍ʊndɪd/
abounding	/ɐbˈa‍ʊndɪŋ/
abounds	/ɐbˈa‍ʊndz/
about	/ɐbˈa‍ʊt/
above	/əbˈʌv/
abracadabra	/ˌæbɹəkədˈæbɹɐ/
abrade	/ɐbɹˈe‍ɪd/
abraded	/ɐbɹˈe‍ɪdɪd/
abrades	/ɐbɹˈe‍ɪdz/
abrading	/ɐbɹˈe‍ɪdɪŋ/
abrasion	/ɐbɹˈe‍ɪʒən/
abrasions	/ɐbɹˈe‍ɪʒənz/
abrasive	/ɐbɹˈe‍ɪsɪv/
abrasiveness	/ɐbɹˈe‍ɪsɪvnəs/
abrasives	/ɐbɹˈe‍ɪsɪvz/
abraxas	/ɐbɹˈæksəs/
abreast	/ɐbɹˈɛst/
abri	/ɐbɹˈi/
abridged	/ɐbɹˈɪd‍ʒd/
abridgement	/ɐbɹˈɪd‍ʒmənt/
abroad	/ɐbɹˈɔːd/
abrogated	/ˈæbɹəɡˌe‍ɪtɪd/
abrogating	/ˈæbɹəɡˌe‍ɪtɪŋ/
abrogation	/ˌæbɹəɡˈe‍ɪʃən/
abrupt	/ɐbɹˈʌpt/
abruption	/ɐbɹˈʌpʃən/
abruptly	/ɐbɹˈʌptli/
abruptness	/ɐbɹˈʌptnəs/
abs	/ˈæbz/
abscess	/ˈæbsɛs/
abscesses	/ˈæbsɛsɪz/
abscond	/ɐbskˈɒnd/
absconded	/ɐbskˈɒndɪd/
absconding	/ɐbskˈɒndɪŋ/
absconds	/ɐbskˈɒndz/
abseil	/ˈæbse‍ɪl/
abseiled	/ˈæbse‍ɪld/
abseiler	/ˈæbse‍ɪlɐ/
abseiling	/ˈæbse‍ɪlɪŋ/
abseils	/ˈæbse‍ɪlz/
absence	/ˈæbsəns/
absences	/ˈæbsənsɪz/
absented	/æbsˈɛntɪd/
absentee	/ˌæbsəntˈiː/
absenteeism	/ˌæbsəntˈiːɪzəm/
absentees	/ˌæbsəntˈiːz/
absenting	/æbsˈɛntɪŋ/
absentminded	/ˌæbsəntmˈa‍ɪndɪd/
absentmindedly	/ˌæbsəntmˈa‍ɪndɪdli/
absinthe	/ˈæbsɪnθ/
absolute	/ˈæbsəlˌuːt/
absolutely	/ˌæbsəlˈuːtli/
absolutes	/ˈæbsəlˌuːts/
absolution	/ˌæbsəlˈuːʃən/
absolutism	/ˈæbsəlˌuːtɪzəm/
absolutist	/ˈæbsəlˌuːtɪst/
absolve	/ɐbsˈɒlv/
absolved	/ɐbsˈɒlvd/
absolves	/ɐbsˈɒlvz/
absolving	/ɐbsˈɒlvɪŋ/
absorbable	/ɐbsˈɔːbəbə‍l/
absorb	/ɐbsˈɔːb/
absorbed	/ɐbsˈɔːbd/
absorbency	/ɐbsˈɔːbənsi/
absorbent	/ɐbsˈɔːbənt/
absorber	/ɐbsˈɔːbɐ/
absorbers	/ɐbsˈɔːbəz/
absorbing	/ɐbsˈɔːbɪŋ/
absorbs	/ɐbsˈɔːbz/
absorption	/ɐbsˈɔːpʃən/
abstain	/ɐbstˈe‍ɪn/
abstained	/ɐbstˈe‍ɪnd/
abstainers	/ɐbstˈe‍ɪnəz/
abstaining	/ɐbstˈe‍ɪnɪŋ/
abstains	/ɐbstˈe‍ɪnz/
abstemious	/ɐbstˈiːmi‍əs/
abstention	/ɐbstˈɛnʃən/
abstentions	/ɐbstˈɛnʃənz/
abstinence	/ˈæbstɪnəns/
abstinent	/ˈæbstɪnənt/
abstracted	/ɐbstɹˈæktɪd/
abstracting	/ɐbstɹˈæktɪŋ/
abstraction	/ɐbstɹˈækʃən/
abstractions	/ɐbstɹˈækʃənz/
abstractly	/ɐbstɹˈæktli/
abstruse	/ɐbstɹˈuːs/
absurd	/ɐbsˈɜːd/
absurdist	/ɐbsˈɜːdɪst/
absurdities	/ɐbsˈɜːdɪtiz/
absurdity	/ɐbsˈɜːdɪti/
absurdly	/ɐbsˈɜːdli/
abundance	/ɐbˈʌndəns/
abundances	/ɐbˈʌndənsɪz/
abundant	/ɐbˈʌndənt/
abundantly	/ɐbˈʌndəntli/
abused	/ɐbjˈuːsd/
abuser	/ɐbjˈuːsɐ/
abusers	/ɐbjˈuːsəz/
abusing	/ɐbjˈuːsɪŋ/
abusive	/ɐbjˈuːsɪv/
abusively	/ɐbjˈuːsɪvli/
abut	/ɐbˈʌt/
abutment	/ɐbˈʌtmənt/
abutments	/ɐbˈʌtmənts/
abuts	/ɐbˈʌts/
abutting	/ɐbˈʌtɪŋ/
abuzz	/ɐbˈʌz/
aby	/ɐbˈa‍ɪ/
abysmal	/ɐbˈɪsmə‍l/
abysmally	/ɐbˈɪsmə‍li/
abyssal	/ɐbˈɪsə‍l/
abyss	/ɐbˈɪs/
abysses	/ɐbˈɪsɪz/
acacia	/ɐkˈe‍ɪʃɐ/
acacias	/ɐkˈe‍ɪʃəz/
academe	/ɐkˈædəmˌi/
academia	/ˌækədˈiːmi‍ə/
academic	/ˌækədˈɛmɪk/
academical	/ˌækədˈɛmɪkə‍l/
academically	/ˌækədˈɛmɪkli/
academician	/ˌækədɪmˈɪʃən/
academicians	/ˌækədɪmˈɪʃənz/
academics	/ˌækədˈɛmɪks/
academies	/ɐkˈædəmɪz/
academy	/ɐkˈædəmi/
acanthus	/ɐkˈɑːnθəs/
acceded	/ɐksˈiːdɪd/
accede	/ɐksˈiːd/
acceding	/ɐksˈiːdɪŋ/
accelerando	/ɐksˌɛləɹˈændə‍ʊ/
accelerant	/ɐksˈɛləɹənt/
accelerated	/ɐksˈɛləɹˌe‍ɪtɪd/
accelerate	/ɐksˈɛləɹˌe‍ɪt/
accelerates	/ɐksˈɛləɹˌe‍ɪts/
accelerating	/ɐksˈɛləɹˌe‍ɪtɪŋ/
acceleration	/ɐksˌɛləɹˈe‍ɪʃən/
accelerations	/ɐksˌɛləɹˈe‍ɪʃənz/
accelerator	/ɐksˈɛləɹˌe‍ɪtɐ/
accelerators	/ɐksˈɛləɹˌe‍ɪtəz/
accelerometer	/ɐksˌɛləɹˈɒmɪtɐ/
accelerometers	/ɐksˌɛləɹˈɒmɪtəz/
accented	/ˈæksəntɪd/
accentuate	/æksˈɛnt‍ʃuːˌe‍ɪt/
accentuated	/æksˈɛnt‍ʃuːˌe‍ɪtɪd/
accentuates	/æksˈɛnt‍ʃuːˌe‍ɪts/
accentuating	/æksˈɛnt‍ʃuːˌe‍ɪtɪŋ/
acceptability	/ɐksˌɛptəbˈɪlɪti/
acceptable	/ɐksˈɛptəbə‍l/
acceptably	/ɐksˈɛptəbli/
acceptance	/ɐksˈɛptəns/
acceptances	/ɐksˈɛptənsɪz/
acceptation	/ɐksɪptˈe‍ɪʃən/
accepted	/ɐksˈɛptɪd/
accepting	/ɐksˈɛptɪŋ/
accept	/ɐksˈɛpt/
accepts	/ɐksˈɛpts/
access	/ˈæksɛs/
accessed	/ˈæksɛst/
accesses	/ˈæksɛsɪz/
accessibility	/ɐksˌɛsəbˈɪlɪti/
accessible	/ɐksˈɛsəbə‍l/
accessibly	/ɐksˈɛsəbli/
accessing	/ˈæksɛsɪŋ/
accession	/ɐksˈɛʃən/
accessories	/ɐksˈɛsəɹˌiz/
accessorised	/ɐksˈɛsɔːɹˌa‍ɪzd/
accessorise	/ɐksˈɛsɔːɹˌa‍ɪz/
accessorising	/ɐksˈɛsɔːɹˌa‍ɪzɪŋ/
accessory	/ɐksˈɛsəɹˌi/
accident	/ˈæksɪdənt/
accidental	/ˌæksɪdˈɛntə‍l/
accidentally	/ˌæksɪdˈɛntə‍li/
accidently	/ˈæksɪdəntli/
accidents	/ˈæksɪdənts/
accidie	/ˈæksɪdi/
acclaimed	/ɐklˈe‍ɪmd/
acclaiming	/ɐklˈe‍ɪmɪŋ/
acclaim	/ɐklˈe‍ɪm/
acclaims	/ɐklˈe‍ɪmz/
acclamation	/ɐklɐmˈe‍ɪʃən/
acclimated	/ɐklˈa‍ɪmətɪd/
acclimate	/ɐklˈa‍ɪmət/
acclimatisation	/ɐklˌa‍ɪmɐta‍ɪzˈe‍ɪʃən/
acclimatised	/ɐklˈa‍ɪmɐtˌa‍ɪzd/
acclimatise	/ɐklˈa‍ɪmɐtˌa‍ɪz/
acclimatising	/ɐklˈa‍ɪmɐtˌa‍ɪzɪŋ/
accolade	/ˈækəlˌe‍ɪd/
accolades	/ˈækəlˌe‍ɪdz/
accommodated	/ɐkˈɒmədˌe‍ɪtɪd/
accommodate	/ɐkˈɒmədˌe‍ɪt/
accommodates	/ɐkˈɒmədˌe‍ɪts/
accommodating	/ɐkˈɒmədˌe‍ɪtɪŋ/
accommodation	/ɐkˌɒmədˈe‍ɪʃən/
accommodations	/ɐkˌɒmədˈe‍ɪʃənz/
accompanied	/ɐkˈʌmpənɪd/
accompanies	/ɐkˈʌmpənɪz/
accompaniment	/ɐkˈʌmpɐnˌɪmənt/
accompaniments	/ɐkˈʌmpɐnˌɪmənts/
accompanist	/ɐkˈʌmpɐnˌɪst/
accompanists	/ɐkˈʌmpɐnˌɪsts/
accompanying	/ɐkˈʌmpənɪɪŋ/
accompany	/ɐkˈʌmpəni/
accomplice	/ɐkˈɒmplɪs/
accomplices	/ɐkˈɒmplɪsɪz/
accomplished	/ɐkˈɒmplɪʃt/
accomplishes	/ɐkˈɒmplɪʃɪz/
accomplishing	/ɐkˈɒmplɪʃɪŋ/
accomplish	/ɐkˈɒmplɪʃ/
accomplishment	/ɐkˈɒmplɪʃmənt/
accomplishments	/ɐkˈɒmplɪʃmənts/
accordance	/ɐkˈɔːdəns/
accordant	/ɐkˈɔːdənt/
accorded	/ɐkˈɔːdɪd/
according	/ɐkˈɔːdɪŋ/
accordingly	/ɐkˈɔːdɪŋli/
accordionist	/ɐkˈɔːdɪənˌɪst/
accordionists	/ɐkˈɔːdɪənˌɪsts/
accordion	/ɐkˈɔːdi‍ən/
accordions	/ɐkˈɔːdi‍ənz/
accord	/ɐkˈɔːd/
accords	/ɐkˈɔːdz/
accosted	/ɐkˈɒstɪd/
accosting	/ɐkˈɒstɪŋ/
accost	/ɐkˈɒst/
accosts	/ɐkˈɒsts/
accountability	/ɐkˌa‍ʊntəbˈɪlɪti/
accountable	/ɐkˈa‍ʊntəbə‍l/
accountancy	/ɐkˈa‍ʊntənsi/
accountant	/ɐkˈa‍ʊntənt/
accountants	/ɐkˈa‍ʊntənts/
accounted	/ɐkˈa‍ʊntɪd/
accounting	/ɐkˈa‍ʊntɪŋ/
account	/ɐkˈa‍ʊnt/
accounts	/ɐkˈa‍ʊnts/
accoutred	/ɐkˈuːtɹəd/
accoutrement	/ɐkˈuːtɹɪmənt/
accoutrements	/ɐkˈuːtɹɪmənts/
accreditation	/ɐkɹˌɛdɪtˈe‍ɪʃən/
accredited	/ɐkɹˈɛdɪtɪd/
accredits	/ɐkɹˈɛdɪts/
accreted	/ɐkɹˈiːtɪd/
accrete	/ɐkɹˈiːt/
accretion	/ɐkɹˈɛʃən/
accretions	/ɐkɹˈɛʃənz/
accrual	/ɐkɹˈuːə‍l/
accrued	/ɐkɹˈuːd/
accrue	/ɐkɹˈuː/
accrues	/ɐkɹˈuːz/
accruing	/ɐkɹˈuːɪŋ/
acculturated	/ɐkˈʌlt‍ʃəɹˌe‍ɪtɪd/
accumulated	/ɐkjˈuːmjʊlˌe‍ɪtɪd/
accumulate	/ɐkjˈuːmjʊlˌe‍ɪt/
accumulates	/ɐkjˈuːmjʊlˌe‍ɪts/
accumulating	/ɐkjˈuːmjʊlˌe‍ɪtɪŋ/
accumulation	/ɐkjˌuːmjʊlˈe‍ɪʃən/
accumulations	/ɐkjˌuːmjʊlˈe‍ɪʃənz/
accumulative	/ɐkjˈuːmjʊlətˌɪv/
accumulator	/ɐkjˈuːmjʊlˌe‍ɪtɐ/
accumulators	/ɐkjˈuːmjʊlˌe‍ɪtəz/
accuracy	/ˈækjʊɹəsi/
accurate	/ˈækjʊɹət/
accurately	/ˈækjʊɹətli/
accursed	/ɐkˈɜːsɪd/
accusation	/ˌækjuːzˈe‍ɪʃən/
accusations	/ˌækjuːzˈe‍ɪʃənz/
accusative	/ɐkjˈuːzətˌɪv/
accusatory	/ɐkjˈuːzətəɹˌi/
accused	/ɐkjˈuːzd/
accuse	/ɐkjˈuːz/
accuser	/ɐkjˈuːzɐ/
accusers	/ɐkjˈuːzəz/
accuses	/ɐkjˈuːzɪz/
accusing	/ɐkjˈuːzɪŋ/
accusingly	/ɐkjˈuːzɪŋli/
accustomed	/ɐkˈʌstəmd/
accustom	/ɐkˈʌstəm/
aced	/ˈe‍ɪst/
ace	/ˈe‍ɪs/
acerbic	/ɐsˈɜːbɪk/
aces	/ˈe‍ɪsɪz/
acetate	/ˈæsɪtˌe‍ɪt/
acetates	/ˈæsɪtˌe‍ɪts/
acetic	/ɐsˈiːtɪk/
acetone	/ˈæsɪtˌə‍ʊn/
acetyl	/ˈæsɪtˌa‍ɪl/
acetylene	/ɐsˈɛtəlˌiːn/
ached	/ˈe‍ɪkt/
aches	/ˈe‍ɪkz/
achievable	/ɐt‍ʃˈiːvəbə‍l/
achieved	/ɐt‍ʃˈiːvd/
achievements	/ɐt‍ʃˈiːvmənts/
achievement	/ɐt‍ʃˈiːvmənt/
achievers	/ɐt‍ʃˈiːvəz/
achiever	/ɐt‍ʃˈiːvɐ/
achieves	/ɐt‍ʃˈiːvz/
achieve	/ɐt‍ʃˈiːv/
achieving	/ɐt‍ʃˈiːvɪŋ/
aching	/ˈe‍ɪkɪŋ/
achingly	/ɐt‍ʃɪŋlˈi/
achoo	/ɐt‍ʃˈuː/
achy	/ˈe‍ɪki/
acid	/ˈæsɪd/
acidic	/ɐsˈɪdɪk/
acidification	/ɐsˌɪdɪfɪkˈe‍ɪʃən/
acidified	/ɐsˈɪdɪfˌa‍ɪd/
acidifying	/ɐsˈɪdɪfˌa‍ɪɪŋ/
acidify	/ɐsˈɪdɪfˌa‍ɪ/
acidity	/æsˈɪdɪti/
acidosis	/ɐsɪdˈə‍ʊsɪs/
acidotic	/ɐsɪdˈɒtɪk/
acids	/ˈæsɪdz/
acidulated	/ɐsˈɪdjʊlˌe‍ɪtɪd/
acing	/ˈe‍ɪsɪŋ/
acknowledged	/ɐknˈɒlɪd‍ʒd/
acknowledge	/ɐknˈɒlɪd‍ʒ/
acknowledgement	/ɐknˈɒlɪd‍ʒmənt/
acknowledgements	/ɐknˈɒlɪd‍ʒmənts/
acknowledges	/ɐknˈɒlɪd‍ʒɪz/
acknowledging	/ɐknˈɒlɪd‍ʒɪŋ/
acknowledgment	/ɐknˈɒlɪd‍ʒmənt/
acknowledgments	/ɐknˈɒlɪd‍ʒmənts/
acme	/ˈækmi/
acne	/ˈækni/
acolyte	/ˈækəlˌa‍ɪt/
acolytes	/ˈækəlˌa‍ɪts/
aconite	/ˈækənˌa‍ɪt/
aconites	/ˈækənˌa‍ɪts/
acorn	/ˈe‍ɪkɔːn/
acorns	/ˈe‍ɪkɔːnz/
acoustical	/ɐkˈuːstɪkə‍l/
acoustically	/ɐkˈuːstɪkli/
acoustician	/ɐkuːstˈɪʃən/
acousticians	/ɐkuːstˈɪʃənz/
acoustic	/ɐkˈuːstɪk/
acoustics	/ɐkˈuːstɪks/
acquaintance	/ɐkwˈe‍ɪntəns/
acquaintanceship	/ɐkwˈe‍ɪntənsʃˌɪp/
acquaintances	/ɐkwˈe‍ɪntənsɪz/
acquainted	/ɐkwˈe‍ɪntɪd/
acquainting	/ɐkwˈe‍ɪntɪŋ/
acquaint	/ɐkwˈe‍ɪnt/
acquiesce	/ˌækwɪˈɛs/
acquiesced	/ˌækwɪˈɛst/
acquiescence	/ˌækwɪˈɛsəns/
acquiescent	/ˌækwɪˈɛsənt/
acquiesces	/ˌækwɪˈɛsɪz/
acquiescing	/ˌækwɪˈɛsɪŋ/
acquired	/ɐkwˈa‍ɪ‍əd/
acquire	/ɐkwˈa‍ɪ‍ə/
acquirer	/ɐkwˈa‍ɪ‍əɹɐ/
acquires	/ɐkwˈa‍ɪ‍əz/
acquiring	/ɐkwˈa‍ɪ‍əɹɪŋ/
acquisition	/ɐkwɪsˈɪʃən/
acquisitions	/ɐkwɪsˈɪʃənz/
acquisitive	/ɐkwˈɪzɪtˌɪv/
acquit	/ɐkwˈɪt/
acquits	/ɐkwˈɪts/
acquittal	/ɐkwˈɪtə‍l/
acquittals	/ɐkwˈɪtə‍lz/
acquitted	/ɐkwˈɪtɪd/
acquitting	/ɐkwˈɪtɪŋ/
acreage	/ˈe‍ɪkəɹɪd‍ʒ/
acreages	/ˈe‍ɪkəɹɪd‍ʒɪz/
acred	/ˈe‍ɪkəd/
acres	/ˈe‍ɪkəz/
acrid	/ˈækɹɪd/
acrimonious	/ˌækɹɪmˈə‍ʊnɪəs/
acrimoniously	/ˌækɹɪmˈə‍ʊnɪəsli/
acrimony	/ˈækɹɪməni/
acrobat	/ˈækɹəbˌæt/
acrobatic	/ˌækɹəbˈætɪk/
acrobatically	/ˌækɹəbˈætɪkli/
acrobatics	/ˌækɹəbˈætɪks/
acrobats	/ˈækɹəbˌæts/
acromegaly	/ˈækɹə‍ʊmɡəli/
acromion	/ækɹˈə‍ʊmi‍ən/
acronym	/ˈækɹənˌɪm/
acronyms	/ˈækɹənˌɪmz/
acrophobia	/ˌækɹəfˈə‍ʊbi‍ə/
acropolis	/ækɹˈɒpəlˌiz/
across	/əkɹˈɒs/
acrostics	/ækɹˈɒstɪks/
acrylic	/ɐkɹˈɪlɪk/
acrylics	/ɐkɹˈɪlɪks/
act	/ˈækt/
acted	/ˈæktɪd/
actin	/ˈæktɪn/
acting	/ˈæktɪŋ/
actinic	/æktˈɪnɪk/
actinide	/ˈæktɪnˌa‍ɪd/
actinium	/æktˈɪni‍əm/
actionable	/ˈækʃənəbə‍l/
action	/ˈækʃən/
actions	/ˈækʃənz/
activate	/ˈæktɪvˌe‍ɪt/
activated	/ˈæktɪvˌe‍ɪtɪd/
activates	/ˈæktɪvˌe‍ɪts/
activating	/ˈæktɪvˌe‍ɪtɪŋ/
activation	/ˌæktɪvˈe‍ɪʃən/
activations	/ˌæktɪvˈe‍ɪʃənz/
activator	/ˈæktɪvˌe‍ɪtɐ/
active	/ˈæktɪv/
actively	/ˈæktɪvli/
actives	/ˈæktɪvz/
activism	/ˈæktɪvˌɪzəm/
activist	/ˈæktɪvˌɪst/
activists	/ˈæktɪvˌɪsts/
activities	/æktˈɪvɪtiz/
activity	/æktˈɪvɪti/
actor	/ˈæktɐ/
actors	/ˈæktəz/
actress	/ˈæktɹəs/
actresses	/ˈæktɹəsɪz/
acts	/ˈækts/
actual	/ˈækt‍ʃuːə‍l/
actualisation	/ˌækt‍ʃuːəla‍ɪzˈe‍ɪʃən/
actualise	/ˈækt‍ʃuːəlˌa‍ɪz/
actualised	/ˈækt‍ʃuːəlˌa‍ɪzd/
actualities	/ˌækt‍ʃuːˈælɪtiz/
actuality	/ˌækt‍ʃuːˈælɪti/
actually	/ˈækt‍ʃuːə‍li/
actuarial	/ˌækt‍ʃuːˈe‍əɹɪəl/
actuarially	/ˌækt‍ʃuːˈe‍əɹɪəli/
actuaries	/ˈækt‍ʃuːəɹiz/
actuary	/ˈækt‍ʃuːəɹi/
actuated	/ˈækt‍ʃuːˌe‍ɪtɪd/
actuator	/ˈækt‍ʃuːˌe‍ɪtɐ/
actuators	/ˈækt‍ʃuːˌe‍ɪtəz/
acuity	/ɐkjˈuːɪti/
acumen	/ˈækjuːmˌɛn/
acupressure	/ˈækəpɹˌɛʃɐ/
acupuncture	/ˈækjuːpˌʌŋkt‍ʃɐ/
acupuncturist	/ˈækjuːpˌʌŋkt‍ʃəɹˌɪst/
acute	/ɐkjˈuːt/
acutely	/ɐkjˈuːtli/
acuteness	/ɐkjˈuːtnəs/
acuter	/ɐkjˈuːtɐ/
acyclovir	/ɐkˈa‍ɪkləvˌi‍ə/
ad	/ˈæd/
adage	/ˈædɪd‍ʒ/
adages	/ˈædɪd‍ʒɪz/
adagio	/ædˈɑːd‍ʒɪˌə‍ʊ/
adamant	/ˈædəmənt/
adamantine	/ˈædɐmˌɑːntiːn/
adamantly	/ˈædəməntli/
adaptability	/ɐdˌæptəbˈɪlɪti/
adaptable	/ɐdˈæptəbə‍l/
adaptation	/ɐdɐptˈe‍ɪʃən/
adaptations	/ɐdɐptˈe‍ɪʃənz/
adapt	/ɐdˈæpt/
adapted	/ɐdˈæptɪd/
adapter	/ɐdˈæptɐ/
adapters	/ɐdˈæptəz/
adapting	/ɐdˈæptɪŋ/
adaption	/ɐdˈæpʃən/
adaptions	/ɐdˈæpʃənz/
adaptive	/ɐdˈæptɪv/
adaptively	/ɐdˈæptɪvli/
adaptor	/ɐdˈæptɐ/
adaptors	/ɐdˈæptəz/
adapts	/ɐdˈæpts/
add	/ˈæd/
added	/ˈædɪd/
addendum	/ɐdˈɛndəm/
adder	/ˈædɐ/
adders	/ˈædəz/
addicted	/ɐdˈɪktɪd/
addicting	/ɐdˈɪktɪŋ/
addiction	/ɐdˈɪkʃən/
addictions	/ɐdˈɪkʃənz/
addictive	/ɐdˈɪktɪv/
adding	/ˈædɪŋ/
additional	/ɐdˈɪʃənə‍l/
additionally	/ɐdˈɪʃənə‍li/
addition	/ɐdˈɪʃən/
additions	/ɐdˈɪʃənz/
additive	/ˈædɪtˌɪv/
additives	/ˈædɪtˌɪvz/
addle	/ˈædə‍l/
addled	/ˈædə‍ld/
addles	/ˈædə‍lz/
addling	/ˈædlɪŋ/
addressable	/ɐdɹˈɛsəbə‍l/
addressed	/ɐdɹˈɛst/
addressee	/ɐdɹˈɛsiː/
addresses	/ɐdɹˈɛsɪz/
addressing	/ɐdɹˈɛsɪŋ/
adds	/ˈædz/
adduced	/ɐdjˈuːst/
adduce	/ɐdjˈuːs/
adductor	/ɐdˈʌktɐ/
adenine	/ˈædənˌiːn/
adenocarcinoma	/ˌædənˌɒkɑːsɪnˈə‍ʊmɐ/
adenoidal	/ˈædənˌɔ‍ɪdə‍l/
adenoids	/ˈædənˌɔ‍ɪdz/
adenosine	/ˈædənˌɒsa‍ɪn/
adeptly	/ɐdˈɛptli/
adeptness	/ɐdˈɛptnəs/
adequacy	/ˈædɪkwəsi/
