a	/a/
edita	/edita/
Edwad	/edwad/
ef	/ef/
egvaantij	/egvaːntidʒ/
egzakli	/egzakli/
egzamin	/egzamin/
egzampl	/egzampl̩/
egzis	/egzis/
Eliat	/eliat/
eliment	/eliment/
elivieta	/elivɪɛta/
elp	/elp/
elswe	/elswe/
en	/en/
enaji	/enadʒi/
eni	/eni/
enibadi	/enibadi/
eniebl	/enɪɛbl̩/
enitaim	/enɪtaɪm/
eniwiez	/eniwɪɛz/
entapraiz	/entapɹaɪz/
eritij	/eɹitidʒ/
esn	/esn̩/
evidens	/evidens/
evri	/evɹi/
exchienj	/ekstʃɪɛndʒ/
exchriim	/ekstʃɹiːm/
exepshan	/eksepʃan/
exkiep	/ekskɪɛp/
exkluudn	/ekskluːdn̩/
expanshan	/ekspanʃan/
expiriens	/ekspiɹɪɛns/
expuot	/ekspuɔt/
extablish	/ekstabli/
extingk	/ekstiŋk/
faada	/faːda/
faal	/faːl/
faal dong	/faːl doŋ/
faal ina lob	/faːl ina lob/
faam	/faːm/
faama	/faːma/
faamat	/faːmat/
faar	/faːɹ/
faas	/faːs/
faatifikieshan	/faːtifikɪɛʃan/
fagivnis	/fagivnis/
faib	/faɪb/
fain	/faɪn/
fainal	/faɪnal/
faiya	/faɪja/
faiya bon	/faɪja bon/
faiyaman	/faɪjaman/
fak	/fak/
fala	/fala/
falara	/falaɹa/
falarin	/falaɹin/
Falmot	/falmot/
fambli	/fambli/
farin	/faɹin/
farina	/faɹina/
fasilitiet	/fasilitɪɛt/
faya	/faja/
Febiweri	/febiweɹi/
feda	/feda/
feminis	/feminis/
feminizim	/feminizim/
fene	/fene/
fens	/fens/
fi	/fi/
fi chuu	/fitʃuː/
fi mi	/fimi/
fi paapos	/fipaːpos/
fi touzn a ier	/fitɔuzn̩ a ɪɛɹ/
fiemos	/fɪɛmos/
fies	/fɪɛs/
fiesti	/fɪɛsti/
fiet	/fɪɛt/
fieva	/fieva/
fif	/fif/
fiftiin	/fiftiːn/
figa	/figa/
figat	/figat/
fiicha	/fiːtʃa/
fiil	/fiːl/
fiimiel	/fiːmɪɛl/
fiiva	/fiːva/
fikshan	/fikʃan/
filasafi	/filasafi/
Filipiinz	/filipiːnz/
finaminan	/finaminan/
finanshal	/finanʃal/
fingga	/fiŋga/
fingga-hed	/fiŋgahed/
fiziolaji	/fizioladʒi/
fizishan	/fiziʃan/
fizix	/fiziks/
flai	/flaɪ/
flieva	/flɪɛva/
flim	/flim/
flod	/flod/
flowa	/flowa/
fluor	/fluɔɹ/
fongkshan	/foŋkʃan/
foris	/foɹis/
form	/foɹm/
fos	/fos/
foul	/foul/
fraag	/fɹaːg/
frahn	/fɹã/
frai	/fɹaɪ/
frai domplin	/fɹaɪ domplin/
frai plaan	/fɹaɪ plaːn/
fraitn	/fɹaɪtn̩/
Frans	/fɹans/
frenship	/fɹenʃip/
fruut	/fɹuːt/
fruut juus	/fɹuːt dʒuːs/
fufu	/fufu/
ful	/ful/
fuo	/fuɔ/
fuokos	/fuɔkos/
fuos	/fuɔs/
fuot	/fuɔt/
fuotiin	/fuɔtiːn/
fut	/fut/
futbaal	/futbaːl/
fuud	/fuːd/
fyuil	/fjuil/
fyuu	/fjuː/
galang	/galaŋ/
gens	/gens/
get apaint	/get apaɪnt/
get bex	/get beks/
get hextingk	/get hekstiŋk/
gien	/gɪɛn/
giet	/gɪɛt/
ginep	/ginep/
gluobal	/gluɔbal/
go a farin	/goafaɹin/
gobna	/gobna/
Gobna-Jinaral	/gobnadʒinaɹal/
goli	/golɪ/
golibl	/golibl̩/
gon	/gon/
govament	/govament/
graasapa	/gɹaːsapa/
grampierans	/gɹampɪɛɹans/
griep	/gɹɪɛp/
griet	/gɹɪɛt/
grietis	/gɹɪɛtis/
grii	/gɹiː/
grii pahn	/gɹiːpã/
grii se	/gɹiːse/
griin	/gɹiːn/
Griis	/gɹiːs/
Grinieda	/gɹinɪɛda/
grong	/gɹoŋ/
gruo	/gɹuɔ/
gruot	/gɹuɔt/
gud	/gud/
gudz	/gudz/
gunggu	/guŋgu/
gunggu piiz	/guŋgu piːz/
guol	/guɔl/
guot	/guɔt/
guzu	/guzu/
gwaava	/gwaːva/
gwan	/gwan/
gyaad	/ɟaːd/
gyaadn	/ɟaːdn̩/
gyaalik	/ɟaːlik/
gyada	/ɟada/
gyadarin	/ɟadaɹin/
gyal	/ɟal/
gyal pikni	/ɟal pikni/
gyas	/ɟas/
haakiek	/haːkɪɛk/
haalzwie	/haːlzwɪɛ/
haatagrafi	/haːtagɹafi/
haatikl	/haːtikl̩/
haatis	/haːtis/
habrij	/habɹidʒ/
habvios	/habvios/
hada	/hada/
hadap	/hadap/
hadvenchara	/hadventʃaɹa/
hafi	/hafi/
haid	/haɪd/
hairish	/haɪɹiʃ/
hairish pitieta	/haɪɹiʃ pitɪɛta/
hambrela	/hambɹela/
hanalisis	/hanalisis/
hanimal	/hanimal/
harijin	/haɹidʒin/
hat	/hat/
hatityuud	/hatitjuːd/
haxent	/haksent/
haxesobl	/haksesobl̩/
haxpek	/hakspek/
hayan	/hajan/
hayan-mekin	/hajanmekin/
haz	/haz/
hebini	/hebini/
hebm	/hebm̩/
hedituoryal	/hedituɔɹjal/
heg	/heg/
hels	/hels/
hen	/hen/
hen a	/hena/
heni	/heni/
heni a	/henia/
heni a di abov	/henia diabov/
heniting	/henitiŋ/
heniting hels	/henitiŋ hels/
hexpand	/hekspand/
hexplien	/heksplɪɛn/
hexpreshan	/hekspɹeʃan/
hexten	/heksten/
hextingk	/hekstiŋk/
hidyam	/hidjam/
hIeja	/hɪɛdʒa/
hiem	/hɪɛm/
hiet	/hɪɛt/
hietiin	/hɪɛtiːn/
hifek	/hifek/
higla	/higla/
hiit	/hiːt/
hiiz	/hiːz/
hilekchranik	/hilektʃɹanik/
hilekchranik komiunikieshan	/hilektʃɹanik komjunikɪɛʃan/
himpres	/himpɹes/
hinchradokshan	/hintʃɹadokʃan/
hinchrajuus	/hintʃɹadʒuːs/
hinchres	/hintʃɹes/
hinfluens	/hinfluens/
hingglish	/hiŋgliʃ/
hinishal	/hiniʃal/
hinkluudn	/hinkluːdn̩/
hintanashinal	/hintanaʃinal/
hintanashinal chrabl	/hintanaʃinal tʃɹabl̩/
hofishal	/hofiʃal/
hofishal langwij	/hofiʃal laŋwidʒ/
honggl	/hoŋgl̩/
honggri	/hoŋgɹi/
honyan	/hoɲan/
hopin-en	/hopinen/
horbanizieshan	/hoɹbanizɪɛʃan/
hori	/hoɹi/
hori op	/hoɹi op/
horli	/hoɹli/
howa	/howa/
hox	/hoks/
huobaluk	/huɔbaluk/
huol	/huɔl/
huol-taima	/huɔltaɪma/
huoliip	/huɔliːp/
huoral	/huɔɹal/
huoral langwij	/huɔɹal laŋwidʒ/
huovn	/huɔvn̩/
ie	/ɪɛ/
iebl	/ɪɛbl̩/
Ieda	/ɪɛda/
iej	/ɪɛdʒ̩/
iejobl	/ɪɛdʒobl̩/
iel	/ɪɛl/
Iemi	/ɪɛmi/
ienshent	/ɪɛnʃent/
Iepril	/ɪɛpɹil/
ier	/ɪɛɹ/
ieria	/ɪɛɹia/
ies	/ɪɛs/
iet	/ɪɛt/
ieti	/ɪɛti/
Ieti	/ɪɛti/
ietiin	/ɪɛtiːn/
iez	/iez/
Iezha	/ɪɛʒa/
ifainali	/ifaɪnali/
ifek	/ifek/
igwaana	/igwaːna/
ihn	/ĩ/
iibm	/iːbm̩/
iibn	/iːbn̩/
iihn	/ĩː/
Iijip	/iːdʒip/
iikwal	/iːkwal/
iip	/iːp/
iir	/iːɹ/
iis	/iːs/
iistan	/iːstan/
iit	/iːt/
iit aaf	/iːtaːf/
iivn	/iːvn̩/
iivnin	/iːvnin/
ikanami	/ikanami/
ikanamik	/ikanamik/
ikanamix	/ikanamiks/
ilek	/ilek/
iloschrieshan	/ilostʃɹɪɛʃan/
im	/im/
impak	/impak/
impruuv	/impɹuːv/
impuotant	/impuɔtant/
imuoshan	/imuɔʃan/
in fak	/infak/
ina	/ina/
ina di faam a	/inadi faːma/
ina di wol	/inadi wol/
inaamos	/inaːmos/
inabit	/inhabit/
indipendans	/indipendans/
indischroktebl	/indistʃɹoktebl̩/
indoschri	/indostʃɹi/
indoschrial	/indostʃɹial/
indoschrializieshan	/indostʃɹializɪɛʃan/
infamieshan	/infamɪɛʃan/
influens	/influens/
inggiej	/iŋgɪɛdʒ/
Ingglan	/iŋglan/
ingkluudn	/iŋkluːdn̩/
ingkorij	/iŋkoɹidʒ/
iniebl	/inɪɛbl̩/
injai	/indʒaɪ/
injinierin	/indʒinɪɛɹin/
inkluud	/inkluːd/
inkriis	/inkɹiːs/
inruol	/inɹuɔl/
insaiklopiidya	/insaɪklopiːdja/
inspaya	/inspaya/
intaikl	/intaɪkl̩/
intanashinal	/intanaʃinal/
intanet	/intanet/
intatiena	/intatɪɛna/
invalv	/invalv/
inviejan	/invɪɛdʒan/
ischri	/istʃɹi/
ishu	/iʃhu/
istuorian	/istuɔɹian/
it	/it/
Itali	/itali/
ivalv	/ivalv/
ivenchuali	/iventʃuali/
ivent	/ivent/
jaagrafi	/dʒaːgɹafi/
jaagrofi	/dʒaːgɹofi/
Jaaj	/dʒaːdʒ/
jaaloji	/dʒaːlodʒi/
jain	/dʒaɪn/
jainop	/dʒaɪnop/
jakfruut	/dʒakfɹuːt/
jaloji	/dʒalodʒi/
Jan	/dʒan/
jangkro	/dʒaŋkɹo/
Janiweri	/dʒaniweɹi/
Japan	/dʒapan/
jeli	/dʒeli/
jeliduo	/dʒeliduɔ/
jiel	/dʒɪɛl/
Jiemz	/dʒɪɛmz/
Jien	/dʒɪɛn/
jinaral	/dʒinaɹal/
jinarasiti	/dʒinaɹasiti/
jinarieshan	/dʒinaɹɪɛʃan/
jinja	/dʒindʒa/
joj	/dʒodʒ/
jomp	/dʒomp/
jomp-up	/dʒompop/
jonjo	/dʒondʒo/
jork	/dʒoɹk/
jork chikin	/dʒoɹk tʃikin/
jork puok	/dʒoɹk puɔk/
jork siiznin	/dʒoɹk siːznin/
jork spais	/dʒoɹk spaɪs/
Jormani	/joɹmani/
jornal	/dʒoɹnal/
jostis	/dʒostis/
jraa	/dʒɹaː/
jraadong	/dʒɹaːdoŋ/
jraaf	/dʒɹaːf/
jraafut	/dʒɹaːfut/
jraaz	/dʒɹaːz/
jragan	/dʒɹagan/
jrai	/dʒɹaɪ/
jramatik	/dʒɹamatik/
jrap	/dʒɹap/
jred	/dʒɹed/
jres	/dʒɹes/
jresbak	/dʒɹesbak/
jresdong	/dʒɹesdoŋ/
jriepop	/dʒɹɪɛpop/
jringk	/dʒɹiŋk/
jrog	/dʒɹog/
jrom	/dʒɹom/
juk	/dʒuk/
juki-juki	/dʒukidʒuki/
Julai	/dʒulaɪ/
Jumieka	/dʒumɪɛka/
Jumieka Lieba Paati	/jumɪɛka lɪɛba paːti/
Jumieka Taak	/dʒumɪɛka taːk/
junjo	/dʒundʒo/
Juo	/dʒuɔ/
juok	/dʒuɔk/
juu tu	/dʒuːtu/
Juun	/dʒuːn/
juun plom	/dʒuːnplom/
juurin	/dʒuːɹin/
juus	/dʒuːs/
kaa	/kaː/
kaal	/kaːl/
kaan	/kaːn/
kaanful	/kaːnful/
Kaanwal Kounti	/kaːnwal kounti/
kaaz	/kaːz/
kaazn	/kaːzn̩/
kach banit pepa	/katʃ banit pepa/
kain	/kaɪn/
kait	/kaɪt/
kak	/kak/
kala	/kala/
kalalu	/kalalu/
kalani	/kalani/
kalanis	/kalanis/
kalek	/kalek/
kalekshan	/kalekʃan/
kalij	/kalɪdʒ/
kaman	/kaman/
kaman yuusij	/kaman juːsidʒ/
kamedi	/kamedi/
kanchosnis	/kantʃosnis/
kanchrak	/kantʃɹak/
kanchuol	/kantʃuɔl/
kanekshan	/kanekʃan/
kanschrokshan	/kanstʃɹokʃan/
kansda	/kansda/
kantent	/kantent/
kantinyu	/kantiɲu/
kanvasieshan	/kanvasɪɛʃan/
karambuola	/kaɹambuɔla/
kasaada	/kasaːda/
kasaava	/kasaːva/
Kasta Riika	/kastaɹiːka/
katn	/katn̩/
katn chrii	/katn̩ tʃɹiː/
kazmopalitan	/kazmopalitan/
kech	/ketʃ/
kech di riek	/ketʃ di ɹɪɛk/
kechop	/ketʃop/
kelyan	/keljan/
Kenet	/kenet/
Kianada	/kjanada/
Kiaribiyan	/kjaɹibijan/
kidni biin	/kidni biːn/
kiedens	/kɪɛdens/
kieful	/kɪɛful/
kiek	/kɪɛk/
kien	/kien/
kies	/kɪɛs/
Kiet	/kɪɛt/
kilomita	/kilomita/
kimischri	/kimistʃɹi/
kin	/kin/
kindom	/kindom/
Kinston	/kinston/
kisaada	/kisaːda/
klaat	/klaːt/
Klaax Tong	/klaːkstoŋ/
Klarindan	/klaɹindan/
klasikal	/klasikal/
klie	/klɪɛ/
klie pat	/klɪɛ pat/
kliem	/klɪɛm/
Klier	/klɪɛɹ/
Kliermont	/klɪɛɹmont/
Klifod	/klifod/
kliin	/kliːn/
kola	/kola/
kolcha	/koltʃa/
kom	/kom/
kom iin laka	/komiːn laka/
kom ya	/kom ja/
komiunikieshan	/komjunikɪɛʃan/
kompail	/kompaɪl/
kompyuuta	/kompjuːta/
kompyuuta manita	/kompjuːta manita/
konchri	/kontʃɹi/
kongk	/koŋk/
koni	/koni/
korant	/koɹant/
kori guot	/koɹi guɔt/
koril	/koɹil/
korl	/koɹl/
kos	/kos/
koskos	/koskos/
kostad apl	/kostad apl̩/
kot	/kot/
kot patwa	/kot patwa/
kot yai	/kot jaɪ/
kotlis	/kotlis/
kou	/kɔu/
kounti	/kɔunti/
kowich	/kowitʃ/
kozn	/koːzn̩/
kraani	/kɹaːni/
kraitiirya	/kɹaɪtiːɹja/
krap	/kɹap/
krichoul	/kɹitʃɔul/
kriebn	/kɹɪɛbn̩/
kriep	/kɹɪɛp/
kriet	/kɹiet/
krietiv	/kɹɪɛtiv/
krietiv raitn	/kɹɪɛtiv ɹaɪtn̩/
kriim	/kɹiːm/
krikit	/kɹikit/
kris	/kɹis/
kritikal akliem	/kɹitikal aklɪɛm/
ku	/ku/
kudn	/kudn̩/
kuk	/kuk/
kukumba	/kukumba/
kunu	/kunu/
kuoknat	/kuɔknat/
kuoknat chrii	/kuɔknat tʃɹiː/
kuoknat milk	/kuɔknat mɪlk/
kuoknat waata	/kuɔknat waːta/
kuoko	/kuɔko/
kuol	/kuɔl/
kuos	/kuɔs/
kuot	/kuɔt/
kuul	/kuːl/
kwaadinet	/kwaːdinet/
kwaat	/kwaːt/
kwait	/kwaɪt/
kwaiyat	/kwaɪjat/
kwestiyan	/kwestijan/
kwiin	/kwiːn/
kwik	/kwik/
kwik-taim	/kwiktaɪm/
kwint	/kwint/
kyaa	/kjaː/
kyaahn	/kjãː/
kyaar	/kjaːɹ/
kyaarat	/kjaːɹat/
kyabij	/kjabidʒ/
kyahn	/kjã/
Kyaklik	/kjaklik/
kyamil	/kjamil/
kyanal	/kjanal/
kyanggl	/kjaŋgl̩/
kyangkro	/kjaŋkɹo/
kyapasiti	/kjapasiti/
kyapcha	/kjaptʃa/
kyapital	/kjapital/
kyapitalis	/kjapitalis/
kyaptin	/kjaptin/
kyar	/kjaɹ/
kyarakta	/kjaɹakta/
Kyari	/kjaɹi/
kyash	/kjaʃ/
kyash krap	/kjaʃ kɹap/
kyashu	/kjaʃu/
kyata	/kjata/
kyatalis	/kjatalis/
kyatigari	/kjatigaɹi/
Kyuuba	/kjuːba/
laa	/laː/
laaf	/laːf/
laaj	/laːdʒ/
laan	/laːn/
labsta	/labsta/
lai	/laɪ/
laibri	/laɪbɹi/
laif	/laɪf/
laifstail	/laɪfstaɪl/
laik	/laɪk/
lait	/laɪt/
laitous	/laɪtɔus/
laiyad	/laɪjad/
laiyan	/laɪjan/
laka	/laka/
laka se	/lakase/
lam	/lam/
lan	/lan/
Landan	/landan/
lang	/laŋ/
langwij	/laŋwidʒ/
Larans	/laɹans/
layad	/lajad/
lebl	/lebl̩/
lebm	/lebm̩/
leda	/leda/
lef	/lef/
lego	/lego/
lego biis	/lego biːs/
lejislieta	/ledʒislɪɛta/
lent	/lent/
leta	/leta/
lib a farin	/libafaɹin/
libn	/libn̩/
libn langwij	/libn̩ laŋwidʒ/
lichicha	/litʃitʃa/
lieba	/lɪɛba/
liedi	/lɪɛdi/
liet	/lɪɛt/
lieta	/lɪɛta/
lieya	/lɪɛja/
lifop	/lifop/
liida	/liːda/
liig	/liːg/
liin	/liːn/
lik	/lik/
