aba	/aba/
adhési	/adhesi/
adhésif	/adhesif/
adib	/adib/
adibintang	/adibintaŋ/
adibusana	/adibusana/
adicita	/aditʃita/
adidaya	/adidaja/
adigang	/adigaŋ/
adiguna	/adiguna/
adigung	/adiguŋ/
adika	/adika/
adik	/adiʔ/
adikara	/adikara/
adikarya	/adikarja/
adikku	/adiʔku/
adikmu	/adiʔmu/
adiknya	/adiʔɲa/
adikodrati	/adikodrati/
adikong	/adikoŋ/
adiksi	/adiʔsi/
adiktif	/adiʔtif/
adikuasa	/adikuasa/
adil	/adil/
adilan	/adilan/
adiluhung	/adiluhuŋ/
adimarga	/adimarga/
adinda	/adinda/
ading	/adiŋ/
adipati	/adipati/
adipenghantar	/adipəŋhantar/
adipositas	/adipositas/
adipura	/adipura/
adiraja	/adiradʒa/
adiratna	/adiratna/
adisional	/adisional/
adisiswa	/adisiswa/
aditif	/aditif/
aditokoh	/aditokoh/
adiwangsa	/adiwaŋsa/
adiwarna	/adiwarna/
adiwidia	/adiwidia/
adjéktiva	/addʒeʔtiva/
administrasi	/administrasi/
administratif	/administratif/
administrator	/administrator/
admiral	/admiral/
admisi	/admisi/
adon	/adon/
adonan	/adonan/
adopsi	/adopsi/
adoptif	/adoptif/
adrénal	/adrenal/
adrénalin	/adrenalin/
adrés	/adres/
adsorbén	/adsorben/
adsorpsi	/adsorpsi/
a’du	/aʔdu/
adu	/adu/
aduan	/aduan/
aduh	/aduh/
aduhai	/aduhai/
aduk	/aduʔ/
adukan	/adukan/
adun	/adun/
adunan	/adunan/
advérbial	/adverbial/
adverténsi	/advərtensi/
advis	/advis/
advokasi	/advokasi/
advokat	/advokat/
aérasi	/aerasi/
aérob	/aerob/
aérobatik	/aerobatiʔ/
aérobik	/aerobiʔ/
aérodinamika	/aerodinamika/
aérogram	/aerogram/
aérologi	/aerologi/
aérométer	/aerometər/
aéromovél	/aeromovel/
aéronautika	/aeronautika/
aéronautik	/aeronautiʔ/
aéroskop	/aeroskop/
aérosol	/aerosol/
aérostatika	/aerostatika/
afal	/afal/
afdal	/afdal/
afdéling	/afdeliŋ/
afdruk	/afdruʔ/
afék	/afeʔ/
aféksi	/afeʔsi/
aféktif	/afeʔtif/
afiat	/afiat/
afiks	/afiʔs/
afiksasi	/afiʔsasi/
afiliasi	/afiliasi/
afinitas	/afinitas/
afirmasi	/afirmasi/
afirmatif	/afirmatif/
afrikat	/afrikat/
afrit	/afrit/
afrodisiak	/afrodisiaʔ/
afsun	/afsun/
afwah	/afwah/
aga	/aga/
agah	/agah/
agak	/agaʔ/
agaknya	/agaʔɲa/
agal	/agal/
agama	/agama/
agam	/agam/
agamaku	/agamaku/
agamanya	/agamaɲa/
agamawan	/agamawan/
agamawi	/agamawi/
agami	/agami/
agan	/agan/
agar	/agar/
agas	/agas/
agén	/agen/
agénda	/agenda/
agénsi	/agensi/
agih	/agih/
agihan	/agihan/
agio	/agio/
agitasi	/agitasi/
agitator	/agitator/
aglutinasi	/aglutinasi/
agnostik	/agnostiʔ/
agnostisisme	/agnostisismə/
a-go-go	/a-go-go/
ago-go	/ago-go/
agraria	/agraria/
agraris	/agraris/
agrégasi	/agregasi/
agrégat	/agregat/
agrési	/agresi/
agrésif	/agresif/
agrésivitas	/agresivitas/
agrésor	/agresor/
agroindustri	/agroindustri/
agronomi	/agronomi/
aguk	/aguʔ/
agul	/agul/
agun	/agun/
agunan	/agunan/
agung	/aguŋ/
agus	/agus/
agut	/agut/
a’had	/aʔhad/
ahad	/ahad/
ahadiat	/ahadiat/
ah	/ah/
ahimsa	/ahimsa/
ahkam	/ahkam/
ahli	/ahli/
ahlulbait	/ahlulbait/
ahlulkitab	/ahlulkitab/
ahlulkubur	/ahlulkubur/
ahmad	/ahmad/
ahmak	/ahmaʔ/
ahmar	/ahmar/
aho	/aho/
ahwal	/ahwal/
a.i.	/a.i./
ai	/ai/
aib	/aib/
aidilfitri	/aidilfitri/
ain	/ain/
ainulbanat	/ainulbanat/
air	/air/
airi	/airi/
airmata	/airmata/
airnya	/airɲa/
ais	/ais/
aja	/adʒa/
ajab	/adʒab/
ajaib	/adʒaib/
ajak	/adʒaʔ/
ajakan	/adʒakan/
ajal	/adʒal/
ajang	/adʒaŋ/
ajar	/adʒar/
ajaran	/adʒaran/
ajaranmu	/adʒaranmu/
ajari	/adʒari/
ajek	/adʒəʔ/
ajengan	/adʒəŋan/
aji	/adʒi/
ajir	/adʒir/
ajnabi	/adʒnabi/
ajnas	/adʒnas/
ajojing	/adʒodʒiŋ/
aju	/adʒu/
ajuan	/adʒuan/
ajudan	/adʒudan/
ajujah	/adʒudʒah/
ajuk	/adʒuʔ/
ajukan	/adʒukan/
ajun	/adʒun/
ajur	/adʒur/
akad	/akad/
akadémi	/akademi/
akadémik	/akademiʔ/
akadémikus	/akademikus/
akadémis	/akademis/
akadémisi	/akademisi/
akaid	/akaid/
ak-ak	/ak-aʔ/
akak	/akaʔ/
akal	/akal/
akalnya	/akalɲa/
akan	/akan/
akanan	/akanan/
akang	/akaŋ/
akar	/akar/
akas	/akas/
akasia	/akasia/
akaun	/akaun/
akbar	/aʔbar/
akhbar	/aʔhbar/
akhir	/aʔhir/
akhiran	/aʔhiran/
akhirat	/aʔhirat/
akhirnya	/aʔhirɲa/
akhirulkalam	/aʔhirulkalam/
akhlak	/aʔhlaʔ/
akhtaj	/aʔhtadʒ/
akhwat	/aʔhwat/
aki	/aki/
akibat	/akibat/
akibatnya	/akibatɲa/
akidah	/akidah/
akikah	/akikah/
akik	/akiʔ/
akil	/akil/
aklamasi	/aʔlamasi/
akliah	/aʔliah/
aklimatisasi	/aʔlimatisasi/
akmal	/aʔmal/
akomodasi	/akomodasi/
akomodatif	/akomodatif/
akor	/akor/
akordéon	/akordeon/
akrab	/aʔrab/
akrabnya	/aʔrabɲa/
akréditasi	/aʔreditasi/
akrilik	/aʔriliʔ/
akrobat	/aʔrobat/
akrobatik	/aʔrobatiʔ/
akronim	/aʔronim/
aksa	/aʔsa/
aksara	/aʔsara/
aksarawan	/aʔsarawan/
aksarawati	/aʔsarawati/
aksélerasi	/aʔselərasi/
aksélerator	/aʔselərator/
aksén	/aʔsen/
akséntuasi	/aʔsentuasi/
aksép	/aʔsep/
akséptabel	/aʔseptabəl/
akséptasi	/aʔseptasi/
akséptor	/aʔseptor/
aksés	/aʔses/
aksésibilitas	/aʔsesibilitas/
aksi	/aʔsi/
aksidéntal	/aʔsidental/
aksioma	/aʔsioma/
aksiomatis	/aʔsiomatis/
aksis	/aʔsis/
akson	/aʔson/
akta	/aʔta/
aktentas	/aʔtəntas/
aktif	/aʔtif/
aktiva	/aʔtiva/
aktivis	/aʔtivis/
aktivitas	/aʔtivitas/
aktor	/aʔtor/
aktris	/aʔtris/
aktual	/aʔtual/
aktualisasi	/aʔtualisasi/
aktuaria	/aʔtuaria/
aktuaris	/aʔtuaris/
akuadés	/akuades/
akuaduk	/akuaduʔ/
aku	/aku/
akuakultur	/akuakultur/
akuan	/akuan/
akuarél	/akuarel/
akuarium	/akuarium/
akui	/akui/
akuifér	/akuifer/
akuisisi	/akuisisi/
akuk	/akuʔ/
akulah	/akulah/
akulturasi	/akulturasi/
akumulasi	/akumulasi/
akumulatif	/akumulatif/
akumulator	/akumulator/
akun	/akun/
akuntan	/akuntan/
akuntansi	/akuntansi/
akupunktur	/akupunʔtur/
akupunkturis	/akupunʔturis/
akur	/akur/
akurasi	/akurasi/
akurat	/akurat/
akusatif	/akusatif/
akustika	/akustika/
akustik	/akustiʔ/
akut	/akut/
akwal	/aʔwal/
ala	/ala/
alabangka	/alabaŋka/
alabio	/alabio/
alaf	/alaf/
alah	/alah/
alahan	/alahan/
alai	/alai/
alaihi	/alaihi/
alaika	/alaika/
alaikum	/alaikum/
alak	/alaʔ/
al	/al/
alamak	/alamaʔ/
alam	/alam/
alamanda	/alamanda/
alamas	/alamas/
alamat	/alamat/
alamatulhayat	/alamatulhajat/
alamiah	/alamiah/
alami	/alami/
alamin	/alamin/
alamnya	/alamɲa/
alan	/alan/
alang	/alaŋ/
alangan	/alaŋan/
alangkah	/alaŋkah/
alap	/alap/
alarm	/alarm/
alas	/alas/
alasan	/alasan/
alat	/alat/
alau	/alau/
albas	/albas/
albino	/albino/
album	/album/
albumén	/albumen/
alégori	/alegori/
alégoris	/alegoris/
alem	/aləm/
aleman	/aləman/
alérgén	/alergen/
alérgi	/alergi/
alérgis	/alergis/
alfa	/alfa/
alfabét	/alfabet/
alfabétis	/alfabetis/
alf	/alf/
alfu	/alfu/
alga	/alga/
algojo	/algodʒo/
algoritma	/algoritma/
algoritme	/algoritmə/
alhamdulillah	/alhamdulillah/
alhasil	/alhasil/
aliah	/aliah/
ali	/ali/
aliansi	/aliansi/
alias	/alias/
alibi	/alibi/
aliénasi	/alienasi/
alif	/alif/
alif-ba-ta	/alif-ba-ta/
alifbata	/alifbata/
alih	/alih/
alihan	/alihan/
alik	/aliʔ/
alim	/alim/
alimbubu	/alimbubu/
aliméntasi	/alimentasi/
alimiah	/alimiah/
alimiat	/alimiat/
alin	/alin/
alinéa	/alinea/
aling	/aliŋ/
alingan	/aliŋan/
alip	/alip/
alir	/alir/
aliran	/aliran/
alis	/alis/
alit	/alit/
aliterasi	/alitərasi/
aljabar	/aldʒabar/
alkah	/alkah/
alkali	/alkali/
alkaloid	/alkaloid/
alkamar	/alkamar/
alkari	/alkari/
alkasyaf	/alkasjaf/
alkausar	/alkausar/
alkéna	/alkena/
alkisah	/alkisah/
alkohol	/alkohol/
alkoholisme	/alkoholismə/
alku	/alku/
allah	/allah/
almalun	/almalun/
almamatér	/almamater/
almanak	/almanaʔ/
almarhumah	/almarhumah/
almarhum	/almarhum/
almari	/almari/
almuazam	/almuazam/
almukhlis	/almuʔhlis/
alofon	/alofon/
alokasi	/alokasi/
alomorf	/alomorf/
alon	/alon/
alot	/alot/
alpa	/alpa/
alpaka	/alpaka/
alpérés	/alperes/
alpukah	/alpukah/
altar	/altar/
alternasi	/altərnasi/
altérnatif	/alternatif/
alternator	/altərnator/
altiméter	/altimetər/
alto	/alto/
altruis	/altruis/
altruisme	/altruismə/
altruistis	/altruistis/
alu	/alu/
aluan	/aluan/
alum	/alum/
aluminium	/aluminium/
alumni	/alumni/
alumnus	/alumnus/
alun	/alun/
alunan	/alunan/
alung	/aluŋ/
alup	/alup/
alur	/alur/
al-ur’an	/al-urʔan/
aluran	/aluran/
alurnya	/alurɲa/
aluvial	/aluvial/
aluvium	/aluvium/
alvéolus	/alveolus/
alveolus	/alvəolus/
alwah	/alwah/
alwasi	/alwasi/
ama	/ama/
amabakdu	/amabaʔdu/
amah	/amah/
amal	/amal/
amalan	/amalan/
amalannya	/amalanɲa/
amalgam	/amalgam/
amalgamasi	/amalgamasi/
amaliah	/amaliah/
amali	/amali/
am	/am/
amanah	/amanah/
aman	/aman/
amanat	/amanat/
amandel	/amandəl/
amang	/amaŋ/
amantu	/amantu/
amarah	/amarah/
amarahnya	/amarahɲa/
amar	/amar/
amaran	/amaran/
amat	/amat/
amatan	/amatan/
amatir	/amatir/
amatirisme	/amatirismə/
amatlah	/amatlah/
amatur	/amatur/
ambah	/ambah/
ambai	/ambai/
ambaian	/ambaian/
ambak	/ambaʔ/
ambal	/ambal/
ambalan	/ambalan/
ambang	/ambaŋ/
ambar	/ambar/
ambarau	/ambarau/
ambasade	/ambasadə/
ambasador	/ambasador/
ambau	/ambau/
ambéien	/ambeiən/
ambek	/ambəʔ/
ambekan	/ambəkan/
ambén	/amben/
amben	/ambən/
ambet	/ambət/
ambigu	/ambigu/
ambiguitas	/ambiguitas/
ambil	/ambil/
ambilan	/ambilan/
ambilkan	/ambilkan/
ambin	/ambin/
ambinan	/ambinan/
ambing	/ambiŋ/
ambingkan	/ambiŋkan/
ambisi	/ambisi/
ambisius	/ambisius/
ambivalén	/ambivalen/
ambivalénsi	/ambivalensi/
amblas	/amblas/
amblek	/ambləʔ/
ambles	/ambləs/
amboi	/amboi/
ambreng	/ambrəŋ/
ambrol	/ambrol/
ambruk	/ambruʔ/
ambu	/ambu/
ambuh	/ambuh/
ambul	/ambul/
ambulans	/ambulans/
ambung	/ambuŋ/
amburadul	/amburadul/
ambur	/ambur/
ambyar	/ambjar/
améba	/ameba/
amébiasis	/amebiasis/
améliorasi	/ameliorasi/
amén	/amen/
améndemén	/amendəmen/
amerta	/amərta/
ametis	/amətis/
amfétamin	/amfetamin/
amfibi	/amfibi/
amfitéater	/amfiteatər/
ami	/ami/
amikal	/amikal/
amil	/amil/
amilase	/amilasə/
amina	/amina/
amin	/amin/
amino	/amino/
amir	/amir/
amirulbahar	/amirulbahar/
amirulhaj	/amirulhadʒ/
amirulmukminin	/amirulmuʔminin/
amis	/amis/
amit	/amit/
amko	/amko/
amnésia	/amnesia/
amnésti	/amnesti/
amoi	/amoi/
amonia	/amonia/
amonium	/amonium/
amoral	/amoral/
amorf	/amorf/
amortisasi	/amortisasi/
ampai	/ampai/
ampaian	/ampaian/
ampang	/ampaŋ/
ampas	/ampas/
ampat	/ampat/
ampé	/ampe/
ampéan	/ampean/
ampek	/ampəʔ/
ampela	/ampəla/
ampél	/ampel/
ampel	/ampəl/
ampelas	/ampəlas/
ampére	/amperə/
amplifikasi	/amplifikasi/
amplitudo	/amplitudo/
amplop	/amplop/
ampo	/ampo/
amprok	/amproʔ/
ampu	/ampu/
ampuh	/ampuh/
ampuk	/ampuʔ/
ampul	/ampul/
ampun	/ampun/
ampunan	/ampunan/
amput	/amput/
amputan	/amputan/
amputasi	/amputasi/
amra	/amra/
amri	/amri/
amril	/amril/
amsal	/amsal/
amtenar	/amtənar/
amuh	/amuh/
amuk	/amuʔ/
amukan	/amukan/
amulét	/amulet/
amung	/amuŋ/
amunisi	/amunisi/
ana	/ana/
anabolisme	/anabolismə/
anaérob	/anaerob/
anaérobik	/anaerobiʔ/
anafilaksis	/anafilaʔsis/
anafora	/anafora/
anafrodisiak	/anafrodisiaʔ/
anai	/anai/
anak	/anaʔ/
anakan	/anakan/
anakku	/anaʔku/
anakmu	/anaʔmu/
anaknya	/anaʔɲa/
anakronisme	/anaʔronismə/
anakronistis	/anaʔronistis/
anal	/anal/
analékta	/analeʔta/
analgésik	/analgesiʔ/
analis	/analis/
analisis	/analisis/
analitis	/analitis/
analog	/analog/
analogi	/analogi/
ananda	/ananda/
anang	/anaŋ/
anani	/anani/
anarki	/anarki/
anarkis	/anarkis/
anarkisme	/anarkismə/
anarkistis	/anarkistis/
anas	/anas/
anasional	/anasional/
anasir	/anasir/
anatomi	/anatomi/
anatomis	/anatomis/
anbia	/anbia/
anca	/antʃa/
ancai	/antʃai/
ancak	/antʃaʔ/
ancala	/antʃala/
ancaman	/antʃaman/
ancam	/antʃam/
ancangan	/antʃaŋan/
ancang	/antʃaŋ/
ancar	/antʃar/
ancoa	/antʃoa/
ancol	/antʃol/
ancuk	/antʃuʔ/
-anda	/-anda/
anda	/anda/
andaian	/andaian/
andai	/andai/
andainya	/andaiɲa/
andaka	/andaka/
andak	/andaʔ/
andalan	/andalan/
andal	/andal/
andalas	/andalas/
andalkan	/andalkan/
andaman	/andaman/
andam	/andam/
andan	/andan/
andang	/andaŋ/
andapita	/andapita/
andar	/andar/
andeng	/andəŋ/
anderak	/andəraʔ/
andésit	/andesit/
andéwi	/andewi/
andika	/andika/
andiko	/andiko/
andil	/andil/
andilau	/andilau/
andok	/andoʔ/
andong	/andoŋ/
andrawina	/andrawina/
androgén	/androgen/
andrologi	/andrologi/
anduhan	/anduhan/
anduh	/anduh/
andun	/andun/
andung	/anduŋ/
andur	/andur/
anéh	/aneh/
anéhnya	/anehɲa/
anéka	/aneka/
anéksasi	/aneʔsasi/
anémer	/anemər/
anéstési	/anestesi/
anéstésiolog	/anestesiolog/
anfas	/anfas/
angah	/aŋah/
angan	/aŋan/
angankan	/aŋankan/
angannya	/aŋanɲa/
angél	/aŋel/
angel	/aŋəl/
angga	/aŋga/
anggai	/aŋgai/
anggak	/aŋgaʔ/
anggal	/aŋgal/
anggan	/aŋgan/
anggapan	/aŋgapan/
anggap	/aŋgap/
anggara	/aŋgara/
anggaran	/aŋgaran/
anggar	/aŋgar/
anggarannya	/aŋgaranɲa/
anggerka	/aŋgərka/
anggitan	/aŋgitan/
anggit	/aŋgit/
angglap	/aŋglap/
anggota	/aŋgota/
anggrék	/aŋgreʔ/
anggrékwan	/aŋgreʔwan/
angguh	/aŋguh/
anggukan	/aŋgukan/
angguk	/aŋguʔ/
anggul	/aŋgul/
anggun	/aŋgun/
anggung	/aŋguŋ/
angguran	/aŋguran/
anggur	/aŋgur/
anggut	/aŋgut/
anghun	/aŋhun/
angina	/aŋina/
angin	/aŋin/
angit	/aŋit/
angka	/aŋka/
angkak	/aŋkaʔ/
angkal	/aŋkal/
angkanya	/aŋkaɲa/
angkara	/aŋkara/
angkasa	/aŋkasa/
angkasawan	/aŋkasawan/
angkasawati	/aŋkasawati/
angkatan	/aŋkatan/
angkat	/aŋkat/
angkatnya	/aŋkatɲa/
angkél	/aŋkel/
angker	/aŋkər/
angkét	/aŋket/
angkin	/aŋkin/
angkit	/aŋkit/
angklung	/aŋʔluŋ/
angkong	/aŋkoŋ/
angkringan	/aŋʔriŋan/
angkring	/aŋʔriŋ/
angku	/aŋku/
angkuh	/aŋkuh/
angkuk	/aŋkuʔ/
angkup	/aŋkup/
angkur	/aŋkur/
angkutan	/aŋkutan/
angkut	/aŋkut/
anglap	/aŋlap/
angler	/aŋlər/
anglo	/aŋlo/
anglong	/aŋloŋ/
anglung	/aŋluŋ/
angonan	/aŋonan/
angon	/aŋon/
angop	/aŋop/
angot	/aŋot/
angpau	/aŋpau/
angsa	/aŋsa/
angsana	/aŋsana/
angsoka	/aŋsoka/
angsu	/aŋsu/
angsuran	/aŋsuran/
angsur	/aŋsur/
angur	/aŋur/
angut	/aŋut/
ani	/ani/
aniaya	/aniaja/
anih	/anih/
animasi	/animasi/
animis	/animis/
animisme	/animismə/
animo	/animo/
anion	/anion/
anis	/anis/
anita	/anita/
anja	/andʒa/
anjakan	/andʒakan/
anjak	/andʒaʔ/
anjal	/andʒal/
anjang	/andʒaŋ/
anjangkarya	/andʒaŋkarja/
anjangsana	/andʒaŋsana/
anjar	/andʒar/
anjiman	/andʒiman/
anjing	/andʒiŋ/
anjir	/andʒir/
anjlok	/andʒloʔ/
anju	/andʒu/
anjung	/andʒuŋ/
anjuran	/andʒuran/
anjur	/andʒur/
anoa	/anoa/
anomali	/anomali/
anom	/anom/
anomi	/anomi/
anonim	/anonim/
anonimitas	/anonimitas/
anoréksia	/anoreʔsia/
anorganik	/anorganiʔ/
anotasi	/anotasi/
ansa	/ansa/
ansambel	/ansambəl/
ansar	/ansar/
ansari	/ansari/
ansur	/ansur/
anta	/anta/
antagonis	/antagonis/
antagonisme	/antagonismə/
antagonistis	/antagonistis/
antah	/antah/
antakesuma	/antakəsuma/
antalas	/antalas/
antamir	/antamir/
antan	/antan/
antap	/antap/
antara	/antara/
antarabangsa	/antarabaŋsa/
antaran	/antaran/
antar	/antar/
antaranya	/antaraɲa/
antarbangsa	/antarbaŋsa/
antarbenua	/antarbənua/
antardaérah	/antardaerah/
antari	/antari/
antariksa	/antariʔsa/
antariksawan	/antariʔsawan/
antariksawati	/antariʔsawati/
antarkelompok	/antarkəlompoʔ/
antarmaster	/antarmastər/
antarmolekul	/antarmoləkul/
antarmuka	/antarmuka/
antarnegara	/antarnəgara/
antarpribadi	/antarpribadi/
antarpulau	/antarpulau/
antarras	/antarras/
antarruang	/antarruaŋ/
antarsél	/antarsel/
antarsuku	/antarsuku/
antartika	/antartika/
antarwilayah	/antarwilajah/
antasid	/antasid/
antawacana	/antawatʃana/
anték	/anteʔ/
antéken	/antekən/
antelas	/antəlas/
antelop	/antəlop/
antem	/antəm/
anténa	/antena/
anténg	/anteŋ/
anteng	/antəŋ/
antep	/antəp/
antér	/anter/
anter	/antər/
antéro	/antero/
antéséden	/antesedən/
anti	/anti/
anti-beku	/anti-bəku/
antibeku	/antibəku/
antibiosis	/antibiosis/
antibiotik	/antibiotiʔ/
antibodi	/antibodi/
antidéprésan	/antidepresan/
antidioksida	/antidioʔsida/
antiénzim	/antienzim/
antigén	/antigen/
antih	/antih/
antihistamin	/antihistamin/
antijasad	/antidʒasad/
antik	/antiʔ/
anti-karat	/anti-karat/
antikarat	/antikarat/
antiklimaks	/antiʔlimaʔs/
antiklin	/antiʔlin/
antikristus	/antiʔristus/
antimuntah	/antimuntah/
anting	/antiŋ/
antipati	/antipati/
antipenawar	/antipənawar/
antipirétik	/antipiretiʔ/
antipode	/antipodə/
antisépsis	/antisepsis/
antiséptik	/antiseptiʔ/
antisipasi	/antisipasi/
antisipatif	/antisipatif/
antisosial	/antisosial/
antitank	/antitanʔ/
antitésis	/antitesis/
antitoksin	/antitoʔsin/
antivirus	/antivirus/
antiwirawan	/antiwirawan/
antoi	/antoi/
antologi	/antologi/
antonim	/antonim/
antonimi	/antonimi/
antop	/antop/
antrasit	/antrasit/
antréan	/antrean/
antré	/antre/
antropolog	/antropolog/
antropologi	/antropologi/
antropomorfisme	/antropomorfismə/
antroposéntris	/antroposentris/
antuk	/antuʔ/
antul	/antul/
antun	/antun/
antung	/antuŋ/
antusias	/antusias/
antusiasme	/antusiasmə/
anu	/anu/
anugerah	/anugərah/
anuitas	/anuitas/
anulir	/anulir/
anumerta	/anumərta/
anunasika	/anunasika/
anus	/anus/
anuswara	/anuswara/
anutan	/anutan/
anut	/anut/
anyam	/aɲam/
anyaman	/aɲaman/
anyang	/aɲaŋ/
anyar	/aɲar/
anyelir	/aɲəlir/
anyir	/aɲir/
aorta	/aorta/
apaan	/apaʔan/
apa	/apa/
apabila	/apabila/
apakah	/apakah/
apakala	/apakala/
apak	/apaʔ/
apalagi	/apalagi/
apalah	/apalah/
apam	/apam/
apanya	/apaɲa/
apapun	/apapun/
apar	/apar/
aparat	/aparat/
aparatur	/aparatur/
aparatus	/aparatus/
apartemén	/apartəmen/
aparthéid	/apartheid/
apas	/apas/
apatah	/apatah/
apati	/apati/
apatis	/apatis/
apé	/ape/
apek	/apəʔ/
apél	/apel/
apel	/apəl/
apéndiks	/apendiʔs/
apéndisitis	/apendisitis/
apérsépsi	/apersepsi/
apes	/apəs/
apian	/apian/
api	/api/
apikal	/apikal/
apik	/apiʔ/
apikultur	/apikultur/
apilan	/apilan/
apion	/apion/
apitan	/apitan/
apit	/apit/
apkiran	/apkiran/
apkir	/apkir/
aplaus	/aplaus/
aplikasi	/aplikasi/
aplikatif	/aplikatif/
aplusan	/aplusan/
aplus	/aplus/
apologétis	/apologetis/
apologia	/apologia/
apologi	/apologi/
apopléksi	/apopleʔsi/
aposisi	/aposisi/
apositif	/apositif/
aposteriori	/apostəriori/
apostolik	/apostoliʔ/
apostrof	/apostrof/
apoték	/apoteʔ/
apotéker	/apotekər/
aprésiasi	/apresiasi/
aprésiatif	/apresiatif/
apriori	/apriori/
aprit	/aprit/
apron	/apron/
apuh	/apuh/
apungan	/apuŋan/
apung	/apuŋ/
apuran	/apuran/
aqil	/akil/
ara	/ara/
arab	/arab/
arabika	/arabika/
arahan	/arahan/
arah	/arah/
arahnya	/arahɲa/
arai	/arai/
arakan	/arakan/
arak	/araʔ/
arakian	/arakian/
aral	/aral/
aram	/aram/
arang	/araŋ/
aransemén	/aransəmen/
ararut	/ararut/
aras	/aras/
arasy	/arasj/
arau	/arau/
arbab	/arbab/
arbéi	/arbei/
arbiter	/arbitər/
arbitrase	/arbitrasə/
arbitrér	/arbitrer/
arca	/artʃa/
ardi	/ardi/
aréa	/area/
aréal	/areal/
arék	/areʔ/
arem	/arəm/
aréna	/arena/
arena	/arəna/
arén	/aren/
arés	/ares/
ares	/arəs/
aréstasi	/arestasi/
argari	/argari/
argométer	/argometər/
argon	/argon/
argumén	/argumen/
arguméntasi	/argumentasi/
arguméntatif	/argumentatif/
aria	/aria/
arian	/arian/
ari	/ari/
arif	/arif/
arifin	/arifin/
arih	/arih/
arik	/ariʔ/
aring	/ariŋ/
arip	/arip/
arisan	/arisan/
aris	/aris/
aristokrasi	/aristoʔrasi/
aristokrat	/aristoʔrat/
aristokratis	/aristoʔratis/
arit	/arit/
aritmétika	/aritmetika/
arja	/ardʒa/
arkais	/arkais/
arkaisme	/arkaismə/
arkati	/arkati/
arkéolog	/arkeolog/
arkéologi	/arkeologi/
arkéologis	/arkeologis/
arkian	/arkian/
arku	/arku/
arloji	/arlodʒi/
armada	/armada/
arnab	/arnab/
arnal	/arnal/
arogan	/arogan/
arogansi	/arogansi/
aroma	/aroma/
aromatik	/aromatiʔ/
arombai	/arombai/
