a	/aː/
aðgangsbox	/aðkauŋspɔks/
aðgangseyri	/aðkauŋkseiːrɪ/
aðgangseyrir	/aðkauŋkseiːrɪr/
aðgangsharðir	/aðkauŋsharðɪr/
aðgangsorð	/aðkauŋsɔrð/
aðgangstölur	/aðkauŋkstœːlʏr/
aðgangstölurnar	/aðkauŋkstœːlʏtnar/
aðgangur	/aðkauŋkʏr/
aðgát	/aðkaut/
aðgengi	/aðceiɲcɪ/
aðgengileg	/aðceiɲcɪlɛɣ/
aðgengilega	/aðceiɲcɪlɛɣa/
aðgengilegan	/aðceiɲcɪlɛɣan/
aðgengilegar	/aðceiɲcɪlɛɣar/
aðgengilegasta	/aðcɛjɲcɪlɛɣasta/
aðgengilegir	/aðcɛjɲcɪlɛjɪr/
aðgengilegri	/aðceiɲcɪlɛɣrɪ/
aðgengilegt	/aðceiɲcɪlɛxt/
aðgengilegum	/aðcɛjɲcɪlɛɣʏm/
aðgengilegur	/aðceiɲcɪlɛɣʏr/
aðgerð	/aðcɛrð/
aðgerða	/aðcɛrða/
aðgerðalaus	/aðcɛrðalœiːs/
aðgerðaleysi	/aðcɛrðaleiːsɪ/
aðgerðanna	/aðcɛrðana/
aðgerðarleysi	/aðcɛrðaleiːsɪ/
aðgerðin	/aðcɛrðɪn/
aðgerðina	/aðcɛrðɪna/
aðgerðinni	/aðcɛrðɪnɪ/
aðgerðir	/aðcɛrðɪr/
aðgerðirnar	/aðcɛrðɪtnar/
aðgerðum	/aðcɛrðʏm/
aðgerðunum	/aðcɛrðɔnʏm/
aðgreina	/aðkreina/
aðgreiningar	/aðkreiniŋkar/
aðgæslu	/aðcaistlʏ/
aðgæta	/aðcaita/
aðgöngumiða	/aðkœiŋkʏmɪːða/
aðhafast	/aːðhavast/
aðhafst	/aːðhafst/
aðhald	/aːðhalt/
aðhaldi	/aːðhaltɪ/
aðhalds	/aːðhalts/
aðhaldssamur	/aːðhaltsaːmʏr/
aðhlynningar	/aːðl̥ɪniŋkar/
aðhlynningu	/aːðl̥ɪniŋkʏ/
aðhyllast	/aːðhɪtlast/
aðhyllist	/aːðhɪtlɪst/
aðhylltist	/aːðhɪl̥tɪst/
aðila	/aːðɪla/
aðilann	/aːðɪlan/
aðilar	/aːðɪlar/
aðilarnir	/aːðɪlatnɪr/
aðild	/aːðɪlt/
aðildar	/aːðɪltar/
aðildarfélaga	/aːðɪltarfjɛːlaɣa/
aðildarfélög	/aːðɪltarfjɛːlœɣ/
aðildarfyrirtækja	/aːðɪltarfɪrɪrtʰaːjca/
aðildarlanda	/aːðɪltarlanta/
aðildarlöndum	/aːðɪltarlœntʏm/
aðildarríki	/aːðɪltaricɪ/
aðildarríkin	/aːðɪltaricɪn/
aðildarríkja	/aːðɪltarica/
aðildarríkjanna	/aːðɪltaricana/
aðildarríkjum	/aːðɪltaricʏm/
aðildarríkjunum	/aːðɪltaricɔnʏm/
aðildarumsókn	/aːðɪltarʏmsouhkn̥/
aðildarviðræðum	/aːðɪltarvɪðraiðʏm/
aðildarviðræður	/aːðɪltarvɪðraiðʏr/
aðili	/aːðɪlɪ/
aðilinn	/aːðɪlɪn/
aðilum	/aːðɪlʏm/
aðkallandi	/aðkʰatlantɪ/
aðkasti	/aðkʰastɪ/
aðkoma	/aðkʰɔma/
aðkoman	/aðkʰɔman/
aðkomu	/aðkʰɔmʏ/
aðkomufólk	/aðkʰɔmʏfoul̥k/
aðkomumaður	/aðkʰɔmʏmaːðʏr/
aðkomumanna	/aðkʰɔmʏmana/
aðkomumenn	/aðkʰɔmʏmɛn/
aðkomumönnum	/aðkʰɔmʏmœnʏm/
aðkomunni	/aðkʰɔmʏnɪ/
aðlaðandi	/aðlaðantɪ/
aðlaga	/aðlaɣa/
aðlagað	/aðlaɣað/
aðlagast	/aðlaɣast/
aðliggjandi	/aðlɪcantɪ/
aðlögun	/aðlœɣʏn/
aðlögunartíma	/aðlœɣʏnartʰiːma/
aðnjótandi	/aðnjoutantɪ/
aðra	/aðra/
aðrar	/aðrar/
aðrennslisgöng	/aðrɛnstlɪskœjŋk/
aðrir	/aðrɪr/
aðsetur	/aðsɛtʏr/
aðsigi	/aðsijɪ/
aðskildi	/aðscɪltɪ/
aðskildir	/aðscɪltɪr/
aðskildu	/aðscɪltʏ/
aðskildum	/aðscɪltʏm/
aðskilið	/aðscɪlɪð/
aðskilin	/aðscɪlɪn/
aðskilja	/aðscɪlja/
aðskilnað	/aðscɪlnað/
aðskilnaðarsinna	/aðscɪlnaðarsɪna/
aðskilnaði	/aðscɪlnaðɪ/
aðskilnaður	/aðscɪlnaðʏr/
aðskotadýr	/aðskɔtatiːr/
aðskotahlut	/aðskɔtal̥ʏt/
aðskotahlutur	/aðskɔtal̥ʏːtʏr/
aðsókn	/aðsouhkn̥/
aðsóknar	/aðsouhknar/
aðsóknin	/aðsouhknɪn/
aðspurð	/aðspʏrð/
aðspurðra	/aðspʏrðra/
aðspurður	/aðspʏrðʏr/
aðstaða	/aðstaða/
aðstaðan	/aðstaðan/
aðstandenda	/aðstantɛnta/
aðstandendum	/aðstantɛntʏm/
aðstandendur	/aðstantɛntʏr/
aðsteðjandi	/aðstɛðjantɪ/
aðstoð	/aðstɔð/
aðstoða	/aðstɔða/
aðstoðað	/aðstɔðað/
aðstoðaði	/aðstɔðaðɪ/
aðstoðar	/aðstɔðar/
aðstoðardeildarstjóri	/aðstɔðarteiltarstjouːrɪ/
aðstoðarforingja	/aðstɔðarfɔːriɲca/
aðstoðarforstjóri	/aðstɔðarfɔr̥stjourɪ/
aðstoðarforsætisráðherra	/aðstɔðarfɔr̥saitɪsrauːðhɛra/
aðstoðarframkvæmdastjóri	/aðstɔðarframkvaimtastjouːrɪ/
aðstoðarmaður	/aðstɔðarmaːðʏr/
aðstoðarmaðurinn	/aðstɔðarmaːðʏrɪn/
aðstoðarmann	/aðstɔðarman/
aðstoðarmanna	/aðstɔðarmana/
aðstoðarmanni	/aðstɔðarmanɪ/
aðstoðarmanns	/aðstɔðarmans/
aðstoðarmenn	/aðstɔðarmɛn/
aðstoðarmönnum	/aðstɔðarmœnʏm/
aðstoðarráðherrann	/aðstɔðarauːðhɛran/
aðstoðarskólameistara	/aðstɔðarskouːlamɛjstara/
aðstoðarskólastjóra	/aðstɔðarskouːlastjouːra/
aðstoðarskólastjóri	/aðstɔðarskouːlastjouːrɪ/
aðstoðaryfirlögregluþjónn	/aðstɔðarɪːvɪrlœɣrɛklʏθjoutn̥/
aðstoðarþjálfari	/aðstɔðarθjaulvarɪ/
aðstoði	/aðstɔðɪ/
aðstoðina	/aðstɔðɪna/
aðstoðuðu	/aðstɔðʏðʏ/
aðstæðna	/aðstaiðna/
aðstæðum	/aðstaiðʏm/
aðstæðunum	/aðstaiðɔnʏm/
aðstæður	/aðstaiðʏr/
aðstæðurnar	/aðstaiðʏtnar/
aðstöðu	/aðstœðʏ/
aðstöðuna	/aðstœðʏna/
aðstöðunni	/aðstœðʏnɪ/
aðvaraði	/aðvaraðɪ/
aðvart	/aðvar̥t/
aðventista	/aðvɛn̥tɪsta/
aðventistar	/aðvɛn̥tɪstar/
aðventkirkjan	/aðvɛn̥tcɪr̥can/
aðventu	/aðvɛn̥tʏ/
aðventukvöld	/aðvɛn̥tʏkʰvœlt/
aðventulag	/aðvɛn̥tʏlaːɣ/
aðventunni	/aðvɛn̥tʏnɪ/
aðvífandi	/aðvivantɪ/
aðvörun	/aðvœrʏn/
af	/aːv/
afa	/aːva/
afar	/aːvar/
afarkosti	/aːvarkʰɔstɪ/
afarnir	/aːvatnɪr/
afbakar	/avpakar/
afber	/avpɛr/
afbera	/avpɛra/
afborgana	/avpɔrkana/
afborganir	/avpɔrkanɪr/
afborgun	/avpɔrkʏn/
afborgunum	/avpɔrkʏnʏm/
afborið	/avpɔrɪð/
afbragð	/avpraɣð/
afbragðs	/avpraɣðs/
afbragðsfólk	/avpraɣsfoul̥k/
afbrigði	/avprɪɣðɪ/
afbrigðilegrar	/avprɪɣðɪlɛɣrar/
afbrigðilegt	/avprɪɣðɪlɛxt/
afbrigðum	/avprɪɣðʏm/
afbrot	/avprɔt/
afbrota	/avprɔta/
afbrotamenn	/avprɔtamɛn/
afbrotum	/avprɔtʏm/
afbrýði	/avpriðɪ/
afbrýðin	/avpriðɪn/
afbrýðisemi	/avpriðɪsɛːmɪ/
afbrýðisemin	/avpriðɪsɛːmɪn/
afbrýðisöm	/avpriðɪsœːm/
afburða	/avpʏrða/
afburðahestur	/avpʏrðahɛstʏr/
afdráttarlaus	/avtrauhtarlœiːs/
afdráttarlaust	/avtrauhtarlœist/
afdrep	/avtrɛp/
afdrepið	/avtrɛpɪð/
afdrepinu	/avtrɛpɪnʏ/
afdrif	/avtrɪv/
afdrifarík	/avtrɪvariːk/
afdrifaríkar	/avtrɪvariːkar/
afdrifum	/avtrɪvʏm/
affalla	/afatla/
affalls	/afals/
afferma	/afɛrma/
affermingu	/afɛrmiŋkʏ/
afföll	/afœtl̥/
afföllin	/afœtlɪn/
afgamalli	/avkamatlɪ/
Afgana	/avkana/
Afganar	/avkanar/
afgang	/avkauŋk/
afgangateppi	/avkauŋkatʰɛhpɪ/
afgangi	/avkauɲcɪ/
afganginn	/avkauɲcɪn/
afganginum	/avkauɲcɪnʏm/
afgangur	/avkauŋkʏr/
afgangurinn	/avkauŋkʏrɪn/
Afganistan	/avkanɪstan/
Afganistans	/avkanɪstans/
afganska	/avkanska/
afganskra	/avkanskra/
afgerandi	/avcɛrantɪ/
afgirt	/avcɪr̥t/
afglöp	/avklœp/
afgreidd	/avkreit/
afgreiddar	/avkreitar/
afgreiddi	/avkreitɪ/
afgreiða	/avkreiða/
afgreiði	/avkreiðɪ/
afgreiðsla	/avkreiðstla/
afgreiðslu	/avkreiðstlʏ/
afgreiðsluborð	/avkreiðstlʏpɔrð/
afgreiðslugjöld	/avkreiðstlʏcœlt/
afgreiðslukerfi	/avkrɛjðstlʏcʰɛrvɪ/
afgreiðslukonan	/avkreiðstlʏkʰɔːnan/
afgreiðsluna	/avkreiðstlʏna/
afgreiðslunefnd	/avkrɛjðstlʏnɛmt/
afgreiðslunni	/avkreiðstlʏnɪ/
afgreiðslustelpan	/avkreiðstlʏstɛl̥pan/
afgreiðslustúlka	/avkreiðstlʏstulkan/
afgreiðslustúlkan	/avkreiðstlʏstul̥kan/
afgreiðslutíma	/avkreiðstlʏtʰiːma/
afgreiðslutími	/avkreiðstlʏtʰiːmɪ/
afgreitt	/avkreiht/
afgönsku	/avkœnskʏ/
afhenda	/aːvhɛnta/
afhending	/aːvhɛntiŋk/
afhendingar	/aːvhɛntiŋkar/
afhendingartími	/aːvhɛntiŋkartʰiːmɪ/
afhendingu	/aːvhɛntiŋkʏ/
afhendir	/aːvhɛntɪr/
afhent	/aːvhɛn̥t/
afhenta	/aːvhɛn̥ta/
afhentan	/aːvhɛn̥tan/
afhentar	/aːvhɛn̥tar/
afhenti	/aːvhɛn̥tɪ/
afhentir	/aːvhɛn̥tɪr/
afhentu	/aːvhɛn̥tʏ/
afhentum	/aːvhɛn̥tʏm/
afhentur	/aːvhɛn̥tʏr/
afhjúpa	/afçupa/
afhjúpað	/afçupað/
afhjúpaði	/afçupaðɪ/
afhjúpaður	/afçupaðʏr/
afhjúpar	/afçupar/
afhjúpuð	/afçupʏð/
afhjúpun	/afçupʏn/
afhomma	/aːfhɔma/
afhroð	/afr̥ɔð/
afhuga	/aːfhʏɣa/
afhöggvinn	/aːfhœkvɪn/
afi	/aːvɪ/
afkastagetu	/avkʰastacɛːtʏ/
afkastamesta	/avkʰastamɛsta/
afkastamikill	/avkʰastamɪcɪtl̥/
afkastar	/avkʰastar/
afkáralega	/avkʰauralɛɣa/
afkáralegum	/avkʰauralɛɣʏm/
afkima	/avcʰɪma/
afklæddi	/avkʰlaitɪ/
afklæddist	/avkʰlaitɪst/
afklæðast	/avkʰlaiðast/
afkoma	/avkʰɔma/
afkoman	/avkʰɔman/
afkomandi	/avkʰɔmantɪ/
afkomenda	/avkʰɔmɛnta/
afkomendum	/avkʰɔmɛntʏm/
afkomendur	/avkʰɔmɛntʏr/
afkomu	/avkʰɔmʏ/
afkomukreppu	/avkʰɔmʏkrɛhpʏ/
afkomuna	/avkʰɔmʏna/
afkomutölur	/avkʰɔmʏtʰœːlʏr/
afkomuviðvörun	/avkʰɔmʏvɪðvœrʏn/
afkróuð	/avkrouʏð/
afkvæmarannsókn	/avkʰvajmaransouhkn̥/
afkvæmi	/avkʰvaimɪ/
afkvæmin	/avkʰvajmɪn/
afkvæminu	/avkʰvajmɪnʏ/
afkvæmum	/avkʰvaimʏm/
afköst	/avkʰœst/
afköstin	/avkʰœstɪn/
afköstum	/avkʰœstʏm/
afl	/apl̥/
afla	/apla/
aflabrögð	/aplaprœɣð/
aflað	/aplað/
aflaði	/aplaðɪ/
aflaga	/avlaɣa/
Aflagranda	/aplakranta/
Aflagrandi	/aplakrantɪ/
aflaheimilda	/aplaheimɪlta/
aflaheimildir	/aplaheimɪltɪr/
aflaheimildum	/aplaheimɪltʏm/
aflahlutdeild	/aplal̥ʏːteilt/
aflahlutdeilda	/aplal̥ʏːteilta/
aflahlutdeildar	/aplal̥ʏːteiltar/
aflahlutdeildir	/aplal̥ʏːteiltɪr/
aflahlutdeildum	/aplal̥ʏːteiltʏm/
aflamark	/aplamar̥k/
aflamarki	/aplamar̥cɪ/
aflamarks	/aplamar̥ks/
aflamarksbátum	/aplamar̥kspaːutʏm/
aflamarkskerfi	/aplamar̥kscɛrvɪ/
aflamarkskerfið	/aplamar̥kscɛrvɪð/
aflann	/aplan/
aflans	/aplans/
aflanum	/aplanʏm/
aflar	/aplar/
aflaskipinu	/aplascɪːpɪnʏ/
aflaskýrslu	/aplascistlʏ/
aflausn	/avlœistn̥/
aflaverðmæti	/aplavɛrðmaitɪ/
afláts	/avlauts/
afleggjara	/avlɛcara/
afleggjaranum	/avlɛcaranʏm/
afleidd	/avlɛjt/
afleiða	/avlɛjða/
afleiðing	/avleiðiŋk/
afleiðinga	/avleiðiŋka/
afleiðingar	/avleiðiŋkar/
afleiðingarnar	/avleiðiŋkatnar/
afleiðingin	/avleiðiɲcɪn/
afleiðingum	/avleiðiŋkʏm/
afleiðingunum	/avleiðiŋkɔnʏm/
afleit	/avleit/
afleitar	/avlɛjtar/
afleitt	/avleiht/
aflestrar	/avlɛstrar/
aflétt	/avljɛht/
aflétta	/avljɛhta/
aflhnefa	/apln̥ɛva/
aflhnefi	/apln̥ɛvɪ/
afli	/aplɪ/
aflið	/aplɪð/
aflinn	/aplɪn/
aflíðandi	/avliðantɪ/
aflmeiri	/aplmeirɪ/
aflmiklar	/aplmɪhklar/
afloknu	/avlɔhknʏ/
afloknum	/avlɔhknʏm/
aflóga	/avloua/
afls	/apl̥s/
aflspennar	/apl̥spɛnar/
aflstýri	/abl̥stirɪ/
aflýsa	/avlisa/
aflýst	/avlist/
aflögð	/avlœɣð/
aflögu	/avlœɣðʏ/
afmarka	/avmar̥ka/
afmarkað	/avmar̥kað/
afmarkaða	/avmar̥kaða/
afmarkast	/avmar̥kast/
afmá	/avmau/
afmáir	/avmauɪr/
afmyndað	/avmɪntað/
afmyndaðist	/avmɪntaðɪst/
afmæli	/amailɪ/
afmælið	/amailɪð/
afmælinu	/amailɪnʏ/
afmælis	/amailɪs/
afmælisbarnið	/amajlɪspartnɪð/
afmælisbarninu	/amajlɪspartnɪnʏ/
afmælisbarns	/amailɪspar̥s/
afmælisdag	/amailɪstaːɣ/
afmælisdaginn	/amailɪstaːjɪn/
afmælisdagurinn	/amailɪstaːɣʏrɪn/
afmælisdegi	/amailɪsteiːjɪ/
afmælisfréttir	/amailɪsfrjɛhtɪr/
afmælisgesta	/amajlɪsɛsta/
afmælisgjöf	/amailɪscœːv/
afmælisgreina	/amailɪskreiːna/
afmælishátíð	/amailɪshauːtið/
afmælisins	/amailɪsɪns/
afmæliskveðjur	/amailɪskʰvɛðjʏr/
afmælispartí	/amajlɪspar̥ti/
afmælissamkomu	/amajlɪsamkʰɔmʏ/
afmælissönginn	/amajlɪsœjɲcɪn/
afmælissöngnum	/amajlɪsœjŋknʏm/
afmælistilkynningum	/amailɪstɪlcɪniŋkʏm/
afmælisveislan	/amajlɪsvɛjstlan/
afmælisveislu	/amailɪsveistlʏ/
afmælum	/amailʏm/
afmörkuð	/avmœr̥kʏð/
afmörkuðu	/avmœr̥kʏðʏ/
afmörkuðum	/avmœr̥kʏðʏm/
afmörkun	/avmœr̥kʏn/
afnám	/avnaum/
afnámi	/avnaumɪ/
afnáms	/avnaums/
afneita	/avneita/
afneitað	/avneitað/
afneitun	/avneitʏn/
afnema	/avnɛma/
afnot	/avnɔt/
afnota	/avnɔta/
afnotagjald	/avnɔtacalt/
afnotagjöld	/avnɔtacœlt/
afnotaleyfi	/avnɔtalɛːjvɪ/
afnotarétt	/avnɔtarjɛht/
afnotum	/avnɔtʏm/
afnumið	/avnʏmɪð/
afnumin	/avnʏmɪn/
afoxun	/aːfɔksʏn/
afplána	/avplauna/
afplánun	/avplaunʏn/
afrakstur	/avrakstʏr/
afraksturinn	/avrakstʏrɪn/
afráðið	/avrauðɪð/
afrek	/avrɛk/
afreka	/avrɛka/
afrekað	/avrɛkað/
afreki	/avrɛcɪ/
afreksbikar	/avrɛxspɪːkar/
afrekshópi	/avrɛxshouːpɪ/
afreksmaður	/avrɛxsmaːðʏr/
afreksstig	/avrɛxstɪːɣ/
afrekum	/avrɛkʏm/
afréð	/avrjɛð/
afréðu	/avrjɛðʏ/
afréðum	/avrjɛðʏm/
afréttarlöndin	/avrjɛhtarlœntɪn/
afrétti	/avrjɛhtɪ/
afrifu	/avrɪvʏ/
afrit	/avrɪt/
afrita	/avrɪta/
afritið	/avrɪtɪð/
afritunar	/avrɪtʏnar/
afritunarhnappinn	/avrɪtʏnarn̥ahpɪn/
Afríka	/aːfrika/
afríkans	/aːfrikans/
Afríku	/aːfrikʏ/
afríkuferð	/aːfrikʏfɛrð/
Afríkumaðurinn	/aːfrikʏmaːðʏrɪn/
Afríkumann	/aːfrikʏman/
afríkumanninum	/aːfrikʏmanɪnʏm/
Afríkumenn	/aːfrikʏmɛn/
afríkuríkjum	/aːfrikʏriːcʏm/
afríkuverkefnisins	/aːfrikʏvɛr̥kɛpnɪsɪns/
afríska	/aːfriska/
afrískir	/aːfriscɪr/
afrískum	/aːfriskʏm/
afsagnar	/afsaknar/
afsaka	/afsaka/
afsakaðan	/afsakaðan/
afsakanirnar	/afsakanɪtnar/
afsakið	/afsacɪð/
afsal	/afsal/
afsala	/afsala/
afsalað	/afsalað/
afsals	/afsals/
afsanna	/afsana/
afsíðis	/afsiðɪs/
afskaplega	/afskaplɛɣa/
afskekkt	/afscɛxt/
afskekkta	/afscɛxta/
afskekktan	/afscɛxtan/
afskekktu	/afscɛxtʏ/
afskekktum	/afscɛxtʏm/
afskipta	/afscɪfta/
afskiptalaus	/afscɪftalœis/
afskiptalausa	/afscɪftalœiːsa/
afskiptaleysi	/afscɪftaleiːsɪ/
afskiptasemi	/afscɪftasɛːmɪ/
afskipti	/afscɪftɪ/
afskiptum	/afscɪftʏm/
afskrá	/afskrau/
